batch_size,fold,measurement,median_latency_ms,method,p95_latency_ms,peak_gpu_memory_mb,quality_rrmse,slot,steps,throughput_windows_s
1,0,20_warmup_100_runs,19.56375507870689,V26_CALIB_SDEDIT,19.689477572683245,12.0498046875,,0,5,51.11493146264113
1,0,20_warmup_100_runs,27.66118402360007,V29_PA_SC_CDM,27.88197165937163,12.10107421875,,0,5,36.15174242529952
1,0,20_warmup_100_runs,29.582219489384443,EEGDFUS,29.81058688601479,13.48876953125,,0,5,33.80408966132001
1,0,20_warmup_100_runs,37.561172095593065,V26_CALIB_SDEDIT,38.994322664802894,12.0498046875,,0,10,26.623237354122047
1,0,20_warmup_100_runs,55.41385855758563,V29_PA_SC_CDM,56.03072624071501,12.10107421875,,0,10,18.04602722188725
1,0,20_warmup_100_runs,58.56429995037615,EEGDFUS,59.701248951023445,13.48876953125,,0,10,17.075248928909584
1,0,20_warmup_100_runs,95.8752489532344,V26_CALIB_SDEDIT,97.09084195783362,12.0498046875,,0,25,10.430220634814471
1,0,20_warmup_100_runs,136.9105135090649,V29_PA_SC_CDM,137.56378136458807,12.10107421875,,0,25,7.3040409707746035
1,0,20_warmup_100_runs,146.2481829803437,EEGDFUS,148.3872777898796,13.48876953125,,0,25,6.837691789541096
16,0,20_warmup_100_runs,1.2387070019030944,V26_CALIB_SDEDIT,1.2468474214983871,31.763671875,,0,5,807.2934103574489
16,0,20_warmup_100_runs,1.7587818765605334,V29_PA_SC_CDM,1.7718664821586572,24.076171875,,0,5,568.5753380377082
16,0,20_warmup_100_runs,1.8637125940585975,EEGDFUS,1.8842002264136681,24.3486328125,,0,5,536.5634181943822
16,0,20_warmup_100_runs,2.454189656418748,V26_CALIB_SDEDIT,2.469464432942914,31.763671875,,0,10,407.4664716251963
16,0,20_warmup_100_runs,3.4689353124122135,V29_PA_SC_CDM,3.4830869830329902,24.076171875,,0,10,288.27288777103894
16,0,20_warmup_100_runs,3.6766921912203543,EEGDFUS,3.6949087309039896,24.3486328125,,0,10,271.9836059129235
16,0,20_warmup_100_runs,6.149792719952529,V26_CALIB_SDEDIT,6.189805048416019,31.763671875,,0,25,162.60710653801013
16,0,20_warmup_100_runs,8.822958909149747,V29_PA_SC_CDM,8.850824047476635,24.076171875,,0,25,113.34066159629981
16,0,20_warmup_100_runs,9.347097311547259,EEGDFUS,9.374002389085945,24.3486328125,,0,25,106.98508495943608
24,0,quality_bundle,42.39369372145221,V26_CALIB_SDEDIT,,194.7841796875,0.4985822768907787,0,5,23.58841403559927
24,0,quality_bundle,42.39369372145221,V29_PA_SC_CDM,,194.7841796875,0.5817074137861103,0,5,23.58841403559927
24,0,quality_bundle,42.39369372145221,EEGDFUS,,194.7841796875,0.5612628939205833,0,5,23.58841403559927
24,0,quality_bundle,40.72609976315612,V26_CALIB_SDEDIT,,194.7841796875,0.49865737576166996,0,10,24.554278603046463
24,0,quality_bundle,40.72609976315612,V29_PA_SC_CDM,,194.7841796875,0.5816267183569531,0,10,24.554278603046463
24,0,quality_bundle,40.72609976315612,EEGDFUS,,194.7841796875,0.5672465201900599,0,10,24.554278603046463
24,0,quality_bundle,82.58023249962005,V26_CALIB_SDEDIT,,195.3623046875,0.49869592484578285,0,25,12.109435511756413
24,0,quality_bundle,82.58023249962005,V29_PA_SC_CDM,,195.3623046875,0.5816156281450984,0,25,12.109435511756413
24,0,quality_bundle,82.58023249962005,EEGDFUS,,195.3623046875,0.5713182869593665,0,25,12.109435511756413
24,0,quality_bundle,33.57390816866731,V26_CALIB_SDEDIT,,194.7841796875,0.5198976080799993,1,5,29.785034109709198
24,0,quality_bundle,33.57390816866731,V29_PA_SC_CDM,,194.7841796875,0.5825151714096946,1,5,29.785034109709198
24,0,quality_bundle,33.57390816866731,EEGDFUS,,194.7841796875,0.5601250958538407,1,5,29.785034109709198
24,0,quality_bundle,29.85688922086006,V26_CALIB_SDEDIT,,194.7841796875,0.5200974550680257,1,10,33.49310749029178
24,0,quality_bundle,29.85688922086006,V29_PA_SC_CDM,,194.7841796875,0.5819569546721242,1,10,33.49310749029178
24,0,quality_bundle,29.85688922086006,EEGDFUS,,194.7841796875,0.5656578258236146,1,10,33.49310749029178
24,0,quality_bundle,60.89131877848154,V26_CALIB_SDEDIT,,195.3623046875,0.5202382373326044,1,25,16.422702284342563
24,0,quality_bundle,60.89131877848154,V29_PA_SC_CDM,,195.3623046875,0.5808368614606378,1,25,16.422702284342563
24,0,quality_bundle,60.89131877848154,EEGDFUS,,195.3623046875,0.5694186177635048,1,25,16.422702284342563
24,0,quality_bundle,37.923796527643894,V26_CALIB_SDEDIT,,194.7841796875,0.5010678544220153,2,5,26.368668001661366
24,0,quality_bundle,37.923796527643894,V29_PA_SC_CDM,,194.7841796875,0.5821651067478039,2,5,26.368668001661366
24,0,quality_bundle,37.923796527643894,EEGDFUS,,194.7841796875,0.5586250499796329,2,5,26.368668001661366
24,0,quality_bundle,33.4542608470656,V26_CALIB_SDEDIT,,194.7841796875,0.5010743904858828,2,10,29.891558643948155
24,0,quality_bundle,33.4542608470656,V29_PA_SC_CDM,,194.7841796875,0.582206341416976,2,10,29.891558643948155
24,0,quality_bundle,33.4542608470656,EEGDFUS,,194.7841796875,0.5642804139804665,2,10,29.891558643948155
24,0,quality_bundle,67.2743744718092,V26_CALIB_SDEDIT,,195.3623046875,0.5011375559034705,2,25,14.864500901736994
24,0,quality_bundle,67.2743744718092,V29_PA_SC_CDM,,195.3623046875,0.58230964919494,2,25,14.864500901736994
24,0,quality_bundle,67.2743744718092,EEGDFUS,,195.3623046875,0.5683209258293371,2,25,14.864500901736994
24,1,quality_bundle,37.99014503925314,V26_CALIB_SDEDIT,,194.7841796875,1.8256057089117046,0,5,26.32261600914539
24,1,quality_bundle,37.99014503925314,V29_PA_SC_CDM,,194.7841796875,1.961394349001542,0,5,26.32261600914539
24,1,quality_bundle,37.99014503925314,EEGDFUS,,194.7841796875,1.9824835504178837,0,5,26.32261600914539
