array_task,job_id,recovery_of,scientific_setting_changed,stage,status
,939296,,False,r0-preflight,accepted
,939297,,False,r1-inventory-panel,accepted
,939328,939300,False,r1-support-recovery,recovery
,939499,,False,r10-freeze,accepted
14,939500,,False,r11-natural,accepted
0,939501,,False,r11-natural,accepted
1,939502,,False,r11-natural,accepted
2,939503,,False,r11-natural,accepted
3,939504,,False,r11-natural,accepted
4,939505,,False,r11-natural,accepted
5,939506,,False,r11-natural,accepted
6,939507,,False,r11-natural,accepted
7,939508,,False,r11-natural,accepted
8,939509,,False,r11-natural,accepted
9,939510,,False,r11-natural,accepted
10,939511,,False,r11-natural,accepted
11,939512,,False,r11-natural,accepted
12,939513,,False,r11-natural,accepted
13,939514,,False,r11-natural,accepted
,939497,,False,r12-privacy,accepted
,939515,,False,r13-review,accepted
,939516,,False,r14-aggregate,accepted
,939524,,False,r15-ledger,accepted
,939525,,False,r16-tests,accepted
,939527,,False,r16-tests,accepted
,939526,,False,r17-clean,accepted
,939528,,False,r17-clean,accepted
,939529,,False,r18-package,accepted
,939298,,False,r2-replay,accepted
14,939300,,False,r3-common-infer,failed
0,939301,,False,r3-common-infer,failed
1,939302,,False,r3-common-infer,failed
2,939303,,False,r3-common-infer,failed
3,939304,,False,r3-common-infer,failed
4,939305,,False,r3-common-infer,failed
5,939306,,False,r3-common-infer,failed
6,939307,,False,r3-common-infer,failed
7,939308,,False,r3-common-infer,failed
8,939309,,False,r3-common-infer,failed
9,939310,,False,r3-common-infer,failed
10,939311,,False,r3-common-infer,failed
11,939312,,False,r3-common-infer,failed
12,939313,,False,r3-common-infer,failed
13,939314,,False,r3-common-infer,failed
14,939338,939300,False,r3-common-infer,recovery
0,939339,939300,False,r3-common-infer,recovery
1,939340,939300,False,r3-common-infer,recovery
2,939341,939300,False,r3-common-infer,recovery
3,939344,939300,False,r3-common-infer,recovery
4,939345,939300,False,r3-common-infer,recovery
5,939347,,False,r3-common-infer,accepted
6,939355,939300,False,r3-common-infer,recovery
7,939356,939300,False,r3-common-infer,recovery
8,939357,939300,False,r3-common-infer,recovery
9,939358,939300,False,r3-common-infer,recovery
10,939359,939300,False,r3-common-infer,recovery
11,939360,939300,False,r3-common-infer,recovery
12,939361,939300,False,r3-common-infer,recovery
13,939362,939300,False,r3-common-infer,recovery
,939377,,False,r4-all-donor,superseded
14,939406,,False,r4-all-donor,accepted
29,939407,,False,r4-all-donor,accepted
0,939408,,False,r4-all-donor,accepted
1,939409,,False,r4-all-donor,accepted
2,939410,,False,r4-all-donor,accepted
3,939411,,False,r4-all-donor,accepted
4,939412,,False,r4-all-donor,accepted
5,939413,,False,r4-all-donor,accepted
6,939414,,False,r4-all-donor,accepted
7,939415,,False,r4-all-donor,accepted
8,939416,,False,r4-all-donor,accepted
9,939417,,False,r4-all-donor,accepted
10,939418,,False,r4-all-donor,accepted
11,939419,,False,r4-all-donor,accepted
12,939420,,False,r4-all-donor,accepted
13,939421,,False,r4-all-donor,accepted
15,939422,,False,r4-all-donor,accepted
16,939423,,False,r4-all-donor,accepted
17,939424,,False,r4-all-donor,accepted
18,939425,,False,r4-all-donor,accepted
19,939426,,False,r4-all-donor,accepted
20,939427,,False,r4-all-donor,accepted
21,939428,,False,r4-all-donor,accepted
22,939429,,False,r4-all-donor,accepted
23,939430,,False,r4-all-donor,accepted
24,939431,,False,r4-all-donor,accepted
25,939432,,False,r4-all-donor,accepted
26,939433,,False,r4-all-donor,accepted
27,939434,,False,r4-all-donor,accepted
28,939435,,False,r4-all-donor,accepted
44,939436,,False,r4-all-donor,accepted
30,939438,,False,r4-all-donor,accepted
31,939439,,False,r4-all-donor,accepted
32,939440,,False,r4-all-donor,accepted
33,939441,,False,r4-all-donor,accepted
34,939442,,False,r4-all-donor,accepted
35,939443,,False,r4-all-donor,accepted
36,939444,,False,r4-all-donor,accepted
37,939445,,False,r4-all-donor,accepted
38,939446,,False,r4-all-donor,accepted
39,939447,,False,r4-all-donor,accepted
40,939448,,False,r4-all-donor,accepted
41,939449,,False,r4-all-donor,accepted
42,939450,,False,r4-all-donor,accepted
43,939451,,False,r4-all-donor,accepted
14,939353,,False,r5-falsification,failed
0,939363,,False,r5-falsification,accepted
1,939364,,False,r5-falsification,accepted
2,939365,,False,r5-falsification,failed
3,939366,,False,r5-falsification,failed
4,939367,,False,r5-falsification,failed
5,939368,,False,r5-falsification,accepted
6,939369,,False,r5-falsification,accepted
7,939370,,False,r5-falsification,accepted
8,939371,,False,r5-falsification,failed
9,939372,,False,r5-falsification,accepted
10,939373,,False,r5-falsification,failed
11,939374,,False,r5-falsification,failed
12,939375,,False,r5-falsification,accepted
13,939376,,False,r5-falsification,accepted
14,939392,,False,r5-falsification,failed
2,939393,,False,r5-falsification,failed
3,939394,,False,r5-falsification,failed
4,939395,,False,r5-falsification,failed
8,939396,,False,r5-falsification,failed
10,939397,,False,r5-falsification,failed
11,939398,,False,r5-falsification,failed
14,939399,"939353,939392",False,r5-falsification,recovery
2,939400,"939353,939392",False,r5-falsification,recovery
3,939401,"939353,939392",False,r5-falsification,recovery
4,939402,"939353,939392",False,r5-falsification,recovery
