batch_size,hardware,median_ms_per_episode,median_ms_per_support_window,method,p95_ms_per_episode,runs,warmup,windows_per_episode
1,NVIDIA A100-PCIE-40GB,2.24166497355327,0.14010406084707938,V25_DEEPSETS_SUPPORT_ENCODER,2.2781193954870105,100,20,16
16,NVIDIA A100-PCIE-40GB,0.14072365229367279,0.008795228268354549,V25_DEEPSETS_SUPPORT_ENCODER,0.1421898021362722,100,20,16
