# M9 EMG re-eval: corrected full-gen sampler + subject ablation (vs clean GT)
variant,sampler,RRMSE_temporal,RRMSE_spectral,CC
Corrupted(in),-,2.2384,5.1902,0.5420
Denoised[correct e(s)],t*=400(old),0.1049,0.1002,0.9938
Denoised[wrong e(s')],t*=400(old),0.1093,0.1067,0.9934
Denoised[null e],t*=400(old),0.2350,0.2796,0.9779
Denoised[correct e(s)],full-gen(new),0.1057,0.1013,0.9938
Denoised[wrong e(s')],full-gen(new),0.1100,0.1075,0.9933
Denoised[null e],full-gen(new),0.2393,0.2846,0.9767
