participant,view,block,H_P,H_W
1,primary,morphology,1.4936332702636719,1.454575538635254
1,primary,topography,0.009837448596954346,-0.03806999325752258
1,primary,dynamics,0.1579747200012207,0.11105620861053467
2,primary,morphology,6.1626763343811035,6.547282695770264
2,primary,topography,0.14467942714691162,0.41929537057876587
2,primary,dynamics,0.091366708278656,0.3050553798675537
3,primary,morphology,9.92432975769043,8.034154891967773
3,primary,topography,0.3116180896759033,0.3434944748878479
3,primary,dynamics,0.28191840648651123,0.4784451723098755
4,primary,morphology,-2.888655185699463,-2.9589455127716064
4,primary,topography,0.18766433000564575,0.3138909339904785
4,primary,dynamics,0.3681858777999878,0.5025073289871216
5,primary,morphology,-0.16236114501953125,5.923027992248535
5,primary,topography,0.41611772775650024,0.5384801030158997
5,primary,dynamics,0.07820123434066772,0.4785747528076172
6,primary,morphology,0.529240608215332,0.9203312397003174
6,primary,topography,0.11962705850601196,0.14190441370010376
6,primary,dynamics,0.11155134439468384,0.1090322732925415
7,primary,morphology,2.285350799560547,3.6075897216796875
7,primary,topography,0.19917547702789307,0.3378804326057434
7,primary,dynamics,0.12514328956604004,0.2776804566383362
8,primary,morphology,8.007741928100586,5.9604034423828125
8,primary,topography,0.18881213665008545,0.15079975128173828
8,primary,dynamics,0.3142712116241455,0.4975302815437317
9,primary,morphology,1.0488739013671875,1.2290449142456055
9,primary,topography,-0.18506085872650146,-0.05078160762786865
9,primary,dynamics,0.2569469213485718,0.5030325055122375
10,primary,morphology,-0.24808883666992188,2.383462905883789
10,primary,topography,0.3175184726715088,0.30727773904800415
10,primary,dynamics,0.5597919225692749,0.6521050930023193
11,primary,morphology,0.5292139053344727,-0.8323357105255127
11,primary,topography,0.016929984092712402,0.00903022289276123
11,primary,dynamics,0.10149037837982178,0.09409648180007935
12,primary,morphology,0.49158191680908203,-2.294710159301758
12,primary,topography,0.45766425132751465,0.4100506901741028
12,primary,dynamics,0.12483030557632446,0.23222461342811584
13,primary,morphology,-4.049461364746094,1.1617975234985352
13,primary,topography,-0.37010031938552856,-0.024545729160308838
13,primary,dynamics,0.39784109592437744,0.6702497005462646
14,primary,morphology,5.179355621337891,2.199333906173706
14,primary,topography,0.2858348488807678,0.4982703924179077
14,primary,dynamics,0.22066986560821533,0.4491163492202759
15,primary,morphology,2.6052112579345703,4.3463134765625
15,primary,topography,0.36616694927215576,0.3816084861755371
15,primary,dynamics,0.3240673542022705,0.4877525568008423
1,prestim,morphology,0.0,0.0
1,prestim,topography,0.0,0.0
1,prestim,dynamics,0.0,0.0
2,prestim,morphology,-0.1081991195678711,-0.05862516164779663
2,prestim,topography,-0.09060418605804443,-0.007511317729949951
2,prestim,dynamics,0.0632023811340332,0.04308176040649414
3,prestim,morphology,0.07099735736846924,0.10246384143829346
3,prestim,topography,0.0715063214302063,0.13735270500183105
3,prestim,dynamics,-0.01867353916168213,0.02188742160797119
4,prestim,morphology,-0.02198117971420288,-0.004706919193267822
4,prestim,topography,-0.04330241680145264,-0.04116755723953247
4,prestim,dynamics,0.04166126251220703,0.07274115085601807
5,prestim,morphology,-0.02575516700744629,-0.017746686935424805
5,prestim,topography,-0.015349149703979492,0.028743445873260498
5,prestim,dynamics,-0.00011873245239257812,0.013583362102508545
6,prestim,morphology,0.0,0.0
6,prestim,topography,0.0,0.0
6,prestim,dynamics,0.0,0.0
7,prestim,morphology,0.012857437133789062,0.029214024543762207
7,prestim,topography,0.03191578388214111,0.024285495281219482
7,prestim,dynamics,-0.05657994747161865,-0.023711085319519043
8,prestim,morphology,-0.014717459678649902,0.02058887481689453
8,prestim,topography,-0.03354823589324951,0.04644113779067993
8,prestim,dynamics,-0.08630311489105225,-0.0480617880821228
9,prestim,morphology,0.05105745792388916,0.05836915969848633
9,prestim,topography,0.13214147090911865,0.1225399374961853
9,prestim,dynamics,0.03072679042816162,0.06497049331665039
10,prestim,morphology,0.017589807510375977,0.05887711048126221
10,prestim,topography,0.05024111270904541,0.07188606262207031
10,prestim,dynamics,0.010767638683319092,0.0069131553173065186
11,prestim,morphology,0.0,0.0
11,prestim,topography,0.0,0.0
11,prestim,dynamics,0.0,0.0
12,prestim,morphology,-0.06051206588745117,0.05298614501953125
12,prestim,topography,-0.10682904720306396,0.03552603721618652
12,prestim,dynamics,-0.025702595710754395,-0.04218250513076782
13,prestim,morphology,-0.015029668807983398,0.02803725004196167
13,prestim,topography,-0.05319058895111084,-0.0009136199951171875
13,prestim,dynamics,0.03534841537475586,-0.005642235279083252
14,prestim,morphology,0.02985692024230957,0.00673907995223999
14,prestim,topography,0.040169596672058105,0.04403263330459595
14,prestim,dynamics,0.0021135807037353516,0.024155795574188232
15,prestim,morphology,0.004097342491149902,-0.08333426713943481
15,prestim,topography,-0.008467555046081543,-0.07116040587425232
15,prestim,dynamics,-0.024752020835876465,-0.006627678871154785
1,hf_art,morphology,-0.03165102005004883,-0.03282570838928223
1,hf_art,topography,-0.014465570449829102,0.00037366151809692383
1,hf_art,dynamics,-0.0016412734985351562,-0.02302706241607666
2,hf_art,morphology,-0.06892156600952148,-0.06794345378875732
2,hf_art,topography,0.0048067569732666016,0.0647391676902771
2,hf_art,dynamics,0.025555014610290527,0.07806515693664551
3,hf_art,morphology,-0.040311336517333984,0.0235174298286438
