participant,role,trials,target_trials,control_trials,channels,samples,day200_opened
1,R,6400,6240,160,57,163,0
1,T,6400,6241,159,57,163,0
1,G,6400,6243,157,57,163,0
2,R,6400,6238,162,57,163,0
2,T,6400,6241,159,57,163,0
2,G,6400,6241,159,57,163,0
3,R,6400,6242,158,57,163,0
3,T,6400,6243,157,57,163,0
3,G,6400,6241,159,57,163,0
4,R,6400,6234,166,57,163,0
4,T,6400,6241,159,57,163,0
4,G,6400,6243,157,57,163,0
5,R,6400,6245,155,57,163,0
5,T,6400,6247,153,57,163,0
5,G,6400,6247,153,57,163,0
6,R,6400,6239,161,57,163,0
6,T,6400,6241,159,57,163,0
6,G,6400,6241,159,57,163,0
7,R,6400,6241,159,57,163,0
7,T,6400,6241,159,57,163,0
7,G,6400,6241,159,57,163,0
8,R,6400,6241,159,57,163,0
8,T,6400,6241,159,57,163,0
8,G,6400,6243,157,57,163,0
9,R,6400,6241,159,57,163,0
9,T,6400,6243,157,57,163,0
9,G,6400,6242,158,57,163,0
10,R,6400,6247,153,57,163,0
10,T,6400,6247,153,57,163,0
10,G,6400,6247,153,57,163,0
11,R,6400,6247,153,57,163,0
11,T,6400,6241,159,57,163,0
11,G,6400,6249,151,57,163,0
12,R,6400,6241,159,57,163,0
12,T,6400,6243,157,57,163,0
12,G,6400,6243,157,57,163,0
13,R,6400,6241,159,57,163,0
13,T,6400,6242,158,57,163,0
13,G,6400,6243,157,57,163,0
14,R,6400,6241,159,57,163,0
14,T,6400,6241,159,57,163,0
14,G,6400,6241,159,57,163,0
15,R,6400,6241,159,57,163,0
15,T,6400,6240,160,57,163,0
15,G,6400,6241,159,57,163,0
