participant,view,H_P,H_W,POP_distance,MATCH_distance,WRONG_distance,beta
1,primary,0.5538151462872829,0.5091872513294229,5.077986101309459,4.524170955022176,5.033358206351599,0.25
2,primary,2.132907489935557,2.4238778154055276,4.453935146331787,2.32102765639623,4.744905471801758,0.5
3,primary,3.505955417950948,2.9520315130551653,10.747732877731323,7.2417774597803755,10.19380897283554,0.5
4,primary,-0.7776016592979427,-0.7141824165980015,3.2846617301305137,4.062263389428456,3.348080972830455,0.5
5,primary,0.11065260569254587,2.3133609493573504,4.638677477836609,4.528024872144063,6.841385821501413,0.5
6,primary,0.25347300370534276,0.390422642230988,2.9593000411987305,2.7058270374933877,3.0962496797243757,0.25
7,primary,0.8698898553848267,1.4077168703079224,6.029850721359253,5.159960865974426,6.567677736282349,0.5
8,primary,2.836941758791605,2.2029111584027596,9.83617893854777,6.9992371797561646,9.202148338158924,0.5
9,primary,0.37358665466308594,0.5604319373766575,6.144408464431763,5.770821809768677,6.331253747145334,0.5
10,primary,0.2097405195236206,1.1142819126447039,5.677195469538371,5.4674549500147505,6.581736862659454,0.5
11,primary,0.21587808926900198,-0.24306966861089085,2.91928497950236,2.703406890233358,2.460337221622467,0.25
12,primary,0.3580254912376404,-0.5508116185665122,6.214026172955831,5.85600068171819,5.305189063151678,0.5
13,primary,-1.3405735294024153,0.6025004982948285,6.661339978377025,8.00191350777944,8.604414006074268,0.5
14,primary,1.8952867786089578,1.0489068826039634,4.444907069206238,2.54962029059728,3.5985271732012434,0.5
15,primary,1.0984818538029986,1.7385581731796256,9.005200068155924,7.906718214352925,9.645276387532551,0.5
1,prestim,0.0,0.0,1.1257702509562175,1.1257702509562175,1.1257702509562175,0.0
2,prestim,-0.0452003081639607,-0.00768490632375074,1.2694249153137207,1.3146252234776814,1.3069403171539307,0.25
3,prestim,0.04127671321233106,0.08723465601603175,1.1021277507146199,1.0608510375022888,1.1480856935183206,0.25
4,prestim,-0.00787411133448268,0.00895555814107274,1.1110180417696636,1.1188921531041462,1.127847711245219,0.25
5,prestim,-0.013741016387939453,0.008193373680114524,1.17197851339976,1.1857195297876995,1.193912903467814,0.25
6,prestim,0.0,0.0,1.265311559041341,1.265311559041341,1.265311559041341,0.0
7,prestim,-0.003935575485229492,0.009929478168487549,1.2656482458114624,1.269583821296692,1.2795132994651794,0.25
8,prestim,-0.04485627015431737,0.006322741508483887,1.3809290726979573,1.4257853428522747,1.4321080843607585,0.25
9,prestim,0.0713085730870564,0.08195986350377393,1.3155983686447144,1.244289795557658,1.3262496590614319,0.25
10,prestim,0.026199519634246715,0.04589210947354638,1.0132606824239094,0.9870611627896627,1.032953272263209,0.25
11,prestim,0.0,0.0,1.165984034538269,1.165984034538269,1.165984034538269,0.0
12,prestim,-0.06434790293375636,0.015443225701650132,1.1136842171351116,1.178032120068868,1.193475345770518,0.25
13,prestim,-0.010957280794779534,0.007160464922587151,1.1375885009765625,1.148545781771342,1.1557062466939292,0.25
14,prestim,0.024046699206034416,0.024975836277008057,1.097921888033549,1.0738751888275146,1.0988510251045227,0.25
15,prestim,-0.009707411130269294,-0.05370745062828064,1.3976669708887737,1.407374382019043,1.3536669313907623,0.25
1,hf_art,-0.015919287999470955,-0.018493036429087395,1.4237349033355713,1.4396541913350422,1.4211611549059548,0.25
2,hf_art,-0.012853264808654785,0.024953623612721687,1.504878540833791,1.5177318056424458,1.5426854292551675,0.25
3,hf_art,0.04003794987996412,0.09435172875722242,1.4008769989013672,1.360839049021403,1.4551907777786255,0.25
4,hf_art,0.014743506908416748,0.022048433621724373,1.1183221936225891,1.1035786867141724,1.1256271203358967,0.25
5,hf_art,-0.019630352656046623,0.012397050857543945,1.3905206521352131,1.4101510047912598,1.4225480556488037,0.25
6,hf_art,-0.02572520573933912,-0.014579157034555923,1.3682094017664592,1.3939346075057983,1.3793554504712424,0.25
7,hf_art,0.002746760845184326,0.0279238820075991,1.1274091800053914,1.124662419160207,1.1525863011678061,0.25
8,hf_art,0.023540854454040527,0.048110246658325195,1.2620457410812378,1.2385048866271973,1.2866151332855225,0.25
9,hf_art,0.007098515828450447,0.01829168200492859,1.1710086663564045,1.163910150527954,1.1822018325328827,0.25
10,hf_art,0.02280704180399562,0.05829201141993212,1.1449001630147297,1.1220931212107341,1.1803851326306662,0.25
11,hf_art,0.013316790262858147,0.033840378125508774,1.134104351202647,1.1207875609397888,1.1546279390652976,0.25
12,hf_art,0.024324099222819084,0.05821581681569432,1.2154417435328166,1.1911176443099976,1.2493334611256919,0.25
13,hf_art,-0.008977015813191658,0.021708627541860093,1.4865559736887615,1.4955329895019531,1.5172416170438132,0.25
14,hf_art,0.0037953654925029223,-0.01029117902119947,1.206703782081604,1.202908416589101,1.1926172375679016,0.25
15,hf_art,0.006102363268534194,0.002381285031636482,1.5944919188817341,1.5883895556132,1.5907708406448364,0.25
1,label_shuffle,0.0,0.0,1.1545624732971191,1.1545624732971191,1.1545624732971191,0.0
2,label_shuffle,0.00634765625,0.023486832777659172,1.3586063782374065,1.3522587219874065,1.3757455547650657,0.25
3,label_shuffle,0.0,0.0,1.1727911631266277,1.1727911631266277,1.1727911631266277,0.0
4,label_shuffle,0.0,0.0,1.1670896609624226,1.1670896609624226,1.1670896609624226,0.0
5,label_shuffle,0.0,0.0,1.2329647541046143,1.2329647541046143,1.2329647541046143,0.0
6,label_shuffle,0.0,0.0,1.2535858949025471,1.2535858949025471,1.2535858949025471,0.0
7,label_shuffle,-0.10096478462219238,-0.11586672067642212,1.3447149594624836,1.445679744084676,1.329813023408254,0.25
8,label_shuffle,0.0,0.0,1.0995322267214458,1.0995322267214458,1.0995322267214458,0.0
9,label_shuffle,0.0,0.0,1.1341732541720073,1.1341732541720073,1.1341732541720073,0.0
10,label_shuffle,0.0,0.0,1.0305097103118896,1.0305097103118896,1.0305097103118896,0.0
11,label_shuffle,0.0,0.0,1.0228576064109802,1.0228576064109802,1.0228576064109802,0.0
12,label_shuffle,0.01609015464782715,0.06523541609446215,1.1309488614400227,1.1148587067921956,1.1800941228866577,0.25
13,label_shuffle,0.0,0.0,1.07951953013738,1.07951953013738,1.07951953013738,0.0
14,label_shuffle,0.0,0.0,1.1411209106445312,1.1411209106445312,1.1411209106445312,0.0
15,label_shuffle,0.0,0.0,1.4743889172871907,1.4743889172871907,1.4743889172871907,0.0
1,time_shuffle,-0.08429451783498143,-0.047550181547800774,1.2704789241154988,1.3547734419504802,1.3072232604026794,0.25
2,time_shuffle,0.011701544125874763,0.04095509648323059,1.7346471150716145,1.7229455709457397,1.7639006674289703,0.25
3,time_shuffle,0.03790362675984693,0.022551337877909416,1.5726416110992432,1.5347379843393962,1.5572893222173056,0.25
4,time_shuffle,-0.012028694152832031,0.04919451475143455,1.3535821636517842,1.3656108578046162,1.4148053725560508,0.25
5,time_shuffle,0.08640899260838841,0.040885090827941895,1.517329732577006,1.4309207399686177,1.4718058307965596,0.25
6,time_shuffle,0.01854151487350464,0.09958608945210767,1.2981584072113037,1.279616892337799,1.3792029817899067,0.25
7,time_shuffle,-0.017990430196126228,-0.026367465655008804,1.695814847946167,1.7138052781422932,1.6874378124872844,0.25
8,time_shuffle,0.15018339951833082,0.14196225007375118,2.1016201178232827,1.951436718304952,2.093398968378703,0.25
9,time_shuffle,-0.013731201489766587,0.058458586533864265,1.6238629420598347,1.6375941435496013,1.6960527300834656,0.25
10,time_shuffle,0.038896143436431885,0.10403799017270399,1.2251607577006023,1.1862646142641704,1.2903026044368744,0.25
11,time_shuffle,-0.039891938368479485,-0.008244723081588745,1.0326974590619404,1.07258939743042,1.0643446743488312,0.25
12,time_shuffle,0.033422549565633064,0.08460023005803419,1.3845916589101155,1.3511691093444824,1.4357693394025166,0.25
13,time_shuffle,-0.03333570559819532,0.02847636739412951,0.9867609143257141,1.0200966199239094,1.048572987318039,0.25
14,time_shuffle,0.02483602364857984,0.010189930597941155,1.6431469917297363,1.6183109680811565,1.6285008986790976,0.25
15,time_shuffle,0.04434736569722486,0.09130706389745091,1.5037526686986287,1.4594053030014038,1.5507123668988547,0.25
1,wrong_condition,0.5538151462872829,0.5091872513294229,5.077986101309459,4.524170955022176,5.033358206351599,0.25
2,wrong_condition,2.132907489935557,2.4238778154055276,4.453935146331787,2.32102765639623,4.744905471801758,0.5
3,wrong_condition,3.505955417950948,2.9520315130551653,10.747732877731323,7.2417774597803755,10.19380897283554,0.5
4,wrong_condition,-0.7776016592979427,-0.7141824165980015,3.2846617301305137,4.062263389428456,3.348080972830455,0.5
5,wrong_condition,0.11065260569254587,2.3133609493573504,4.638677477836609,4.528024872144063,6.841385821501413,0.5
6,wrong_condition,0.25347300370534276,0.390422642230988,2.9593000411987305,2.7058270374933877,3.0962496797243757,0.25
7,wrong_condition,0.8698898553848267,1.4077168703079224,6.029850721359253,5.159960865974426,6.567677736282349,0.5
8,wrong_condition,2.836941758791605,2.2029111584027596,9.83617893854777,6.9992371797561646,9.202148338158924,0.5
9,wrong_condition,0.37358665466308594,0.5604319373766575,6.144408464431763,5.770821809768677,6.331253747145334,0.5
10,wrong_condition,0.2097405195236206,1.1142819126447039,5.677195469538371,5.4674549500147505,6.581736862659454,0.5
11,wrong_condition,0.21587808926900198,-0.24306966861089085,2.91928497950236,2.703406890233358,2.460337221622467,0.25
12,wrong_condition,0.3580254912376404,-0.5508116185665122,6.214026172955831,5.85600068171819,5.305189063151678,0.5
13,wrong_condition,-1.3405735294024153,0.6025004982948285,6.661339978377025,8.00191350777944,8.604414006074268,0.5
14,wrong_condition,1.8952867786089578,1.0489068826039634,4.444907069206238,2.54962029059728,3.5985271732012434,0.5
15,wrong_condition,1.0984818538029986,1.7385581731796256,9.005200068155924,7.906718214352925,9.645276387532551,0.5
1,gain_normalized,0.9651793837547311,0.9100031952063246,8.584497710069021,7.61931832631429,8.529321521520615,0.25
2,gain_normalized,3.6597542365392046,4.035801529884338,7.019498308499654,3.359744071960449,7.395545601844788,0.5
3,gain_normalized,5.848894715309141,4.850470304489134,17.61465509732564,11.7657603820165,16.616230686505634,0.5
4,gain_normalized,-1.4376992384592695,-1.4023174842198687,4.927358349164327,6.365057587623596,4.9627401034037275,0.5
5,gain_normalized,0.05376720428466797,3.6776209870974226,7.351295630137126,7.297528425852458,10.97514941294988,0.5
6,gain_normalized,0.3981694976488752,0.6427887578805285,4.80972421169281,4.411554714043935,5.054343471924463,0.25
7,gain_normalized,1.4145262638727836,2.2644085486729946,9.630943973859152,8.216417709986368,10.480826258659363,0.5
8,gain_normalized,4.731118957201641,3.6156677802403774,15.93984587987264,11.208726922671,14.824394702911377,0.5
9,gain_normalized,0.6058941086133327,0.8244318763415013,9.6535564661026,9.047662357489267,9.872094233830769,0.5
10,gain_normalized,0.148198028405508,1.6591961979866028,8.934389670689901,8.786191642284393,10.445387840270996,0.5
11,gain_normalized,0.36027522881825824,-0.48270678520202637,4.660617510477702,4.300342281659444,3.8176354964574175,0.25
12,gain_normalized,0.4710145592689514,-1.1058580776055642,10.038663903872171,9.56764934460322,8.461791266997656,0.5
13,gain_normalized,-2.2979232271512355,0.8671181003252659,10.821852266788483,13.119775493939718,13.986893594264984,0.5
14,gain_normalized,3.0501593351364136,1.5268662969271336,6.918818652629852,3.8686593174934387,5.395525614420572,0.5
