view,effect,participants,mean,median,positive,one_sided_exact_sign_flip_p,bootstrap_ci_low,bootstrap_ci_high,loo_mean_min
primary,H_P,15,0.8197639650768702,0.37358665466308594,13,0.01318359375,0.21175012591812367,1.476537652975982,0.6278931470144362
primary,H_W,15,1.0504082600275675,1.0489068826039634,12,0.001617431640625,0.5001492200129563,1.6065590258604945,0.9145780276684532
primary,H_P_morphology,15,2.0605761845906576,1.0488739013671875,11,0.027679443359375,0.2483563653628032,4.027168214321136,1.4988795007978166
primary,H_W_morphology,15,2.5120884577433267,2.199333906173706,12,0.00531005859375,0.916245584487915,4.091368540128071,2.1176551410130093
primary,H_P_topography,15,0.16443233489990233,0.18881213665008545,13,0.008331298828125,0.04712157567342123,0.2672952108581861,0.14348719801221574
primary,H_W_topography,15,0.249239045381546,0.3138909339904785,12,0.000457763671875,0.1494114356736342,0.3452893993258476,0.22857896983623505
primary,H_P_dynamics,15,0.23428337574005126,0.22066986560821533,15,3.0517578125e-05,0.16892470637957255,0.3054124542077382,0.2110327652522496
primary,H_W_dynamics,15,0.3898972769578298,0.4784451723098755,15,3.0517578125e-05,0.2943442335228125,0.480370365679264,0.36987210384437014
prestim,H_P,15,-0.0025192247496710857,-0.003935575485229492,4,0.60888671875,-0.018988194167613933,0.014513916108343326,-0.007792638880865906
prestim,H_W,15,0.015644996696048314,0.008193373680114524,10,0.0546875,-0.0006077528993288086,0.033142701966894964,0.010531449601763785
prestim,H_P_morphology,15,-0.003982555866241455,0.0,6,0.634033203125,-0.026107242107391355,0.016143724719683287,-0.009338263954435076
prestim,H_W_morphology,15,0.012857496738433838,0.00673907995223999,8,0.150634765625,-0.009794559180736542,0.0355822326739629,0.0064570435455867225
prestim,H_P_topography,15,-0.0016877929369608561,0.0,5,0.5419921875,-0.03112489064534505,0.02968961358070366,-0.011247026068823678
prestim,H_W_topography,15,0.026003636916478477,0.024285495281219482,8,0.046875,8.661573131879237e-05,0.05378038560350735,0.018050132053239003
prestim,H_P_dynamics,15,-0.0018873254458109537,0.0,6,0.57568359375,-0.020745913088321685,0.015984257459640466,-0.006536590201514108
prestim,H_W_dynamics,15,0.008073856433232626,0.0,7,0.187744140625,-0.008296576837698619,0.025245423565308244,0.0034547639744622366
hf_art,H_P,15,0.005027208063337533,0.006102363268534194,10,0.1573486328125,-0.004152956042024824,0.014270995855331405,0.0025264407907213482
hf_art,H_W,15,0.02527675959799029,0.022048433621724373,12,0.002471923828125,0.011112975478172337,0.04079528679450351,0.020342833229473705
