best_step_diffusion,checkpoint,contains_diffusion_ema,contains_raw_diffusion,validation_named_for_EMA
8750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_04/seed_20260811/models.pt,True,False,False
8500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_04/seed_20260812/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_04/seed_20260813/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_05/seed_20260811/models.pt,True,False,False
10750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_05/seed_20260812/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_05/seed_20260813/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_06/seed_20260811/models.pt,True,False,False
10500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_06/seed_20260812/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_06/seed_20260813/models.pt,True,False,False
11250,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_07/seed_20260811/models.pt,True,False,False
9500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_07/seed_20260812/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_07/seed_20260813/models.pt,True,False,False
10500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_08/seed_20260811/models.pt,True,False,False
11250,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_08/seed_20260812/models.pt,True,False,False
11750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_08/seed_20260813/models.pt,True,False,False
7750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_09/seed_20260811/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_09/seed_20260812/models.pt,True,False,False
10250,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_09/seed_20260813/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_10/seed_20260811/models.pt,True,False,False
9250,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_10/seed_20260812/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_10/seed_20260813/models.pt,True,False,False
12000,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_11/seed_20260811/models.pt,True,False,False
9250,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_11/seed_20260812/models.pt,True,False,False
8750,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_11/seed_20260813/models.pt,True,False,False
11500,/home/infres/yinwang/denoiseNet/results/cgdr/subject_artifact_subspace_diffusion/checkpoints/sgeyesub/fold_12/seed_20260811/models.pt,True,False,False
