det_excess_risk_auc,det_final_EEG_centered_pearson,det_final_EEG_centered_spearman,det_normalized_risk_coverage_auc,det_oracle_ranking_auc,det_random_ranking_auc,det_risk_coverage_auc,diff_excess_risk_auc,diff_final_EEG_centered_pearson,diff_final_EEG_centered_spearman,diff_normalized_risk_coverage_auc,diff_oracle_ranking_auc,diff_random_ranking_auc,diff_risk_coverage_auc,posterior_variance_mean,source_record,training_seed_variance_mean,window_count
0.0237380658915545,0.8903224647588811,0.6727272727272727,0.26240906481075493,0.12321384451565381,0.21367590956921437,0.1469519104072083,0.016371663394426417,0.678628215068641,0.6727272727272727,0.21562592662468247,0.12007328948057969,0.1959995180686792,0.1364449528750061,0.017311670666398438,sim37,0.0033134050772665826,11
0.024423129737635607,0.6446977564049505,0.5166666666666666,0.3288329505494174,0.16852559773473585,0.24279774624305656,0.19294872747237146,0.03655262001915954,0.4947235194579895,0.3833333333333333,0.46834206315948806,0.16991527810141757,0.24796212226606823,0.20646789812057711,0.04035500264014318,sim38,0.005136790570013609,9
0.06031493186941772,0.6600299218218999,0.3333333333333333,0.5161609707654232,0.3479134309056927,0.46476638044191154,0.40822836277511043,0.06321141920272144,0.06977726757353524,0.06666666666666665,0.913908497296543,0.29808244434654524,0.3672484706935032,0.3612938635492667,0.028533826296027298,sim39,0.0032660834260891235,9
0.04413665221233459,0.4931393427641158,0.296969696969697,0.50285712609575,0.22307222567311363,0.31084398015736936,0.2672088778854482,0.036496765317303226,0.8928917461132774,0.5393939393939394,0.32606577860353975,0.2036364887476739,0.31556717179454247,0.24013325406497713,0.037408738604533844,sim40,0.005567780950045543,10
0.1460029396439726,0.2575167573817965,0.030303030303030304,0.7092246071147188,0.27409018569606863,0.4799529521304491,0.42009312534004123,0.12926894180193121,0.31372117903484603,-0.07878787878787878,0.6594084631143203,0.2458463544807769,0.4418840898647101,0.3751152962827081,0.024608418509701854,sim41,0.0038027249074872203,10
0.017953198510174823,0.6936201856164087,0.7696969696969697,0.1463382634747546,0.17294507970345835,0.2956279521380626,0.19089827821363317,0.018294306473013194,0.5989383016411031,0.7454545454545455,0.1311224633335298,0.1515321701248686,0.29105293573524965,0.1698264765978818,0.029393398707591306,sim42,0.0034757136287394373,10
0.030889970803019473,0.4640768526499407,0.3,0.5257493758091469,0.16892416164985183,0.227678336593909,0.1998141324528713,0.04765751077117611,0.28743780571997546,0.36666666666666664,0.9221188645651133,0.19144156142071375,0.24312417263554037,0.23909907219188986,0.018760961989944012,sim43,0.002061051397705165,9
0.05499383164463792,0.6021523519676923,0.34545454545454546,0.6202272105263383,0.18528056600234832,0.2739478007048841,0.24027439764698624,0.05025063188116061,-0.030719041301290193,0.10303030303030303,0.758041950290463,0.17534447876117792,0.2416345196512709,0.22559511064233853,0.025274307339468557,sim46,0.0033233020096653525,10
0.07421672152868553,0.31496487842406107,0.3696969696969697,0.5022668925921482,0.3263448129791532,0.4741083280013371,0.4005615345078387,0.035092593301044916,0.659683089181696,0.7696969696969697,0.3940188409650021,0.3107655177531189,0.3998287544630658,0.3458581110541638,0.027064316698013062,sim47,0.004120440968019525,10
0.022738612270590236,0.6454308002520449,0.7212121212121212,0.18526922773816693,0.21083749805438834,0.3335703045122732,0.23357611032497858,0.027782656447250725,0.752345378987503,0.6,0.21373272858141365,0.19620913483360097,0.32619697820999777,0.2239917912808517,0.04770652970230397,sim48,0.006150954609113183,10
0.024390223940263855,0.6989496615759127,0.6713286713286714,0.2511666911697081,0.16177474170561473,0.25888245860340947,0.1861649656458786,0.020376850600213825,0.7230103361565723,0.4965034965034965,0.23966844841241766,0.16181193995281126,0.2468329376485516,0.1821887905530251,0.02808515802374019,sim49,0.002251354708938368,12
0.021833292178216834,0.7221728017991119,0.44242424242424244,0.24028994910249915,0.1809604868576658,0.27182276495030266,0.20279377903588264,0.0316953971792672,0.6243105787251859,0.3212121212121212,0.3696772659298389,0.17090175751248812,0.2566397784847669,0.20259715469175532,0.030462903876220773,sim50,0.0034648531228052438,10
0.047041103637192994,0.12947718205710534,0.22424242424242424,0.736701317128397,0.2533677731048802,0.31722147139953705,0.30040887674207317,0.03245718556134908,0.24356466461124432,0.28484848484848485,0.7268130086642577,0.23154109773396842,0.27619795606538317,0.2639982832953175,0.03943071180041835,sim51,0.010109159952987695,10
0.05925891180945492,-0.02312915254120135,0.18787878787878787,0.91763366731053,0.2171784600959506,0.2817564217820507,0.2764373719054055,0.060579123785746675,-0.2746255371802147,-0.05454545454545454,1.0699644061297278,0.19075248509940532,0.24737037204844253,0.251331608885152,0.018598583118056806,sim52,0.0024841090308036834,10
0.22934294335647076,0.03021889273390971,0.09999999999999999,0.835678104225332,0.4985081211451641,0.7729474563352013,0.7278510645016348,0.27938140811165807,0.12558070727848383,-0.1333333333333333,1.0046008337772578,0.48736885022966053,0.7654707576919463,0.7667502583413186,0.03798852943529109,sim53,0.004596054822743448,9
0.01223983972747883,0.7925128368731252,0.6606060606060606,0.11910216381519113,0.21266682828265235,0.31543439635531295,0.22490666801013118,0.03609220619517137,0.8130229834658732,0.40606060606060607,0.2849311000632236,0.19426898740644954,0.3209389303756896,0.2303611936016209,0.04699641153819128,sim54,0.011393744588459117,10
