fold,method,sigma_start,steps,validation_clean_rrmse,validation_natural_preservation,validation_natural_teacher_rrmse
2,CALIB_SDEDIT_MATCH,0,10,1.1841009808607244,0.8071753449815636,0.9680488109588623
2,POP_SDEDIT,0,10,1.2229396886832546,0.7945743955594177,1.0119128227233887
2,CALIB_SDEDIT_MATCH,0.05,10,1.1901347513921792,0.7964062991086394,0.9729743003845215
2,POP_SDEDIT,0.05,10,1.234059499533032,0.7609119621338323,1.031374454498291
2,CALIB_SDEDIT_MATCH,0.1,10,1.1906577250726211,0.7953408105919758,0.9733991026878357
2,POP_SDEDIT,0.1,10,1.2417817973910132,0.7554205294776087,1.0352959632873535
2,CALIB_SDEDIT_MATCH,0.2,10,1.1908102939050877,0.7951503376243636,0.973650336265564
2,POP_SDEDIT,0.2,10,1.2477307081814313,0.7509272783451403,1.03840970993042
2,CALIB_SDEDIT_MATCH,0.35,10,1.1907796860129263,0.7949320059657717,0.9741055369377136
2,POP_SDEDIT,0.35,10,1.2511211659924204,0.749635565870752,1.039927363395691
2,CALIB_SDEDIT_MATCH,0.2,5,1.1902180952747585,0.7962764030089602,0.9734604358673096
2,POP_SDEDIT,0.2,5,1.2363069104709818,0.7580311320877323,1.0332914590835571
2,CALIB_SDEDIT_MATCH,0.2,25,1.191256603837246,0.794214086063827,0.9739811420440674
2,POP_SDEDIT,0.2,25,1.2616725148109253,0.7453638431616127,1.0434982776641846
