max_abs,state_rms,step,x0_rms
8.33682632446289,1.0053578615188599,999,1.0789875984191895
8.328889846801758,1.009020447731018,888,1.0794202089309692
8.333855628967285,1.0167431831359863,777,1.0797311067581177
8.33385181427002,1.027561068534851,666,1.0799678564071655
8.335169792175293,1.040147066116333,555,1.0801942348480225
8.336934089660645,1.0529961585998535,444,1.0804333686828613
8.339276313781738,1.064632534980774,333,1.080689549446106
8.333168029785156,1.073777437210083,222,1.0808308124542236
8.332813262939453,1.0794237852096558,111,1.0809922218322754
8.332365989685059,1.0810221433639526,0,1.081190586090088
