event_reads,fold,path,query_EOG_reads,query_bundle,query_operator_reads,sealed_reads,seed,sha256,support_bundle
0,0,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_0_seed_20260828.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_0/natural_test_inference.npz,0,0,20260828,c990d3c5021c35f2ae6c2528c45142077346055259442c31dd298a8fcee0834d,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_0.npz
0,0,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_0_seed_20260829.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_0/natural_test_inference.npz,0,0,20260829,a688ed6278ce57c3d284bde62ba64ecafe2f360158ae7f81f771a4d3323b4294,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_0.npz
0,0,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_0_seed_20260830.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_0/natural_test_inference.npz,0,0,20260830,9c3714180c0b5e34487522b139008891a9e99156f797608b8ca676dac147e85b,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_0.npz
0,1,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_1_seed_20260828.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_1/natural_test_inference.npz,0,0,20260828,ac3b8a6eb0398797c0780514a1628e1ccef0c89790baa4c9fdf23443f002882d,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_1.npz
0,1,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_1_seed_20260829.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_1/natural_test_inference.npz,0,0,20260829,7270324b1bf675c0aaa3a66c7b7941b8b4e7f15e4cb7a968bf6a144d4a233fce,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_1.npz
0,1,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_1_seed_20260830.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_1/natural_test_inference.npz,0,0,20260830,fac5cd34f404c84084bbb619c571d44397fd3547c96bc52219e37b403dc9c0f4,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_1.npz
0,2,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_2_seed_20260828.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_2/natural_test_inference.npz,0,0,20260828,1e4a5b98e15aa90a0ab1a7cc1f0f70a0f2b54ceca4c5ff2f3f34e4f5cbc02666,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_2.npz
0,2,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_2_seed_20260829.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_2/natural_test_inference.npz,0,0,20260829,c2af1221348b14e1d27134c5182e48924e8827cc8167baf1eda8986d2c68289d,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_2.npz
0,2,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_2_seed_20260830.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_2/natural_test_inference.npz,0,0,20260830,341e9323def530c91501dc0692ee1f9a5bb55a2c34e87188f2cd67483370cf52,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_2.npz
0,3,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_3_seed_20260828.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_3/natural_test_inference.npz,0,0,20260828,6911418319edeb8e10de382265caee6c04f1e9cc9f5669e5cc4e38ad5a6e72da,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_3.npz
0,3,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_3_seed_20260829.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_3/natural_test_inference.npz,0,0,20260829,6265746c4f41aeb05b38c319cbef429162503cc9177271c041c1081ac2e751d3,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_3.npz
0,3,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_3_seed_20260830.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_3/natural_test_inference.npz,0,0,20260830,adb30c1e90cabe8ff0f9da560c89ce1e4ac9e802b06bd53863a6a78a22ee4cd8,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_3.npz
0,4,/projects/EEG-foundation-model/derived/denoiseNet/calib_sdedit_v26/predictions/fold_4_seed_20260828.npz,0,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/fold_4/natural_test_inference.npz,0,0,20260828,91bf34a8766f3a06b9a432540c753e9121dc973e6e9580eae2b3d683d4fc0966,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/support_banks/fold_4.npz
