method,participant,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
DET-CLEAN-MATCH,1,0.05593226562498941,0.6019010543823242,0.07652851056664335,0.3015476051816517,0.4875,0.9348841286667424
DET-CLEAN-MATCH,2,0.04287740745229542,0.613130917151769,0.15966312800492796,0.39406782108088345,0.0944444444444444,0.8596898473342532
DET-CLEAN-MATCH,3,0.03781914846341956,0.7898727456728617,0.06382874305011642,0.10739858409557644,-0.03888888888888886,0.9540336797698729
DET-CLEAN-MATCH,4,0.04798061288268685,0.714460959037145,0.08754323230140648,0.22391241412744844,0.7471971561389116,0.9365391407264649
DET-CLEAN-MATCH,5,0.05452485704941796,0.566269725561142,0.1493113856394348,0.3624418339251596,0.5891455437448897,0.8556173333245624
DET-CLEAN-MATCH,6,0.13051868963270372,0.49431781967480976,0.06789802662516868,0.412543045458855,0.3361111111111111,0.9140861106649935
DET-CLEAN-MATCH,7,0.04971452661886675,0.6361210743586222,0.14263091076755685,0.34388978250286245,0.18611111111111112,0.8674365840293067
DET-CLEAN-MATCH,8,0.06285546884946429,0.7623852690060934,0.07065915808836055,0.14279174719802323,0.4305555555555555,0.9710193775039414
DET-CLEAN-MATCH,9,0.029900301445088696,0.6953129967053732,0.09395491511082787,0.21554803040814352,0.39444444444444454,0.9151185573995617
DET-CLEAN-POP,1,0.05378468651125349,0.6054027229547501,0.08452011690610721,0.30484954442669837,0.5125,0.9249208626855112
DET-CLEAN-POP,2,0.04268418632691227,0.6252440810203552,0.16006467452237516,0.39108754865475975,0.07222222222222223,0.85526791227371
DET-CLEAN-POP,3,0.04734650783928731,0.7819650620222092,0.0588698471776106,0.11660889363303321,0.02499999999999995,0.9470187413046579
DET-CLEAN-POP,4,0.04488604065192423,0.7244388361771902,0.07636115607777531,0.20869225611714692,0.7454007285974499,0.9449820507312223
DET-CLEAN-POP,5,0.05778444428466539,0.5566935241222382,0.12004971944528271,0.34910514474021975,0.6214285714285714,0.8800128380699065
DET-CLEAN-POP,6,0.13299917102663047,0.49546241760253906,0.07799106219095452,0.4231184129197049,0.3361111111111111,0.9059223218288314
DET-CLEAN-POP,7,0.05263726207731453,0.6178934077421824,0.13310374118150028,0.33736892779680727,0.20555555555555552,0.8809845890273004
DET-CLEAN-POP,8,0.06464378089004066,0.7587794214487076,0.06990853198334465,0.14784706953372764,0.4666666666666666,0.9745169555251558
