availability_denominator_records,eligible_operator_rows,failed_or_partial_rows,fallback_rows,method_id,operator_source,success_rows
8,8,0,0,M1_observation_warm_start_sdedit,population_projector,8
8,8,0,0,M2_final_hard_q_consistency,population_projector,8
8,8,0,0,M4_per_step_quadratic_proximal_q_consistency,population_projector,8
8,8,0,0,deterministic_Qy,population_projector,8
8,8,0,0,deterministic_soft_proximal,population_projector,8
8,8,0,0,task_matched_multichannel_deterministic_UNet,population_projector,8
8,6,0,2,M1_observation_warm_start_sdedit,matching_p0,8
8,6,0,2,M2_final_hard_q_consistency,matching_p0,8
8,6,0,2,M4_per_step_quadratic_proximal_q_consistency,matching_p0,8
8,6,0,2,deterministic_Qy,matching_p0,8
8,6,0,2,deterministic_soft_proximal,matching_p0,8
8,6,0,2,task_matched_multichannel_deterministic_UNet,matching_p0,8
8,8,0,0,M1_observation_warm_start_sdedit,query_derived_oracle_projector,8
8,8,0,0,M2_final_hard_q_consistency,query_derived_oracle_projector,8
8,8,0,0,M4_per_step_quadratic_proximal_q_consistency,query_derived_oracle_projector,8
8,8,0,0,deterministic_Qy,query_derived_oracle_projector,8
8,8,0,0,deterministic_soft_proximal,query_derived_oracle_projector,8
8,8,0,0,task_matched_multichannel_deterministic_UNet,query_derived_oracle_projector,8
