comparator_method_id,delta_correlation,delta_e_parallel,delta_e_perp,delta_psd_distortion,delta_rrmse,effective_operator_source,estimand,fallback_used,method_id,operator_source,source_record
deterministic_soft_proximal,-0.02415379949983487,0.17219541379696968,0.011612791413121975,0.19671447798865582,0.10740210794764748,population_projector,operator_effect,False,deterministic_Qy,population_projector,sim31
task_matched_multichannel_deterministic_UNet,-0.06058373058105726,0.622150533831837,0.017167377482219484,0.33164536573031556,0.38759672120345745,population_projector,operator_effect,False,deterministic_Qy,population_projector,sim31
deterministic_Qy,0.02415379949983487,-0.17219541379696968,-0.011612791413121975,-0.19671447798865582,-0.10740210794764748,population_projector,operator_effect,False,deterministic_soft_proximal,population_projector,sim31
task_matched_multichannel_deterministic_UNet,-0.03642993108122239,0.4499551200348674,0.005554586069097509,0.13493088774165976,0.28019461325580997,population_projector,operator_effect,False,deterministic_soft_proximal,population_projector,sim31
deterministic_Qy,0.06058373058105726,-0.622150533831837,-0.017167377482219484,-0.33164536573031556,-0.38759672120345745,population_projector,operator_effect,False,task_matched_multichannel_deterministic_UNet,population_projector,sim31
deterministic_soft_proximal,0.03642993108122239,-0.4499551200348674,-0.005554586069097509,-0.13493088774165976,-0.28019461325580997,population_projector,operator_effect,False,task_matched_multichannel_deterministic_UNet,population_projector,sim31
deterministic_Qy,-0.044189250449569895,0.20011897439164594,0.22606924021583596,0.0449469924662233,0.14942777135459695,population_projector,operator_effect,False,M1_observation_warm_start_sdedit,population_projector,sim31
deterministic_soft_proximal,-0.06834304994940477,0.3723143881886156,0.23768203162895796,0.24166147045487912,0.25682987930224443,population_projector,operator_effect,False,M1_observation_warm_start_sdedit,population_projector,sim31
task_matched_multichannel_deterministic_UNet,-0.10477298103062715,0.822269508223483,0.24323661769805546,0.3765923581965389,0.5370244925580544,population_projector,operator_effect,False,M1_observation_warm_start_sdedit,population_projector,sim31
deterministic_Qy,-0.09844991283499893,0.6577139992495918,0.0055729397450853466,-0.10563853167930803,0.4095029015315702,population_projector,operator_effect,False,M2_final_hard_q_consistency,population_projector,sim31
deterministic_soft_proximal,-0.1226037123348338,0.8299094130465615,0.01718573115820732,0.09107594630934779,0.5169050094792177,population_projector,operator_effect,False,M2_final_hard_q_consistency,population_projector,sim31
task_matched_multichannel_deterministic_UNet,-0.1590336434160562,1.279864533081429,0.02274031722730483,0.22600683405100755,0.7970996227350277,population_projector,operator_effect,False,M2_final_hard_q_consistency,population_projector,sim31
deterministic_Qy,-0.1552147708093884,5.293765127808398,0.04926594991177216,18.293003626477784,3.29628170645513,population_projector,operator_effect,False,M4_per_step_quadratic_proximal_q_consistency,population_projector,sim31
deterministic_soft_proximal,-0.17936857030922326,5.4659605416053685,0.06087874132489414,18.48971810446644,3.4036838144027772,population_projector,operator_effect,False,M4_per_step_quadratic_proximal_q_consistency,population_projector,sim31
task_matched_multichannel_deterministic_UNet,-0.21579850139044565,5.915915661640236,0.06643332739399165,18.6246489922081,3.683878427658587,population_projector,operator_effect,False,M4_per_step_quadratic_proximal_q_consistency,population_projector,sim31
deterministic_soft_proximal,-0.047164301702731115,0.17732508395353574,0.0650325868581222,0.19917667374214332,0.11609327172906636,matching_p0,matching_p0_eligible_only,False,deterministic_Qy,matching_p0,sim31
deterministic_soft_proximal,-0.047164301702731115,0.17732508395353574,0.0650325868581222,0.19917667374214332,0.11609327172906636,matching_p0,matching_request_fallback_policy,False,deterministic_Qy,matching_p0,sim31
task_matched_multichannel_deterministic_UNet,-0.08936600334292666,0.6077446944890643,0.12330799977147393,0.34318222482373684,0.3865227796400092,matching_p0,matching_p0_eligible_only,False,deterministic_Qy,matching_p0,sim31
task_matched_multichannel_deterministic_UNet,-0.08936600334292666,0.6077446944890643,0.12330799977147393,0.34318222482373684,0.3865227796400092,matching_p0,matching_request_fallback_policy,False,deterministic_Qy,matching_p0,sim31
deterministic_Qy,0.047164301702731115,-0.17732508395353574,-0.0650325868581222,-0.19917667374214332,-0.11609327172906636,matching_p0,matching_p0_eligible_only,False,deterministic_soft_proximal,matching_p0,sim31
deterministic_Qy,0.047164301702731115,-0.17732508395353574,-0.0650325868581222,-0.19917667374214332,-0.11609327172906636,matching_p0,matching_request_fallback_policy,False,deterministic_soft_proximal,matching_p0,sim31
task_matched_multichannel_deterministic_UNet,-0.042201701640195544,0.4304196105355285,0.058275412913351726,0.14400555108159352,0.27042950791094283,matching_p0,matching_p0_eligible_only,False,deterministic_soft_proximal,matching_p0,sim31
task_matched_multichannel_deterministic_UNet,-0.042201701640195544,0.4304196105355285,0.058275412913351726,0.14400555108159352,0.27042950791094283,matching_p0,matching_request_fallback_policy,False,deterministic_soft_proximal,matching_p0,sim31
deterministic_Qy,0.08936600334292666,-0.6077446944890643,-0.12330799977147393,-0.34318222482373684,-0.3865227796400092,matching_p0,matching_p0_eligible_only,False,task_matched_multichannel_deterministic_UNet,matching_p0,sim31
deterministic_Qy,0.08936600334292666,-0.6077446944890643,-0.12330799977147393,-0.34318222482373684,-0.3865227796400092,matching_p0,matching_request_fallback_policy,False,task_matched_multichannel_deterministic_UNet,matching_p0,sim31
deterministic_soft_proximal,0.042201701640195544,-0.4304196105355285,-0.058275412913351726,-0.14400555108159352,-0.27042950791094283,matching_p0,matching_p0_eligible_only,False,task_matched_multichannel_deterministic_UNet,matching_p0,sim31
deterministic_soft_proximal,0.042201701640195544,-0.4304196105355285,-0.058275412913351726,-0.14400555108159352,-0.27042950791094283,matching_p0,matching_request_fallback_policy,False,task_matched_multichannel_deterministic_UNet,matching_p0,sim31
deterministic_Qy,-0.013866642169834908,0.1860960962653435,0.11922964866306998,0.03108214368998108,0.13279319125154798,matching_p0,matching_p0_eligible_only,False,M1_observation_warm_start_sdedit,matching_p0,sim31
deterministic_Qy,-0.013866642169834908,0.1860960962653435,0.11922964866306998,0.03108214368998108,0.13279319125154798,matching_p0,matching_request_fallback_policy,False,M1_observation_warm_start_sdedit,matching_p0,sim31
deterministic_soft_proximal,-0.061030943872566024,0.36342118021887926,0.1842622355211922,0.2302588174321244,0.24888646298061434,matching_p0,matching_p0_eligible_only,False,M1_observation_warm_start_sdedit,matching_p0,sim31
deterministic_soft_proximal,-0.061030943872566024,0.36342118021887926,0.1842622355211922,0.2302588174321244,0.24888646298061434,matching_p0,matching_request_fallback_policy,False,M1_observation_warm_start_sdedit,matching_p0,sim31
task_matched_multichannel_deterministic_UNet,-0.10323264551276157,0.7938407907544078,0.2425376484345439,0.3742643685137179,0.5193159708915571,matching_p0,matching_p0_eligible_only,False,M1_observation_warm_start_sdedit,matching_p0,sim31
task_matched_multichannel_deterministic_UNet,-0.10323264551276157,0.7938407907544078,0.2425376484345439,0.3742643685137179,0.5193159708915571,matching_p0,matching_request_fallback_policy,False,M1_observation_warm_start_sdedit,matching_p0,sim31
deterministic_Qy,-0.1266431856483201,0.6826764469888102,0.0794624147682571,-0.10251838351440723,0.4295603367247124,matching_p0,matching_p0_eligible_only,False,M2_final_hard_q_consistency,matching_p0,sim31
deterministic_Qy,-0.1266431856483201,0.6826764469888102,0.0794624147682571,-0.10251838351440723,0.4295603367247124,matching_p0,matching_request_fallback_policy,False,M2_final_hard_q_consistency,matching_p0,sim31
