method,participant,rrmse_temporal,seed
SCAD_MATCH_DDIM10,sub-06,0.8063997191267036,20260808
SCAD_MATCH_DDIM50,sub-06,0.7976169674285403,20260808
SCAD_NO_CONTEXT,sub-06,0.791133974858288,20260808
SCAD_NO_RANK_MATCH,sub-06,0.8026283854625136,20260808
SCAD_POP,sub-06,0.7913927798169121,20260808
SCAD_V_MATCH,sub-06,1.39479161836789,20260808
SCAD_WRONG,sub-06,0.8100750839738693,20260808
STANDARD,sub-06,1.050695574404219,20260808
DET_MATCH,sub-06,0.7221533793959276,20260810
DET_POP,sub-06,0.7258529370236728,20260810
DET_WRONG,sub-06,0.7226773665380379,20260810
RAW,sub-06,1.050695574404219,20260810
SCAD_MATCH,sub-06,0.738405127128418,20260810
SCAD_NO_CONTEXT,sub-06,0.7379149463991376,20260810
SCAD_POP,sub-06,0.7343929771418011,20260810
SCAD_WRONG,sub-06,0.7363760009886593,20260810
STANDARD,sub-06,1.050695574404219,20260810
DET_MATCH,sub-06,0.6947690883712817,20260811
DET_POP,sub-06,0.6940506199106393,20260811
DET_WRONG,sub-06,0.6940968384054333,20260811
RAW,sub-06,1.050695574404219,20260811
SCAD_MATCH,sub-06,0.7801168864227496,20260811
SCAD_NO_CONTEXT,sub-06,0.8023738922622417,20260811
SCAD_POP,sub-06,0.7868680024710354,20260811
SCAD_WRONG,sub-06,0.7787652859179717,20260811
STANDARD,sub-06,1.050695574404219,20260811
DET_MATCH,sub-07,0.7921814468411159,20260808
DET_POP,sub-07,0.7899826764009452,20260808
DET_WRONG,sub-07,0.7936943372090658,20260808
EEGDFUS_UNIFIED,sub-07,0.8915926223126007,20260808
RAW,sub-07,1.0542443290630925,20260808
SCAD_MATCH,sub-07,0.8819047044606931,20260808
SCAD_MATCH_DDIM10,sub-07,0.8823215322627219,20260808
SCAD_MATCH_DDIM50,sub-07,0.8794203930657305,20260808
SCAD_NO_CONTEXT,sub-07,0.8782382266686506,20260808
SCAD_NO_RANK_MATCH,sub-07,0.8814302063757269,20260808
SCAD_POP,sub-07,0.8687436717300443,20260808
SCAD_V_MATCH,sub-07,1.4499571841507635,20260808
SCAD_WRONG,sub-07,0.8849421914847982,20260808
STANDARD,sub-07,1.0542443290630925,20260808
DET_MATCH,sub-07,0.8041027197986195,20260810
DET_POP,sub-07,0.805361391328107,20260810
DET_WRONG,sub-07,0.8046705030250855,20260810
RAW,sub-07,1.0542443290630925,20260810
SCAD_MATCH,sub-07,0.8381900780077558,20260810
SCAD_NO_CONTEXT,sub-07,0.8454134378326772,20260810
SCAD_POP,sub-07,0.8366028197520385,20260810
SCAD_WRONG,sub-07,0.848051496576065,20260810
STANDARD,sub-07,1.0542443290630925,20260810
DET_MATCH,sub-07,0.794873346487293,20260811
DET_POP,sub-07,0.7925417364701085,20260811
DET_WRONG,sub-07,0.7974988274153374,20260811
RAW,sub-07,1.0542443290630925,20260811
SCAD_MATCH,sub-07,0.8448779871299241,20260811
SCAD_NO_CONTEXT,sub-07,0.8646070727457602,20260811
SCAD_POP,sub-07,0.8567672332719668,20260811
SCAD_WRONG,sub-07,0.8517809529423378,20260811
STANDARD,sub-07,1.0542443290630925,20260811
DET_MATCH,sub-09,10.25199677495079,20260808
DET_POP,sub-09,10.25122817026891,20260808
DET_WRONG,sub-09,10.25199296956028,20260808
EEGDFUS_UNIFIED,sub-09,10.374610652170507,20260808
RAW,sub-09,10.491861283882624,20260808
SCAD_MATCH,sub-09,10.37936669861665,20260808
SCAD_MATCH_DDIM10,sub-09,10.380577652475848,20260808
SCAD_MATCH_DDIM50,sub-09,10.377943972287337,20260808
SCAD_NO_CONTEXT,sub-09,10.36164151032507,20260808
SCAD_NO_RANK_MATCH,sub-09,10.379162008958195,20260808
SCAD_POP,sub-09,10.372571597218567,20260808
SCAD_V_MATCH,sub-09,10.592812920674785,20260808
SCAD_WRONG,sub-09,10.375340541857037,20260808
STANDARD,sub-09,10.491861283882624,20260808
DET_MATCH,sub-09,10.313584540078105,20260810
DET_POP,sub-09,10.31712704080726,20260810
DET_WRONG,sub-09,10.315348907716624,20260810
RAW,sub-09,10.491861283882624,20260810
SCAD_MATCH,sub-09,10.443879884441332,20260810
SCAD_NO_CONTEXT,sub-09,10.436365994469574,20260810
SCAD_POP,sub-09,10.439192438873254,20260810
SCAD_WRONG,sub-09,10.436694933017456,20260810
STANDARD,sub-09,10.491861283882624,20260810
DET_MATCH,sub-09,10.261371547136353,20260811
DET_POP,sub-09,10.262258509296872,20260811
DET_WRONG,sub-09,10.2622612893659,20260811
RAW,sub-09,10.491861283882624,20260811
SCAD_MATCH,sub-09,10.407084482508557,20260811
SCAD_NO_CONTEXT,sub-09,10.399521372546182,20260811
SCAD_POP,sub-09,10.404787754963358,20260811
SCAD_WRONG,sub-09,10.402876473225962,20260811
STANDARD,sub-09,10.491861283882624,20260811
DET_MATCH,sub-11,1.2237080433664638,20260808
DET_POP,sub-11,1.2261121943722375,20260808
DET_WRONG,sub-11,1.2322127650517765,20260808
EEGDFUS_UNIFIED,sub-11,1.2769618095092785,20260808
RAW,sub-11,1.6034603690204676,20260808
SCAD_MATCH,sub-11,1.2576906872984384,20260808
SCAD_MATCH_DDIM10,sub-11,1.256676934190586,20260808
SCAD_MATCH_DDIM50,sub-11,1.260553884656272,20260808
SCAD_NO_CONTEXT,sub-11,1.2718715828410092,20260808
