partition,study,participant_stem,recording_key,release_layout_id,p0_layout_id,sampling_rate_hz,support_block,query_block,population_source_count,method_id,status,operator_source,gamma,fallback_used,uses_query_external_eog,matching_projector_attenuation_db,population_projector_attenuation_db,nonartifact_observation_preservation,artifact_sample_fraction,rest_sample_fraction,eog_coherence_raw,eog_coherence_output,eog_coherence_reduction,reference_free_psd_distortion,reference_free_covariance_distortion,heldout_eog_prediction_remaining_ratio,condition_erp_observation_relative_preservation,condition_erp_proxy_status,observation_change_ratio,clean_waveform_metric
evaluation,study02,study02_p02,study02/study02_p02,layout_02,p0_layout_02,200.0,1,2,14,raw,success,raw,,False,False,0.0,0.0,1.0,0.3406730769230769,0.3223076923076923,0.40186799048186,0.40186799048186,0.0,0.0,0.0,1.0,1.0,success_observation_relative_four_condition_ERP,0.0,N/A_no_clean_target
evaluation,study02,study02_p02,study02/study02_p02,layout_02,p0_layout_02,200.0,1,2,14,pop_Qy,success,Pi0,,False,False,36.37715031489707,306.3447381644444,0.2729920668564899,0.3406730769230769,0.3223076923076923,0.40186799048186,0.12410695422451606,0.27776103625734394,0.6249666094266538,0.9101804215610765,0.5676974996954826,0.05657127218273428,success_observation_relative_four_condition_ERP,0.8756453553844219,N/A_no_clean_target
evaluation,study02,study02_p02,study02/study02_p02,layout_02,p0_layout_02,200.0,1,2,14,POP_fallback,success,Pi0,,True,False,36.37715031489707,306.3447381644444,0.2729920668564899,0.3406730769230769,0.3223076923076923,0.40186799048186,0.12410695422451606,0.27776103625734394,0.6249666094266538,0.9101804215610765,0.5676974996954826,0.05657127218273428,success_observation_relative_four_condition_ERP,0.8756453553844219,N/A_no_clean_target
evaluation,study02,study02_p02,study02/study02_p02,layout_02,p0_layout_02,200.0,1,2,14,matching_Qy,success,matching_block1_P0,,False,False,311.9768651505844,38.19718312555506,0.2647487775522368,0.3406730769230769,0.3223076923076923,0.40186799048186,0.06988881605201924,0.33197917442984076,0.6170524317304998,0.9156004669258649,0.5652890135268868,0.051942179312226666,success_observation_relative_four_condition_ERP,0.8806920264483598,N/A_no_clean_target
evaluation,study02,study02_p02,study02/study02_p02,layout_02,p0_layout_02,200.0,1,2,14,wrong_Qy,success,study02_p03,,False,False,24.173566678804033,26.813010164820565,0.3128048473809444,0.3406730769230769,0.3223076923076923,0.40186799048186,0.19463886933233743,0.20722912114952258,0.5636947318220467,0.8777518498467924,0.5629690189498934,0.07316784859574044,success_observation_relative_four_condition_ERP,0.8544115293341908,N/A_no_clean_target
evaluation,study02,study02_p02,study02/study02_p02,layout_02,p0_layout_02,200.0,1,2,14,shuffled_Qy,fallback_POP,shuffled_P0_ineligible,,True,False,36.37715031489707,306.3447381644444,0.2729920668564899,0.3406730769230769,0.3223076923076923,0.40186799048186,0.12410695422451606,0.27776103625734394,0.6249666094266538,0.9101804215610765,0.5676974996954826,0.05657127218273428,success_observation_relative_four_condition_ERP,0.8756453553844219,N/A_no_clean_target
evaluation,study02,study02_p02,study02/study02_p02,layout_02,p0_layout_02,200.0,1,2,14,B6_Qy__gamma_0,success,B6_POP_SHRINK,0.0,False,False,36.37715031489707,306.3447381644444,0.2729920668564899,0.3406730769230769,0.3223076923076923,0.40186799048186,0.12410695422451606,0.27776103625734394,0.6249666094266538,0.9101804215610765,0.5676974996954826,0.05657127218273428,success_observation_relative_four_condition_ERP,0.8756453553844219,N/A_no_clean_target
evaluation,study02,study02_p02,study02/study02_p02,layout_02,p0_layout_02,200.0,1,2,14,B6_soft_proximal__gamma_0,success,B6_POP_SHRINK,0.0,False,False,11.805997162957683,12.04119982655926,0.4547440501423673,0.3406730769230769,0.3223076923076923,0.40186799048186,0.22905263033010062,0.17281536015175938,0.5276489222340977,0.7842711478072606,0.49180809854082685,0.29242845413705076,success_observation_relative_four_condition_ERP,0.6567340165383164,N/A_no_clean_target
evaluation,study02,study02_p02,study02/study02_p02,layout_02,p0_layout_02,200.0,1,2,14,native_sgeyesub_python_release_internal,success_source_faithful_not_matlab_cross_validated,official_commit_2c95b4f_python_port,,False,False,8.16545056105521,8.221782119098611,0.8752918078990856,0.3406730769230769,0.3223076923076923,0.40186799048186,0.09895932251968803,0.302908667962172,0.1191690630343262,0.03297865440062905,0.17530258850128527,0.13833276394441674,success_observation_relative_four_condition_ERP,0.7202260170801703,N/A_no_clean_target
evaluation,study02,study02_p03,study02/study02_p03,layout_02,p0_layout_02,200.0,1,2,14,raw,success,raw,,False,False,0.0,0.0,1.0,0.370546875,0.3218229166666667,0.42915667574716293,0.42915667574716293,0.0,0.0,0.0,1.0,1.0,success_observation_relative_four_condition_ERP,0.0,N/A_no_clean_target
evaluation,study02,study02_p03,study02/study02_p03,layout_02,p0_layout_02,200.0,1,2,14,pop_Qy,success,Pi0,,False,False,27.1293774139276,308.91739971178856,0.3027753482576431,0.370546875,0.3218229166666667,0.42915667574716293,0.19179820365751626,0.23735847208964667,0.6000661284868343,0.907346104506425,0.48574149529796073,0.047596512379682876,success_observation_relative_four_condition_ERP,0.898426098543697,N/A_no_clean_target
evaluation,study02,study02_p03,study02/study02_p03,layout_02,p0_layout_02,200.0,1,2,14,POP_fallback,success,Pi0,,True,False,27.1293774139276,308.91739971178856,0.3027753482576431,0.370546875,0.3218229166666667,0.42915667574716293,0.19179820365751626,0.23735847208964667,0.6000661284868343,0.907346104506425,0.48574149529796073,0.047596512379682876,success_observation_relative_four_condition_ERP,0.898426098543697,N/A_no_clean_target
evaluation,study02,study02_p03,study02/study02_p03,layout_02,p0_layout_02,200.0,1,2,14,matching_Qy,success,matching_block1_P0,,False,False,312.14030990277655,28.7794135347303,0.34056334499963115,0.370546875,0.3218229166666667,0.42915667574716293,0.040309466819022366,0.38884720892814056,0.5380262096000381,0.8738594542142595,0.43501817704011714,0.03902762730367115,success_observation_relative_four_condition_ERP,0.8979458783598925,N/A_no_clean_target
