partition,method_id,metric,participant_stem_count,mean,ci95_low,ci95_high,inference_unit
evaluation,B6_Qy__gamma_0,matching_projector_attenuation_db,44,28.948987906495766,26.548333647230436,31.17620233326157,release_scoped_study_participant_stem
evaluation,B6_Qy__gamma_0,population_projector_attenuation_db,43,310.48966460016385,309.4065435614479,311.53596539877867,release_scoped_study_participant_stem
evaluation,B6_Qy__gamma_0,nonartifact_observation_preservation,44,0.2888650162636412,0.26003772872777053,0.33037853247246,release_scoped_study_participant_stem
evaluation,B6_Qy__gamma_0,eog_coherence_reduction,44,0.31942807314569294,0.2923437943898451,0.34675947013217895,release_scoped_study_participant_stem
evaluation,B6_Qy__gamma_0,reference_free_psd_distortion,44,0.6532964182227525,0.6118662827704395,0.6854217600126973,release_scoped_study_participant_stem
evaluation,B6_Qy__gamma_0,reference_free_covariance_distortion,44,0.8912286253552928,0.8445649605253697,0.921657381252423,release_scoped_study_participant_stem
evaluation,B6_Qy__gamma_0,heldout_eog_prediction_remaining_ratio,44,0.6339149371018499,0.5710197087469286,0.6983111497098515,release_scoped_study_participant_stem
evaluation,B6_Qy__gamma_0,condition_erp_observation_relative_preservation,42,0.08335372029512814,0.053219526470878485,0.13364651039344747,release_scoped_study_participant_stem
evaluation,B6_Qy__gamma_0,observation_change_ratio,44,0.8693169631479587,0.8250230718494308,0.8977342618689484,release_scoped_study_participant_stem
evaluation,B6_soft_proximal__gamma_0,matching_projector_attenuation_db,44,11.369827835450204,10.773829794370855,11.7102275234883,release_scoped_study_participant_stem
evaluation,B6_soft_proximal__gamma_0,population_projector_attenuation_db,43,12.041199826559248,12.041199826559245,12.04119982655925,release_scoped_study_participant_stem
evaluation,B6_soft_proximal__gamma_0,nonartifact_observation_preservation,44,0.46664876219773094,0.4434719770021836,0.4963003215135959,release_scoped_study_participant_stem
evaluation,B6_soft_proximal__gamma_0,eog_coherence_reduction,44,0.17583851148100285,0.16256253028130466,0.1871469415067025,release_scoped_study_participant_stem
evaluation,B6_soft_proximal__gamma_0,reference_free_psd_distortion,44,0.5540841025889283,0.5165604572881928,0.5863238155400505,release_scoped_study_participant_stem
evaluation,B6_soft_proximal__gamma_0,reference_free_covariance_distortion,44,0.7782618101904167,0.7313387128538605,0.8082172674391331,release_scoped_study_participant_stem
evaluation,B6_soft_proximal__gamma_0,heldout_eog_prediction_remaining_ratio,44,0.5529609374383432,0.506359853974074,0.6016850745992585,release_scoped_study_participant_stem
evaluation,B6_soft_proximal__gamma_0,condition_erp_observation_relative_preservation,42,0.3125152902213461,0.2898846298339263,0.35114702135741055,release_scoped_study_participant_stem
evaluation,B6_soft_proximal__gamma_0,observation_change_ratio,44,0.6519877223609688,0.6146737949058529,0.6744433594034746,release_scoped_study_participant_stem
evaluation,POP_fallback,matching_projector_attenuation_db,44,28.948987906495766,26.470120749572732,31.26506913716694,release_scoped_study_participant_stem
evaluation,POP_fallback,population_projector_attenuation_db,43,310.48966460016385,309.3769526303667,311.5839430408789,release_scoped_study_participant_stem
evaluation,POP_fallback,nonartifact_observation_preservation,44,0.2888650162636412,0.2581590836205989,0.33080183224816756,release_scoped_study_participant_stem
