development_epsilon_mse_diagnostic_only,epoch,step,train_epsilon_mse
0.17615021940539866,49,250,0.2285164177417755
0.11177102958454806,99,500,0.14505258202552795
0.07941443582668024,149,750,0.09909366071224213
0.0584469744387795,199,1000,0.08273991793394089
0.0470287439358585,249,1250,0.06849528700113297
0.041241462287657404,299,1500,0.0732153221964836
0.03563040440135142,349,1750,0.04145536199212074
0.030081312446033254,399,2000,0.03737005554139614
0.02803898509591818,449,2250,0.03792866915464401
0.02582212975796531,499,2500,0.031167246401309967
0.023057773380595094,549,2750,0.042645595222711566
0.019710711532217616,599,3000,0.03304813802242279
0.021370802239021835,649,3250,0.02674671895802021
0.018464194062878105,699,3500,0.03746035546064377
0.016236350323785755,749,3750,0.029039164260029792
0.01630231546347632,799,4000,0.02432222254574299
0.015354620539309347,849,4250,0.01790704485028982
0.01760854763800607,899,4500,0.023306442238390446
0.013994132195982863,949,4750,0.02014322318136692
0.01624850249465774,999,5000,0.0308096207678318
0.013140739955227165,1049,5250,0.01896971557289362
0.012502733946723096,1099,5500,0.01718449145555496
0.012676786768304952,1149,5750,0.026045812107622624
0.012489511576645514,1199,6000,0.012425443716347217
