development_epsilon_mse_diagnostic_only,epoch,step,train_epsilon_mse
0.17394759725121892,49,250,0.2094688296318054
0.11093728594920214,99,500,0.14595631062984465
0.07983221508124295,149,750,0.10585051327943802
0.059641917619635075,199,1000,0.0726223960518837
0.04760048691840733,249,1250,0.06908345445990563
0.0399386411642327,299,1500,0.06808780282735824
0.034725282779511285,349,1750,0.043952152132987976
0.0359472257687765,399,2000,0.04032489620149136
0.02908487113959649,449,2250,0.045351280644536016
0.024416388122036177,499,2500,0.034990716725587845
0.023227024494725114,549,2750,0.0323681864887476
0.020886044784942093,599,3000,0.03750607036054134
0.01894718419541331,649,3250,0.02926691360771656
0.021469383664867458,699,3500,0.024328974634408952
0.017255196566967404,749,3750,0.026053811609745025
0.01724740271182621,799,4000,0.021410535834729672
0.01677255902220221,849,4250,0.020625955052673818
0.014975468244622736,899,4500,0.02027493193745613
0.013910496936124913,949,4750,0.014942346140742302
0.014324242851751693,999,5000,0.018859333544969558
0.015165987232809557,1049,5250,0.01811687909066677
0.012701563317986095,1099,5500,0.020392485521733762
0.011924696867080295,1149,5750,0.016134669072926044
0.01287513763150748,1199,6000,0.01755868159234524
