group_statistic,heldout_participant,joint_max_statistic,outer_cell_q95,panel,participant_vector,replicate_id,status
ABSENT,sub-02,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-02,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-03,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-03,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-05,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-05,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-06,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-06,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-07,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-07,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-09,ABSENT,0.18497472532917913,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-09,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-11,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-11,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-12,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-12,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-14,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-14,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-15,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-15,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-17,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-17,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-18,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-18,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-19,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-19,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-21,ABSENT,0.24507033136341397,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-21,ABSENT,0.09695974229727343,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-23,ABSENT,0.03235917247997254,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-23,ABSENT,0.0,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-24,ABSENT,0.22326810952781267,natural,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
ABSENT,sub-24,ABSENT,0.08310835054051988,paired,ABSENT,ABSENT,"original implementation used cross-participant stress cells, not null replicates"
