absolute_component,dominant_component,floor,group_null_statistic,heldout_participant,joint_max_statistic,one_sided_clip,outer_cell_count,outer_null_q95,panel,permutation_replicate,quantile_method,relative_component,relative_reference_pop_risk,scientific_unit
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-02,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.04331024568648462,0.8662049137296924,participant cell from another LOPO fold
0.01,relative,0.45754049583407985,ABSENT,sub-02,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.45754049583407985,9.150809916681597,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-03,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.041715760055408814,0.8343152011081763,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.09695974229727343,ABSENT,sub-03,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.07627322286068919,1.5254644572137837,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-05,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.036887437041989345,0.7377487408397868,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.09695974229727343,ABSENT,sub-05,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.08283419217389236,1.656683843477847,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-06,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.04162120841373426,0.8324241682746851,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.09695974229727343,ABSENT,sub-06,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.06806123688620493,1.3612247377240985,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-07,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.047377972356516196,0.9475594471303238,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.09695974229727343,ABSENT,sub-07,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.07994274340084201,1.59885486801684,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.18497472532917913,ABSENT,sub-09,ABSENT,"max(0,effect)",14,0.18497472532917913,natural,ABSENT,numpy_linear,0.05601811356581801,1.1203622713163601,participant cell from another LOPO fold
0.01,relative,0.8347107341743683,ABSENT,sub-09,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.8347107341743683,16.694214683487363,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-11,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.046781966820395225,0.9356393364079044,participant cell from another LOPO fold
0.01,relative,0.09938119777795212,ABSENT,sub-11,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.09938119777795212,1.9876239555590423,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-12,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.037929057885141615,0.7585811577028323,participant cell from another LOPO fold
0.01,relative,0.10145765333700499,ABSENT,sub-12,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.10145765333700499,2.0291530667400997,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-14,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.03800565844914274,0.7601131689828547,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.09695974229727343,ABSENT,sub-14,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.0685249922789599,1.370499845579198,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-15,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.0416896973298883,0.833793946597766,participant cell from another LOPO fold
0.01,relative,0.20274111183978194,ABSENT,sub-15,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.20274111183978194,4.054822236795639,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-17,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.038011448517592084,0.7602289703518417,participant cell from another LOPO fold
0.01,relative,0.10919226896118282,ABSENT,sub-17,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.10919226896118282,2.1838453792236563,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-18,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.03760370727641178,0.7520741455282356,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.09695974229727343,ABSENT,sub-18,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.08336493305667379,1.6672986611334757,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-19,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.04090330763006167,0.8180661526012334,participant cell from another LOPO fold
0.01,relative,0.14804850454729354,ABSENT,sub-19,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.14804850454729354,2.960970090945871,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.24507033136341397,ABSENT,sub-21,ABSENT,"max(0,effect)",14,0.24507033136341397,natural,ABSENT,numpy_linear,0.039028469436595076,0.7805693887319014,participant cell from another LOPO fold
0.01,outer_time_shift_q95,0.09695974229727343,ABSENT,sub-21,ABSENT,"max(0,effect)",14,0.09695974229727343,paired,ABSENT,numpy_linear,0.08324529304136791,1.664905860827358,participant cell from another LOPO fold
0.01,relative,0.0747926800090148,ABSENT,sub-23,ABSENT,"max(0,effect)",14,0.03235917247997254,natural,ABSENT,numpy_linear,0.0747926800090148,1.495853600180296,participant cell from another LOPO fold
0.01,relative,0.07660782290637638,ABSENT,sub-23,ABSENT,"max(0,effect)",14,0.0,paired,ABSENT,numpy_linear,0.07660782290637638,1.5321564581275275,participant cell from another LOPO fold
