method,participant_stems,rrmse_mean,correlation_mean,delta_snr_mean,eog_coherence_reduction_mean,nonartifact_preservation_mean,psd_distortion_mean,covariance_distortion_mean
RAW,58,0.8426600427463137,0.7807805188151794,0.0,0.0,1.0,0.0,0.0
DET-MATCH,58,0.46553577071633834,0.8949082825247647,4.451566864704263,0.042259135095905405,0.5854066117056484,0.21311810413568183,0.24790394696267007
DET-POP,58,0.4440623827535531,0.90334711709751,4.964002188166668,0.0413459039594152,0.6164642384853857,0.19313381849948702,0.1913382715819937
DET-WRONG,58,0.45952408966319314,0.8976256919265191,4.5646447864329,0.041983305013207406,0.5863746039826294,0.20887658751473345,0.24046124318826398
DIFF-MATCH,58,0.7657229684550186,0.7855956375401286,-0.02817627790801484,0.04991713540628573,0.4031070041759261,1.2016847152905217,0.18761110856586233
DIFF-POP,58,0.7639114584388405,0.7872914489192595,0.0085556258543812,0.05032470226161096,0.39935100823640823,1.1937198710852657,0.15759432283737795
DIFF-WRONG,58,0.761127787417379,0.7871100400841335,0.025538509775852335,0.04996015223014686,0.4068787935478934,1.1977580038124118,0.17959163921522775
