recording_key,block1_duration_seconds,support_seconds,implicit_guard_before_block2_seconds,required_guard_seconds,guard_satisfied
study01/study01_p01,200.0,30.0,170.0,5.0,True
study01/study01_p02,208.0,30.0,178.0,5.0,True
study01/study01_p03,200.0,30.0,170.0,5.0,True
study01/study01_p04,192.0,30.0,162.0,5.0,True
study01/study01_p05,208.0,30.0,178.0,5.0,True
study02/study02_p02,152.0,30.0,122.0,5.0,True
study02/study02_p03,200.0,30.0,170.0,5.0,True
study02/study02_p06,176.0,30.0,146.0,5.0,True
study02/study02_p07,208.0,30.0,178.0,5.0,True
study02/study02_p08,152.0,30.0,122.0,5.0,True
study02/study02_p09,200.0,30.0,170.0,5.0,True
study02/study02_p10,192.0,30.0,162.0,5.0,True
study02/study02_p11,192.0,30.0,162.0,5.0,True
study02/study02_p12,176.0,30.0,146.0,5.0,True
study02/study02_p13,184.0,30.0,154.0,5.0,True
study02/study02_p14,200.0,30.0,170.0,5.0,True
study02/study02_p15,192.0,30.0,162.0,5.0,True
study02/study02_p16,192.0,30.0,162.0,5.0,True
study02/study02_p17,208.0,30.0,178.0,5.0,True
study02/study02_p18,184.0,30.0,154.0,5.0,True
study03/study03_p03,208.0,30.0,178.0,5.0,True
study03/study03_p19,168.0,30.0,138.0,5.0,True
study03/study03_p20,176.0,30.0,146.0,5.0,True
study03/study03_p21,152.0,30.0,122.0,5.0,True
study03/study03_p22,168.0,30.0,138.0,5.0,True
study03/study03_p23,136.0,30.0,106.0,5.0,True
study03/study03_p24,184.0,30.0,154.0,5.0,True
study03/study03_p25,152.0,30.0,122.0,5.0,True
study03/study03_p26,144.0,30.0,114.0,5.0,True
study03/study03_p27,184.0,30.0,154.0,5.0,True
study04/study04_p03,192.0,30.0,162.0,5.0,True
study04/study04_p08,160.0,30.0,130.0,5.0,True
study04/study04_p24,168.0,30.0,138.0,5.0,True
study04/study04_p28,168.0,30.0,138.0,5.0,True
study04/study04_p29,192.0,30.0,162.0,5.0,True
study04/study04_p30,192.0,30.0,162.0,5.0,True
study04/study04_p31,168.0,30.0,138.0,5.0,True
study04/study04_p32,184.0,30.0,154.0,5.0,True
study04/study04_p33,216.0,30.0,186.0,5.0,True
study04/study04_p34,152.0,30.0,122.0,5.0,True
study04/study04_p35,208.0,30.0,178.0,5.0,True
study04/study04_p36,216.0,30.0,186.0,5.0,True
study04/study04_p37,168.0,30.0,138.0,5.0,True
study04/study04_p38,136.0,30.0,106.0,5.0,True
study04/study04_p39,176.0,30.0,146.0,5.0,True
study05/study05_p06,312.0,30.0,282.0,5.0,True
study05/study05_p10,312.0,30.0,282.0,5.0,True
study05/study05_p24,264.0,30.0,234.0,5.0,True
study05/study05_p40,296.0,30.0,266.0,5.0,True
study05/study05_p41,272.0,30.0,242.0,5.0,True
study05/study05_p42,312.0,30.0,282.0,5.0,True
study05/study05_p43,312.0,30.0,282.0,5.0,True
study05/study05_p44,288.0,30.0,258.0,5.0,True
study05/study05_p45,296.0,30.0,266.0,5.0,True
study05/study05_p46,312.0,30.0,282.0,5.0,True
study05/study05_p47,280.0,30.0,250.0,5.0,True
study05/study05_p48,296.0,30.0,266.0,5.0,True
study05/study05_p49,216.0,30.0,186.0,5.0,True
study05/study05_p50,288.0,30.0,258.0,5.0,True
