seed,fold_id,recording_key,study,method,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,RAW,0.0,1.0,0.0,0.0
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DET-MATCH,0.035837477619021105,0.49756723642349243,0.24515478312969208,0.4362819157491607
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DET-POP,0.03207935637730206,0.6636432707309723,0.14887449145317078,0.1327331898165542
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DET-WRONG,0.03405904255261452,0.5839388370513916,0.18867939710617065,0.18627550390914782
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DIFF-MATCH,0.03598718385308468,0.07375890016555786,1.0515042543411255,0.4020347553220359
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DIFF-POP,0.03498845773845398,0.09591615200042725,1.0232146978378296,0.2877558176296825
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DIFF-WRONG,0.03394143744211259,0.09801799058914185,1.0764714479446411,0.34042497713787884
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,RAW,0.0,1.0,0.0,0.0
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DET-MATCH,0.03208780829023955,0.5700995028018951,0.25821298360824585,0.20862335909932783
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DET-POP,0.033348676507714496,0.6946055293083191,0.16637393832206726,0.09247379860377891
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DET-WRONG,0.03844374806042118,0.5831640958786011,0.2549106478691101,0.290949707270596
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DIFF-MATCH,0.037791080740762165,0.10962694883346558,1.737480640411377,0.34210986933549614
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DIFF-POP,0.042861823899799895,0.107338547706604,1.682190179824829,0.3261016420864809
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DIFF-WRONG,0.041769764073000384,0.10511165857315063,1.7083147764205933,0.36161913347151553
20260806,study01_layout_01_heldout_00,study01/study01_p03,study01,RAW,0.0,1.0,0.0,0.0
20260806,study01_layout_01_heldout_00,study01/study01_p03,study01,DET-MATCH,0.047125072900912376,0.4094843864440918,0.36346644163131714,0.5026896583446115
20260806,study01_layout_01_heldout_00,study01/study01_p03,study01,DET-POP,0.03991959097088668,0.5698922276496887,0.248334139585495,0.2691185120856184
20260806,study01_layout_01_heldout_00,study01/study01_p03,study01,DET-WRONG,0.042028437842261686,0.47319304943084717,0.3272908926010132,0.48167680442620325
20260806,study01_layout_01_heldout_00,study01/study01_p03,study01,DIFF-MATCH,0.045434414882790944,-0.2065291404724121,1.2278658151626587,0.4821035978467904
20260806,study01_layout_01_heldout_00,study01/study01_p03,study01,DIFF-POP,0.04979431409196093,-0.20135748386383057,1.1782264709472656,0.41053936563892707
