fold_id,recording_key,wrong_donors,paired_windows,Q_roles,overlap,H_support_vs_H_generator_distance,H_population_vs_H_generator_distance
study01_layout_01_heldout_00,study01/study01_p01,study01/study01_p02;study01/study01_p03,4,trial_ordinal_mod3_generator_clean_artifact,False,3.142153152336987,6.628966808319092
study01_layout_01_heldout_00,study01/study01_p02,study01/study01_p01;study01/study01_p03,4,trial_ordinal_mod3_generator_clean_artifact,False,7.240465623741084,8.896234512329102
study01_layout_01_heldout_00,study01/study01_p03,study01/study01_p01;study01/study01_p02,4,trial_ordinal_mod3_generator_clean_artifact,False,1.8885955931211456,7.065459728240967
study01_layout_01_heldout_01,study01/study01_p04,study01/study01_p05,4,trial_ordinal_mod3_generator_clean_artifact,False,4.079326062141945,2.854262590408325
study01_layout_01_heldout_01,study01/study01_p05,study01/study01_p04,4,trial_ordinal_mod3_generator_clean_artifact,False,13.475995109296194,6.329134941101074
study02_layout_02_heldout_00,study02/study02_p02,study02/study02_p03;study02/study02_p06,4,trial_ordinal_mod3_generator_clean_artifact,False,8.248768495150358,7.455069541931152
study02_layout_02_heldout_00,study02/study02_p03,study02/study02_p02;study02/study02_p06,4,trial_ordinal_mod3_generator_clean_artifact,False,7.493016023241316,5.140578746795654
study02_layout_02_heldout_00,study02/study02_p06,study02/study02_p02;study02/study02_p03,4,trial_ordinal_mod3_generator_clean_artifact,False,8.105196693207402,7.606821060180664
study02_layout_02_heldout_01,study02/study02_p07,study02/study02_p08,4,trial_ordinal_mod3_generator_clean_artifact,False,10.255306747104823,3.540687322616577
study02_layout_02_heldout_01,study02/study02_p08,study02/study02_p07,4,trial_ordinal_mod3_generator_clean_artifact,False,2.3849558365614802,3.068474292755127
study02_layout_02_heldout_02,study02/study02_p09,study02/study02_p10,4,trial_ordinal_mod3_generator_clean_artifact,False,3.437134001794086,6.276468753814697
study02_layout_02_heldout_02,study02/study02_p10,study02/study02_p09,4,trial_ordinal_mod3_generator_clean_artifact,False,4.454343475655773,6.4517822265625
study02_layout_02_heldout_03,study02/study02_p11,study02/study02_p12,4,trial_ordinal_mod3_generator_clean_artifact,False,4.540893539694279,3.870967149734497
study02_layout_02_heldout_03,study02/study02_p12,study02/study02_p11,4,trial_ordinal_mod3_generator_clean_artifact,False,4.2304323304568525,3.1257894039154053
study02_layout_02_heldout_04,study02/study02_p13,study02/study02_p14,4,trial_ordinal_mod3_generator_clean_artifact,False,9.597493236646438,9.645220756530762
study02_layout_02_heldout_04,study02/study02_p14,study02/study02_p13,4,trial_ordinal_mod3_generator_clean_artifact,False,2.6251278084154825,4.519075870513916
study02_layout_02_heldout_05,study02/study02_p15,study02/study02_p16,4,trial_ordinal_mod3_generator_clean_artifact,False,5.316739729259807,3.953569173812866
study02_layout_02_heldout_05,study02/study02_p16,study02/study02_p15,4,trial_ordinal_mod3_generator_clean_artifact,False,2.5805061578718655,4.568877220153809
study02_layout_02_heldout_06,study02/study02_p17,study02/study02_p18,4,trial_ordinal_mod3_generator_clean_artifact,False,4.205172482868727,2.976243734359741
study02_layout_02_heldout_06,study02/study02_p18,study02/study02_p17,4,trial_ordinal_mod3_generator_clean_artifact,False,2.9027924322710112,2.696305990219116
study03_layout_03_heldout_00,study03/study03_p03,study03/study03_p19,4,trial_ordinal_mod3_generator_clean_artifact,False,7.28415442715353,4.8858747482299805
study03_layout_03_heldout_00,study03/study03_p19,study03/study03_p03,4,trial_ordinal_mod3_generator_clean_artifact,False,9.033570866122181,14.194694519042969
study03_layout_03_heldout_01,study03/study03_p20,study03/study03_p21,4,trial_ordinal_mod3_generator_clean_artifact,False,8.025120711523934,6.260647296905518
study03_layout_03_heldout_01,study03/study03_p21,study03/study03_p20,4,trial_ordinal_mod3_generator_clean_artifact,False,8.200535683843666,9.23034381866455
study03_layout_03_heldout_02,study03/study03_p22,study03/study03_p23,4,trial_ordinal_mod3_generator_clean_artifact,False,8.817555201995573,4.974061012268066
study03_layout_03_heldout_02,study03/study03_p23,study03/study03_p22,4,trial_ordinal_mod3_generator_clean_artifact,False,5.964879304121194,7.15308141708374
study03_layout_03_heldout_03,study03/study03_p24,study03/study03_p25,4,trial_ordinal_mod3_generator_clean_artifact,False,6.338247574435955,7.744783401489258
study03_layout_03_heldout_03,study03/study03_p25,study03/study03_p24,4,trial_ordinal_mod3_generator_clean_artifact,False,4.312124984475674,3.937041997909546
study03_layout_03_heldout_04,study03/study03_p26,study03/study03_p27,4,trial_ordinal_mod3_generator_clean_artifact,False,9.343906463334255,6.612215995788574
study03_layout_03_heldout_04,study03/study03_p27,study03/study03_p26,4,trial_ordinal_mod3_generator_clean_artifact,False,10.2821555597407,11.166193962097168
