recording_key,study,support_to_generator,population_to_generator,wrong_to_generator_mean
study01/study01_p01,study01,3.142153152336987,6.628966808319092,4.770036103426414
study01/study01_p02,study01,7.240465623741084,8.896234512329102,9.513438057718705
study01/study01_p03,study01,1.8885955931211456,7.065459728240967,5.52890860729823
study01/study01_p04,study01,4.079326062141945,2.854262590408325,13.308444240490674
study01/study01_p05,study01,13.475995109296194,6.329134941101074,4.8540710916325285
study02/study02_p02,study02,8.248768495150358,7.455069541931152,9.109242891349563
study02/study02_p03,study02,7.493016023241316,5.140578746795654,9.181698243459238
study02/study02_p06,study02,8.105196693207402,7.606821060180664,9.955791005409013
study02/study02_p07,study02,10.255306747104823,3.540687322616577,3.3907554507849866
study02/study02_p08,study02,2.3849558365614802,3.068474292755127,9.812505996168907
study02/study02_p09,study02,3.437134001794086,6.276468753814697,4.738378189903004
study02/study02_p10,study02,4.454343475655773,6.4517822265625,4.820802009412955
study02/study02_p11,study02,4.540893539694279,3.870967149734497,4.675962533370019
study02/study02_p12,study02,4.2304323304568525,3.1257894039154053,4.627364100297516
study02/study02_p13,study02,9.59749323664644,9.645220756530762,12.372735541709961
study02/study02_p14,study02,2.625127808415483,4.519075870513916,17.321654217936278
study02/study02_p15,study02,5.316739729259808,3.953568935394287,6.357812240554566
study02/study02_p16,study02,2.5805061578718655,4.56887674331665,4.643271117625827
study02/study02_p17,study02,4.205172482868727,2.976243734359741,4.4501075354403055
study02/study02_p18,study02,2.9027924322710112,2.696305990219116,4.541173933462557
study03/study03_p03,study03,7.28415442715353,4.8858747482299805,11.843340590268328
study03/study03_p19,study03,9.033570866122181,14.194694519042969,16.71867729881827
study03/study03_p20,study03,8.025120711523934,6.260647296905518,10.063993823784408
study03/study03_p21,study03,8.200535683843666,9.23034381866455,14.651721640575149
study03/study03_p22,study03,8.817555201995573,4.974061489105225,7.362950741140939
study03/study03_p23,study03,5.964879304121194,7.15308141708374,10.665837192947874
study03/study03_p24,study03,6.338247574435955,7.744783401489258,9.466533112018848
study03/study03_p25,study03,4.312124984475674,3.937041759490967,7.38319199501843
study03/study03_p26,study03,9.343906463334255,6.612215995788574,7.710609093771518
study03/study03_p27,study03,10.2821555597407,11.166193962097168,12.059086715462543
study04/study04_p03,study04,4.406209490022704,3.854609251022339,6.921046984239165
study04/study04_p08,study04,11.287444033375943,11.538142204284668,13.407331256156743
study04/study04_p24,study04,4.684831618355509,5.005293369293213,7.49068800082922
study04/study04_p28,study04,3.5293360495073025,4.013407230377197,11.418065123035312
study04/study04_p29,study04,10.332092381504618,10.866033554077148,12.018003519455359
study04/study04_p30,study04,5.3263696973468795,3.571805477142334,6.849002056808482
study04/study04_p31,study04,7.446139400971212,5.401237964630127,7.951344692673173
study04/study04_p32,study04,7.8389465327812236,5.9182305335998535,10.63863036295655
study04/study04_p33,study04,9.046941491501432,8.340987205505371,8.997491114606488
study04/study04_p34,study04,9.230962793294829,6.495492458343506,7.566649852273103
study04/study04_p35,study04,4.091821611961786,3.7044994831085205,10.041836538724304
study04/study04_p36,study04,6.627612562017942,6.355207443237305,8.615425010809394
study04/study04_p37,study04,3.8870692379097846,3.943031072616577,6.246439449506651
study04/study04_p38,study04,8.421947090304604,9.62625503540039,12.63787248342379
study04/study04_p39,study04,8.565069768057596,5.816885471343994,12.498842268311744
study05/study05_p06,study05,7.993861732533988,6.84544563293457,13.59386647798636
study05/study05_p10,study05,19.69743960453926,14.33536148071289,15.902593280703815
study05/study05_p24,study05,8.66119263677001,9.113065719604492,16.27761015224056
study05/study05_p40,study05,25.149110872940074,36.662559509277344,38.5581371249567
study05/study05_p41,study05,18.35452745526064,20.566457748413086,27.17450168792687
study05/study05_p43,study05,9.756336601145623,8.217243194580078,10.559343366222997
study05/study05_p44,study05,10.28249237671324,10.896968841552734,12.668495273255102
study05/study05_p45,study05,6.790824164478209,6.679473400115967,10.936128677975342
study05/study05_p46,study05,9.818519706387994,10.94622802734375,12.931794646761889
study05/study05_p47,study05,10.247581239273106,12.828641891479492,15.675880272443154
study05/study05_p48,study05,40.05897180732282,39.03057861328125,44.59673455456589
study05/study05_p49,study05,9.990949985397167,7.985528945922852,13.105780693168438
study05/study05_p50,study05,13.211019287788217,10.250561714172363,12.843006447490277
