recording_key,study,U_D,U_P,U_W
study01/study01_p01,study01,-0.4097113013267517,-0.03617793321609497,-0.019527673721313477
study01/study01_p02,study01,-0.49136555194854736,-0.019053339958190918,-0.017828702926635742
study01/study01_p03,study01,-0.5847364664077759,-0.02308964729309082,-0.023488163948059082
study01/study01_p04,study01,-0.11176863312721252,-0.011599540710449219,0.0036681294441223145
study01/study01_p05,study01,-0.36652565002441406,0.03741335868835449,0.07047319412231445
study02/study02_p02,study02,-0.10121110081672668,-0.007029086351394653,0.004923224449157715
study02/study02_p03,study02,-0.13445892930030823,-0.03374257683753967,-0.010932475328445435
study02/study02_p06,study02,-0.08082494139671326,-0.005573660135269165,-0.008305639028549194
study02/study02_p07,study02,-0.05241268873214722,-0.013845622539520264,-0.0066217780113220215
study02/study02_p08,study02,-0.09783479571342468,-0.0002167820930480957,0.016454249620437622
study02/study02_p09,study02,-0.09447455406188965,0.0005860626697540283,-0.001190871000289917
study02/study02_p10,study02,-0.038991063833236694,-0.0013387203216552734,0.001795947551727295
study02/study02_p11,study02,0.015362739562988281,-0.0019063353538513184,0.0030231773853302
study02/study02_p12,study02,-0.10695609450340271,0.0008437931537628174,0.002659410238265991
study02/study02_p13,study02,-0.05811494588851929,0.0025815963745117188,0.0024194419384002686
study02/study02_p14,study02,-0.07419154047966003,-0.001857161521911621,-0.0026829540729522705
study02/study02_p15,study02,-0.16023781895637512,-0.005627721548080444,-0.008922606706619263
study02/study02_p16,study02,-0.108940988779068,-0.001957505941390991,-0.008876144886016846
study02/study02_p17,study02,-0.10099151730537415,-0.0012405216693878174,-0.004275500774383545
study02/study02_p18,study02,-0.07878372073173523,0.0025204122066497803,0.014707088470458984
study03/study03_p03,study03,-0.5492793023586273,0.03022456169128418,0.0594635009765625
study03/study03_p19,study03,-0.21924400329589844,-0.026189804077148438,-0.018623709678649902
study03/study03_p20,study03,-0.7502214312553406,-0.03863942623138428,-0.04449498653411865
study03/study03_p21,study03,-0.37478530406951904,0.0054798126220703125,0.021789968013763428
study03/study03_p22,study03,-0.7394825220108032,-0.04048502445220947,-0.038545966148376465
study03/study03_p23,study03,-0.32073864340782166,-0.005465447902679443,0.03406614065170288
study03/study03_p24,study03,-0.05085724592208862,0.003462553024291992,0.003325521945953369
study03/study03_p25,study03,-0.5891087651252747,0.015199780464172363,-0.013531327247619629
study03/study03_p26,study03,-0.12224587798118591,-0.004583477973937988,0.010175526142120361
study03/study03_p27,study03,-0.16137266159057617,-0.02784132957458496,-0.0829172134399414
study04/study04_p03,study04,-0.9204303622245789,0.049565911293029785,-0.007459282875061035
study04/study04_p08,study04,-0.299049437046051,0.015268206596374512,-0.006799638271331787
study04/study04_p24,study04,-0.4170466661453247,0.02358776330947876,0.002848684787750244
study04/study04_p28,study04,-0.6308581233024597,0.03259110450744629,0.0072318315505981445
study04/study04_p29,study04,-0.6154022514820099,0.022182226181030273,-0.008194684982299805
study04/study04_p30,study04,-0.49899183213710785,0.017772912979125977,0.005836367607116699
study04/study04_p31,study04,-0.344484806060791,0.01169586181640625,-0.0007625818252563477
study04/study04_p32,study04,-0.17336639761924744,0.011420607566833496,-0.0016512572765350342
study04/study04_p33,study04,-0.1634465456008911,-0.003990888595581055,0.008015751838684082
study04/study04_p34,study04,-0.38407689332962036,-0.05005460977554321,-0.057558417320251465
study04/study04_p35,study04,-0.8742680549621582,0.039575815200805664,0.016394376754760742
study04/study04_p36,study04,-0.6051791459321976,0.01839977502822876,-0.006308078765869141
study04/study04_p37,study04,-0.684286504983902,0.025888681411743164,0.000582575798034668
study04/study04_p38,study04,-0.36912307143211365,0.029782533645629883,-0.0019008517265319824
study04/study04_p39,study04,-0.45425945520401,0.03599715232849121,0.005379021167755127
study05/study05_p06,study05,-0.27330267429351807,0.012881755828857422,-0.011115849018096924
study05/study05_p10,study05,-0.14874738454818726,0.005560815334320068,-0.013435840606689453
study05/study05_p24,study05,-0.09371984004974365,-0.025393187999725342,-0.011394977569580078
study05/study05_p40,study05,-0.12812435626983643,-0.015195071697235107,-0.015717744827270508
study05/study05_p41,study05,-0.1845598816871643,-0.0043225884437561035,-0.003159165382385254
study05/study05_p43,study05,-0.16642892360687256,0.0004239082336425781,0.00858229398727417
study05/study05_p44,study05,-0.37648093700408936,0.01617532968521118,-0.0023047327995300293
study05/study05_p45,study05,-0.2848113179206848,-0.02654421329498291,0.06217539310455322
study05/study05_p46,study05,-0.3875414729118347,-0.03933757543563843,-0.03875452280044556
study05/study05_p47,study05,-0.19855117797851562,-0.002623140811920166,-0.01607668399810791
study05/study05_p48,study05,-0.2214474081993103,-0.08069926500320435,-0.1007280945777893
study05/study05_p49,study05,-0.177326500415802,-0.009620964527130127,-0.013096868991851807
study05/study05_p50,study05,-0.2210407257080078,-0.00690770149230957,-0.005326330661773682
