seed,fold_id,recording_key,study,method,rrmse,correlation,delta_snr,artifact_residual_rmse
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,RAW,0.5798600316047668,0.8652177789313008,0.0,0.4236811399459839
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DET-MATCH,0.6195737719535828,0.853297616772912,-0.5753963589668274,0.45269840955734253
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DET-POP,0.49074438214302063,0.8919365495979003,1.449357032775879,0.3585678040981293
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DET-WRONG,0.5699863433837891,0.8629364261555204,0.14917539060115814,0.4164668023586273
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DIFF-MATCH,1.0292850732803345,0.6671068405181929,-4.984250068664551,0.7520585060119629
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DIFF-POP,0.9931071400642395,0.6869041533603716,-4.673458099365234,0.725624680519104
20260806,study01_layout_01_heldout_00,study01/study01_p01,study01,DIFF-WRONG,1.009757399559021,0.6913627205453852,-4.817878246307373,0.7377904057502747
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,RAW,0.42418500781059265,0.9221947237918955,0.0,0.2835342288017273
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DET-MATCH,0.5460165739059448,0.8675098753055872,-2.193009614944458,0.36496901512145996
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DET-POP,0.44002044200897217,0.9105563473683256,-0.3183520436286926,0.2941189706325531
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DET-WRONG,0.5101852416992188,0.8914606568888762,-1.603452444076538,0.34101858735084534
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DIFF-MATCH,1.0373821258544922,0.6770761214812689,-7.767670154571533,0.6934081315994263
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DIFF-POP,1.0183287858963013,0.6533168727239348,-7.606654167175293,0.6806724667549133
20260806,study01_layout_01_heldout_00,study01/study01_p02,study01,DIFF-WRONG,1.0195534229278564,0.6594170121578077,-7.617093086242676,0.6814910769462585
