task_index,fold_id,study,layout_id,reference,sampling_rate_hz,heldout,training,wrong_donor_policy
0,study01_layout_01_heldout_00,study01,layout_01,release_preprocessed_as_delivered,200.0,"['study01/study01_p01', 'study01/study01_p02', 'study01/study01_p03']","['study01/study01_p04', 'study01/study01_p05']",other_outer_heldout_same_cell_unseen
1,study01_layout_01_heldout_01,study01,layout_01,release_preprocessed_as_delivered,200.0,"['study01/study01_p04', 'study01/study01_p05']","['study01/study01_p01', 'study01/study01_p02', 'study01/study01_p03']",other_outer_heldout_same_cell_unseen
2,study02_layout_02_heldout_00,study02,layout_02,release_preprocessed_as_delivered,200.0,"['study02/study02_p02', 'study02/study02_p03', 'study02/study02_p06']","['study02/study02_p07', 'study02/study02_p08', 'study02/study02_p09', 'study02/study02_p10', 'study02/study02_p11', 'study02/study02_p12', 'study02/study02_p13', 'study02/study02_p14', 'study02/study02_p15', 'study02/study02_p16', 'study02/study02_p17', 'study02/study02_p18']",other_outer_heldout_same_cell_unseen
3,study02_layout_02_heldout_01,study02,layout_02,release_preprocessed_as_delivered,200.0,"['study02/study02_p07', 'study02/study02_p08']","['study02/study02_p02', 'study02/study02_p03', 'study02/study02_p06', 'study02/study02_p09', 'study02/study02_p10', 'study02/study02_p11', 'study02/study02_p12', 'study02/study02_p13', 'study02/study02_p14', 'study02/study02_p15', 'study02/study02_p16', 'study02/study02_p17', 'study02/study02_p18']",other_outer_heldout_same_cell_unseen
4,study02_layout_02_heldout_02,study02,layout_02,release_preprocessed_as_delivered,200.0,"['study02/study02_p09', 'study02/study02_p10']","['study02/study02_p02', 'study02/study02_p03', 'study02/study02_p06', 'study02/study02_p07', 'study02/study02_p08', 'study02/study02_p11', 'study02/study02_p12', 'study02/study02_p13', 'study02/study02_p14', 'study02/study02_p15', 'study02/study02_p16', 'study02/study02_p17', 'study02/study02_p18']",other_outer_heldout_same_cell_unseen
5,study02_layout_02_heldout_03,study02,layout_02,release_preprocessed_as_delivered,200.0,"['study02/study02_p11', 'study02/study02_p12']","['study02/study02_p02', 'study02/study02_p03', 'study02/study02_p06', 'study02/study02_p07', 'study02/study02_p08', 'study02/study02_p09', 'study02/study02_p10', 'study02/study02_p13', 'study02/study02_p14', 'study02/study02_p15', 'study02/study02_p16', 'study02/study02_p17', 'study02/study02_p18']",other_outer_heldout_same_cell_unseen
6,study02_layout_02_heldout_04,study02,layout_02,release_preprocessed_as_delivered,200.0,"['study02/study02_p13', 'study02/study02_p14']","['study02/study02_p02', 'study02/study02_p03', 'study02/study02_p06', 'study02/study02_p07', 'study02/study02_p08', 'study02/study02_p09', 'study02/study02_p10', 'study02/study02_p11', 'study02/study02_p12', 'study02/study02_p15', 'study02/study02_p16', 'study02/study02_p17', 'study02/study02_p18']",other_outer_heldout_same_cell_unseen
7,study02_layout_02_heldout_05,study02,layout_02,release_preprocessed_as_delivered,200.0,"['study02/study02_p15', 'study02/study02_p16']","['study02/study02_p02', 'study02/study02_p03', 'study02/study02_p06', 'study02/study02_p07', 'study02/study02_p08', 'study02/study02_p09', 'study02/study02_p10', 'study02/study02_p11', 'study02/study02_p12', 'study02/study02_p13', 'study02/study02_p14', 'study02/study02_p17', 'study02/study02_p18']",other_outer_heldout_same_cell_unseen
8,study02_layout_02_heldout_06,study02,layout_02,release_preprocessed_as_delivered,200.0,"['study02/study02_p17', 'study02/study02_p18']","['study02/study02_p02', 'study02/study02_p03', 'study02/study02_p06', 'study02/study02_p07', 'study02/study02_p08', 'study02/study02_p09', 'study02/study02_p10', 'study02/study02_p11', 'study02/study02_p12', 'study02/study02_p13', 'study02/study02_p14', 'study02/study02_p15', 'study02/study02_p16']",other_outer_heldout_same_cell_unseen
9,study03_layout_03_heldout_00,study03,layout_03,release_preprocessed_as_delivered,200.0,"['study03/study03_p03', 'study03/study03_p19']","['study03/study03_p20', 'study03/study03_p21', 'study03/study03_p22', 'study03/study03_p23', 'study03/study03_p24', 'study03/study03_p25', 'study03/study03_p26', 'study03/study03_p27']",other_outer_heldout_same_cell_unseen
