participant,condition,identity_margin,auroc,positive_similarity,impostor_median,rank1,tar_at_far5,trials,fold,verifier
2,1,0.32161393761634827,0.92,0.3573523163795471,0.043822966516017914,0.9,0.65,20,1,A
2,2,0.3346775770187378,0.9137500000000001,0.3689422011375427,0.08938035368919373,0.9,0.85,20,1,A
7,1,0.6594848036766052,1.0,0.5176564455032349,-0.14550574123859406,1.0,0.8947368421052632,19,1,A
7,2,0.5526072978973389,0.9847645429362881,0.5503118634223938,0.01607511006295681,1.0,0.8947368421052632,19,1,A
12,1,0.21479229629039764,0.8088642659279779,0.2525618374347687,0.08304332196712494,0.6842105263157895,0.47368421052631576,19,1,A
12,2,0.2785499095916748,0.8725761772853187,0.23552557826042175,-0.08911220729351044,0.7368421052631579,0.3684210526315789,19,1,A
2,1,0.32161393761634827,0.92,0.3573523163795471,0.043822966516017914,0.9,0.65,20,1,A
2,2,0.3346775770187378,0.9137500000000001,0.3689422011375427,0.08938035368919373,0.9,0.85,20,1,A
7,1,0.6594848036766052,1.0,0.5176564455032349,-0.14550574123859406,1.0,0.8947368421052632,19,1,A
7,2,0.5526072978973389,0.9847645429362881,0.5503118634223938,0.01607511006295681,1.0,0.8947368421052632,19,1,A
12,1,0.21479229629039764,0.8088642659279779,0.2525618374347687,0.08304332196712494,0.6842105263157895,0.47368421052631576,19,1,A
12,2,0.2785499095916748,0.8725761772853187,0.23552557826042175,-0.08911220729351044,0.7368421052631579,0.3684210526315789,19,1,A
2,1,0.32161393761634827,0.92,0.3573523163795471,0.043822966516017914,0.9,0.65,20,1,A
2,2,0.3346775770187378,0.9137500000000001,0.3689422011375427,0.08938035368919373,0.9,0.85,20,1,A
7,1,0.6594848036766052,1.0,0.5176564455032349,-0.14550574123859406,1.0,0.8947368421052632,19,1,A
7,2,0.5526072978973389,0.9847645429362881,0.5503118634223938,0.01607511006295681,1.0,0.8947368421052632,19,1,A
12,1,0.21479229629039764,0.8088642659279779,0.2525618374347687,0.08304332196712494,0.6842105263157895,0.47368421052631576,19,1,A
12,2,0.2785499095916748,0.8725761772853187,0.23552557826042175,-0.08911220729351044,0.7368421052631579,0.3684210526315789,19,1,A
2,1,0.32161393761634827,0.92,0.3573523163795471,0.043822966516017914,0.9,0.65,20,1,A
2,2,0.3346775770187378,0.9137500000000001,0.3689422011375427,0.08938035368919373,0.9,0.85,20,1,A
7,1,0.6594848036766052,1.0,0.5176564455032349,-0.14550574123859406,1.0,0.8947368421052632,19,1,A
7,2,0.5526072978973389,0.9847645429362881,0.5503118634223938,0.01607511006295681,1.0,0.8947368421052632,19,1,A
12,1,0.21479229629039764,0.8088642659279779,0.2525618374347687,0.08304332196712494,0.6842105263157895,0.47368421052631576,19,1,A
12,2,0.2785499095916748,0.8725761772853187,0.23552557826042175,-0.08911220729351044,0.7368421052631579,0.3684210526315789,19,1,A
2,1,0.32161393761634827,0.92,0.3573523163795471,0.043822966516017914,0.9,0.65,20,1,A
2,2,0.3346775770187378,0.9137500000000001,0.3689422011375427,0.08938035368919373,0.9,0.85,20,1,A
7,1,0.6594848036766052,1.0,0.5176564455032349,-0.14550574123859406,1.0,0.8947368421052632,19,1,A
7,2,0.5526072978973389,0.9847645429362881,0.5503118634223938,0.01607511006295681,1.0,0.8947368421052632,19,1,A
12,1,0.21479229629039764,0.8088642659279779,0.2525618374347687,0.08304332196712494,0.6842105263157895,0.47368421052631576,19,1,A
12,2,0.2785499095916748,0.8725761772853187,0.23552557826042175,-0.08911220729351044,0.7368421052631579,0.3684210526315789,19,1,A
2,1,0.32161393761634827,0.92,0.3573523163795471,0.043822966516017914,0.9,0.65,20,1,A
2,2,0.3346775770187378,0.9137500000000001,0.3689422011375427,0.08938035368919373,0.9,0.85,20,1,A
7,1,0.6594848036766052,1.0,0.5176564455032349,-0.14550574123859406,1.0,0.8947368421052632,19,1,A
7,2,0.5526072978973389,0.9847645429362881,0.5503118634223938,0.01607511006295681,1.0,0.8947368421052632,19,1,A
12,1,0.21479229629039764,0.8088642659279779,0.2525618374347687,0.08304332196712494,0.6842105263157895,0.47368421052631576,19,1,A
12,2,0.2785499095916748,0.8725761772853187,0.23552557826042175,-0.08911220729351044,0.7368421052631579,0.3684210526315789,19,1,A
2,1,0.49978724122047424,1.0,0.34545645117759705,-0.12821514904499054,1.0,0.15,20,1,B
2,2,0.47018980979919434,1.0,0.5717908143997192,0.0854763388633728,1.0,1.0,20,1,B
7,1,0.33443519473075867,0.8587257617728531,0.27266111969947815,-0.0735669881105423,0.7368421052631579,0.05263157894736842,19,1,B
7,2,0.10625302046537399,0.6606648199445982,0.23428429663181305,0.10994794964790344,0.5789473684210527,0.2631578947368421,19,1,B
12,1,0.4377267360687256,0.9847645429362881,0.39614737033843994,-0.05276774242520332,0.8421052631578947,0.5789473684210527,19,1,B
12,2,0.3367766737937927,0.9127423822714682,0.28661543130874634,-0.05641386657953262,0.8421052631578947,0.21052631578947367,19,1,B
2,1,0.49978724122047424,1.0,0.34545645117759705,-0.12821514904499054,1.0,0.15,20,1,B
2,2,0.47018980979919434,1.0,0.5717908143997192,0.0854763388633728,1.0,1.0,20,1,B
7,1,0.33443519473075867,0.8587257617728531,0.27266111969947815,-0.0735669881105423,0.7368421052631579,0.05263157894736842,19,1,B
7,2,0.10625302046537399,0.6606648199445982,0.23428429663181305,0.10994794964790344,0.5789473684210527,0.2631578947368421,19,1,B
12,1,0.4377267360687256,0.9847645429362881,0.39614737033843994,-0.05276774242520332,0.8421052631578947,0.5789473684210527,19,1,B
12,2,0.3367766737937927,0.9127423822714682,0.28661543130874634,-0.05641386657953262,0.8421052631578947,0.21052631578947367,19,1,B
2,1,0.49978724122047424,1.0,0.34545645117759705,-0.12821514904499054,1.0,0.15,20,1,B
2,2,0.47018980979919434,1.0,0.5717908143997192,0.0854763388633728,1.0,1.0,20,1,B
7,1,0.33443519473075867,0.8587257617728531,0.27266111969947815,-0.0735669881105423,0.7368421052631579,0.05263157894736842,19,1,B
7,2,0.10625302046537399,0.6606648199445982,0.23428429663181305,0.10994794964790344,0.5789473684210527,0.2631578947368421,19,1,B
12,1,0.4377267360687256,0.9847645429362881,0.39614737033843994,-0.05276774242520332,0.8421052631578947,0.5789473684210527,19,1,B
12,2,0.3367766737937927,0.9127423822714682,0.28661543130874634,-0.05641386657953262,0.8421052631578947,0.21052631578947367,19,1,B
2,1,0.49978724122047424,1.0,0.34545645117759705,-0.12821514904499054,1.0,0.15,20,1,B
2,2,0.47018980979919434,1.0,0.5717908143997192,0.0854763388633728,1.0,1.0,20,1,B
7,1,0.33443519473075867,0.8587257617728531,0.27266111969947815,-0.0735669881105423,0.7368421052631579,0.05263157894736842,19,1,B
7,2,0.10625302046537399,0.6606648199445982,0.23428429663181305,0.10994794964790344,0.5789473684210527,0.2631578947368421,19,1,B
12,1,0.4377267360687256,0.9847645429362881,0.39614737033843994,-0.05276774242520332,0.8421052631578947,0.5789473684210527,19,1,B
12,2,0.3367766737937927,0.9127423822714682,0.28661543130874634,-0.05641386657953262,0.8421052631578947,0.21052631578947367,19,1,B
2,1,0.49978724122047424,1.0,0.34545645117759705,-0.12821514904499054,1.0,0.15,20,1,B
2,2,0.47018980979919434,1.0,0.5717908143997192,0.0854763388633728,1.0,1.0,20,1,B
7,1,0.33443519473075867,0.8587257617728531,0.27266111969947815,-0.0735669881105423,0.7368421052631579,0.05263157894736842,19,1,B
7,2,0.10625302046537399,0.6606648199445982,0.23428429663181305,0.10994794964790344,0.5789473684210527,0.2631578947368421,19,1,B
12,1,0.4377267360687256,0.9847645429362881,0.39614737033843994,-0.05276774242520332,0.8421052631578947,0.5789473684210527,19,1,B
12,2,0.3367766737937927,0.9127423822714682,0.28661543130874634,-0.05641386657953262,0.8421052631578947,0.21052631578947367,19,1,B
2,1,0.49978724122047424,1.0,0.34545645117759705,-0.12821514904499054,1.0,0.15,20,1,B
2,2,0.47018980979919434,1.0,0.5717908143997192,0.0854763388633728,1.0,1.0,20,1,B
7,1,0.33443519473075867,0.8587257617728531,0.27266111969947815,-0.0735669881105423,0.7368421052631579,0.05263157894736842,19,1,B
7,2,0.10625302046537399,0.6606648199445982,0.23428429663181305,0.10994794964790344,0.5789473684210527,0.2631578947368421,19,1,B
12,1,0.4377267360687256,0.9847645429362881,0.39614737033843994,-0.05276774242520332,0.8421052631578947,0.5789473684210527,19,1,B
12,2,0.3367766737937927,0.9127423822714682,0.28661543130874634,-0.05641386657953262,0.8421052631578947,0.21052631578947367,19,1,B
