budget_seconds,fold_id,fold_cluster,study,recording_key,oracle_relative_improvement,deployable_relative_improvement,match_relative_improvement,match_vs_wrong_relative_improvement,reliability,oracle_lambda,deployable_lambda
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p01,0.468718793322903,0.4100635664065843,0.4100635664065843,0.27150453900676963,0.32597904041632675,0.8,1.0
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p02,0.3204987970795599,0.2978880700159256,0.2978880700159256,0.3553225630322344,0.3579985781636304,0.8300000000000001,1.0
30.0,study01_layout_01_heldout_00,0,study01,study01/study01_p03,0.6773669836927313,0.6754003950656124,0.6754003950656124,0.634579293003822,0.4896665159723812,0.98,1.0
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p04,0.17023056589056262,-0.25256129454263354,-0.25256129454263354,0.6420609892824121,0.5158879519329921,0.36,1.0
30.0,study01_layout_01_heldout_01,1,study01,study01/study01_p05,0.010531552952905346,-0.9328059928484909,-0.9328059928484909,-1.3713594559258258,0.27216607194565984,0.04,1.0
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p02,0.14237976271061092,0.14230394921378456,0.03004501382831812,0.16444880578270446,0.3087455808172146,0.55,0.5412124535107024
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p03,0.08057692261195193,0.023282884447997827,-0.31580979796395126,0.15506363686019592,0.2977177713722613,0.25,0.5013978730147003
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p06,0.15550683366507526,0.1390518605261925,-0.03056745991833807,0.18604522963682482,0.3579632652303103,0.43,0.5876252565065878
30.0,study02_layout_02_heldout_01,3,study02,study02/study02_p07,0.0,-0.5582314939566052,-1.3163585192412923,-1.330860033287731,0.49080286763228975,0.0,0.5112369551283239
30.0,study02_layout_02_heldout_01,3,study02,study02/study02_p08,0.28915557154426613,0.21851212451871457,0.1803431601490681,0.6735310810096378,0.4910400369638523,0.64,0.35069337622395225
30.0,study02_layout_02_heldout_02,4,study02,study02/study02_p09,0.5241573881246676,0.1417520223263147,0.49738011801023535,0.29564463864209556,0.3971366288189192,0.84,0.17630347637287103
30.0,study02_layout_02_heldout_02,4,study02,study02/study02_p10,0.35240785134110314,0.24002599474532627,0.35240785134110314,0.06369614606045797,0.3131349120185416,1.0,0.5244242626978391
30.0,study02_layout_02_heldout_03,5,study02,study02/study02_p11,0.06285667112369155,-0.01688513513928808,-0.10119526200825504,0.02912369074495649,0.48934888365594137,0.37,0.79956764430266
30.0,study02_layout_02_heldout_03,5,study02,study02/study02_p12,0.11676987406975785,0.11670184455382449,-0.14351985009914714,0.1736090771873563,0.33357116811600523,0.38,0.3874159971624932
30.0,study02_layout_02_heldout_04,6,study02,study02/study02_p13,0.2892282313923625,0.0,0.027768407785005243,0.3749474973039897,0.42757131975027696,0.46,0.0
30.0,study02_layout_02_heldout_04,6,study02,study02/study02_p14,0.4030369605897418,0.0,0.3995763192394735,0.7966273699010086,0.5234028926843747,0.93,0.0
30.0,study02_layout_02_heldout_05,7,study02,study02/study02_p15,0.02605018339120351,0.02603006638873134,-0.3472106376415917,0.24214837916374324,0.3521511774863875,0.2,0.20847934791286837
30.0,study02_layout_02_heldout_05,7,study02,study02/study02_p16,0.4277790640405726,0.4184940679896881,0.4184940679896881,0.4214677791992565,0.3702437726255114,0.93,1.0
30.0,study02_layout_02_heldout_06,8,study02,study02/study02_p17,0.10252650263954087,0.0,-0.29673820144267105,0.10979021145495606,0.42645933258552443,0.31,0.0
30.0,study02_layout_02_heldout_06,8,study02,study02/study02_p18,0.22309827056661058,0.20779547605302381,-0.12127652313268089,0.24355127671380575,0.3741314148546153,0.45,0.3476154947276239
30.0,study03_layout_03_heldout_00,9,study03,study03/study03_p03,0.07821541492453468,0.0,-0.37494657726532693,0.3529075776059525,0.2789752659507956,0.25,0.0
30.0,study03_layout_03_heldout_00,9,study03,study03/study03_p19,0.3863831647063791,0.0,0.3863507585037634,0.4947074648613348,0.4210845391613411,0.99,0.0
30.0,study03_layout_03_heldout_01,10,study03,study03/study03_p20,0.1429987974168812,-0.08935571692936213,-0.08935571692936231,0.251706043834428,0.42336964600275834,0.42,1.0
30.0,study03_layout_03_heldout_01,10,study03,study03/study03_p21,0.16386527312924126,0.0,0.10701984842750531,0.47897040492117365,0.33712591458789937,0.59,0.0
30.0,study03_layout_03_heldout_02,11,study03,study03/study03_p22,0.05006333528031548,0.0,-0.564282432761392,-0.1006055897626647,0.3052580736738337,0.2,0.0
30.0,study03_layout_03_heldout_02,11,study03,study03/study03_p23,0.2097773541544847,0.0,0.19151861294619893,0.38722470288468214,0.4738291296247377,0.79,0.0
