budget_seconds,fold_id,fold_cluster,study,recording_key,eligible,calibration_samples,status,arm,support_reliability,oracle_lambda,deployable_lambda,composite_distance,normalized_frobenius,frequency_magnitude,frequency_phase,common_eog_response,wrong_donor_count,mean_wrong_composite_distance
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p02,True,6000,success,POP,0.3087455808172146,0.55,0.5412124535107024,1.1266067801401927,0.6153643094545382,0.3910279511779417,0.35260226217450413,0.7003186027448006,2,1.3078287379810964
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p02,True,6000,success,EB_ORACLE,0.3087455808172146,0.55,0.5412124535107024,0.9662007741156666,0.6402186424237931,0.2787599332321567,0.5649800052082041,0.6309428403626895,2,1.3078287379810964
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p02,True,6000,success,EB_DEPLOYABLE,0.3087455808172146,0.55,0.5412124535107024,0.9662861861152173,0.6363993093887677,0.28050847153147823,0.5605073556150466,0.6297269790222344,2,1.3078287379810964
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p03,True,6000,success,MATCH,0.2977177713722613,0.25,0.5013978730147003,1.394040975145764,0.8170483422737114,0.36549099968370047,0.7238945649654016,0.9561605189655235,2,1.6498768853614891
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p03,True,6000,success,POP,0.2977177713722613,0.25,0.5013978730147003,1.0594547762927937,0.6708905757798143,0.3424461730547013,0.5663385135145996,0.6603747518866325,2,1.6498768853614891
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p03,True,6000,success,EB_ORACLE,0.2977177713722613,0.25,0.5013978730147003,0.9740871707725864,0.6328840944322631,0.30789933348976195,0.5502365177145925,0.6111641855113653,2,1.6498768853614891
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p03,True,6000,success,EB_DEPLOYABLE,0.2977177713722613,0.25,0.5013978730147003,1.0347876131584892,0.6934597764484844,0.3171878938595452,0.595529223444945,0.6580467969544495,2,1.6498768853614891
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p06,True,6000,success,MATCH,0.3579632652303103,0.43,0.5876252565065878,1.1218385608834394,0.6764388403483106,0.32253269418487207,0.7521921633285384,0.7240866503657134,2,1.378256632592608
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p06,True,6000,success,POP,0.3579632652303103,0.43,0.5876252565065878,1.0885639266859188,0.5484632789629427,0.3339936848870939,0.6856139528254324,0.6860088465162816,2,1.378256632592608
30.0,study02_layout_02_heldout_00,2,study02,study02/study02_p06,True,6000,success,EB_ORACLE,0.3579632652303103,0.43,0.5876252565065878,0.9192847972049705,0.5491524467952965,0.295583912282744,0.6849008914977632,0.5552107957724501,2,1.378256632592608
