fold,verifier,panel,participant,condition,identity_margin,auroc,rank1,tar_at_far5
3,A-R,physiological,4,1,0.11185063421726227,0.7875,0.65,0.25
3,A-R,physiological,4,2,0.11504355818033218,0.76,0.65,0.35
3,A-R,physiological,9,1,0.058043643832206726,0.6786703601108032,0.5789473684210527,0.10526315789473684
3,A-R,physiological,9,2,0.065717414021492,0.6537396121883656,0.47368421052631576,0.10526315789473684
3,A-R,physiological,14,1,0.04273373261094093,0.6385041551246537,0.5263157894736842,0.10526315789473684
3,A-R,physiological,14,2,0.05515807494521141,0.6357340720221606,0.47368421052631576,0.10526315789473684
3,A-R,artifact_acquisition_only,4,1,4.368424561107531e-05,0.9075000000000001,0.95,0.8
3,A-R,artifact_acquisition_only,4,2,5.7372450100956485e-05,0.9974999999999999,1.0,1.0
3,A-R,artifact_acquisition_only,9,1,7.911732609500177e-06,0.5844875346260388,0.47368421052631576,0.2631578947368421
3,A-R,artifact_acquisition_only,9,2,1.0299055247742217e-05,0.5346260387811634,0.2631578947368421,0.05263157894736842
3,A-R,artifact_acquisition_only,14,1,4.646338857128285e-05,0.6855955678670359,0.631578947368421,0.15789473684210525
3,A-R,artifact_acquisition_only,14,2,4.586734212352894e-05,0.7008310249307479,1.0,0.3157894736842105
3,A-R,rereference,4,1,0.09382966160774231,0.77875,0.6,0.4
3,A-R,rereference,4,2,0.07687333971261978,0.7112499999999999,0.7,0.25
3,A-R,rereference,9,1,0.0342867486178875,0.6204986149584487,0.42105263157894735,0.15789473684210525
3,A-R,rereference,9,2,0.024728335440158844,0.5844875346260388,0.3684210526315789,0.15789473684210525
3,A-R,rereference,14,1,0.007756274193525314,0.502770083102493,0.3157894736842105,0.05263157894736842
3,A-R,rereference,14,2,0.04361439123749733,0.649584487534626,0.631578947368421,0.21052631578947367
3,A-R,dropout10,4,1,0.13632455468177795,0.8112499999999999,0.6,0.55
3,A-R,dropout10,4,2,0.12309063971042633,0.77125,0.7,0.25
3,A-R,dropout10,9,1,0.07272154092788696,0.7119113573407202,0.5789473684210527,0.21052631578947367
3,A-R,dropout10,9,2,0.06558700650930405,0.6412742382271468,0.5263157894736842,0.15789473684210525
3,A-R,dropout10,14,1,0.03154480457305908,0.5969529085872576,0.42105263157894735,0.05263157894736842
3,A-R,dropout10,14,2,0.05683745816349983,0.6398891966759004,0.47368421052631576,0.15789473684210525
3,A-R,dropout20,4,1,0.160146564245224,0.83625,0.8,0.55
3,A-R,dropout20,4,2,0.15224412083625793,0.8112500000000001,0.75,0.55
3,A-R,dropout20,9,1,0.07753657549619675,0.6800554016620498,0.47368421052631576,0.21052631578947367
3,A-R,dropout20,9,2,0.05448070913553238,0.6371191135734072,0.47368421052631576,0.0
3,A-R,dropout20,14,1,0.030744323506951332,0.5706371191135734,0.42105263157894735,0.0
3,A-R,dropout20,14,2,0.05223090946674347,0.6592797783933517,0.5789473684210527,0.0
3,A-R,gain_normalized,4,1,0.04817606881260872,0.7075,0.7,0.2
3,A-R,gain_normalized,4,2,0.08092182874679565,0.8125,0.9,0.5
3,A-R,gain_normalized,9,1,0.047522902488708496,0.5734072022160664,0.47368421052631576,0.05263157894736842
3,A-R,gain_normalized,9,2,-0.03951650112867355,0.2825484764542936,0.10526315789473684,0.0
3,A-R,gain_normalized,14,1,0.05114937946200371,0.5997229916897506,0.47368421052631576,0.05263157894736842
3,A-R,gain_normalized,14,2,0.04621993005275726,0.7202216066481995,0.631578947368421,0.05263157894736842
3,A-R,statistics_only,4,1,0.2892730236053467,1.0,1.0,1.0
3,A-R,statistics_only,4,2,0.32859551906585693,1.0,1.0,1.0
3,A-R,statistics_only,9,1,0.3115535378456116,1.0,1.0,1.0
3,A-R,statistics_only,9,2,0.33232808113098145,0.9986149584487535,1.0,1.0
3,A-R,statistics_only,14,1,0.31761419773101807,1.0,1.0,1.0
3,A-R,statistics_only,14,2,0.29306134581565857,1.0,1.0,1.0
3,A-R,wrong_condition_same_subject,4,1,0.08543287962675095,0.69875,0.5,0.0
