k,method,participants,shared_raw_decoder_kappa,method_specific_kappa,preservation,covariance,eog_attenuation,mi_band_distortion,erd_preservation
8,LINEAR-MATCH,9,0.3575050725296023,0.3490168824508596,0.8122640230037548,0.09093209517395279,0.09726723150814143,0.06716591375163679,0.9461987565777876
8,DET-MATCH,9,0.34867109918213757,0.3437699688706127,0.796074765699881,0.12632415055047186,0.10406718945520359,0.07474301249195932,0.9370962867424024
8,DIFF-MATCH,9,0.34967578352015527,0.336671203438514,0.7979603647081941,0.12382979118591281,0.10466751453169672,0.07129777299089586,0.9416843586920314
8,SCORE-ONLY,9,0.3634963366977713,0.3418729025470195,0.8107479766563133,0.08861138398283236,0.0976959456426964,0.06386759120197856,0.9508148239736103
32,LINEAR-MATCH,9,0.3575050725296023,0.3490168824508596,0.8122640230037548,0.09093209517395279,0.09726723150814143,0.06716591375163679,0.9461987565777876
32,DET-MATCH,9,0.34867109918213757,0.3437699688706127,0.796074765699881,0.12632415055047186,0.10406718945520359,0.07474301249195932,0.9370962867424024
32,DIFF-MATCH,9,0.3630199973754075,0.34191811701876085,0.7994655939163985,0.1238864912184122,0.10464860348721403,0.07147087168275316,0.9415397717625079
32,SCORE-ONLY,9,0.36332863935071624,0.3496341664014769,0.8124074996621521,0.08857426223710031,0.09765922436303483,0.06403286863415246,0.9506771288123955
