stage,method,rrmse,correlation,status
technical,DET-CLEAN,0.06953175581391162,0.997579869361689,CLEAN_POSTERIOR_HAS_NO_OUTER_TRAINING_HEADROOM
technical,DIFF-CLEAN,0.2587315079226485,0.9671454082041591,CLEAN_POSTERIOR_HAS_NO_OUTER_TRAINING_HEADROOM
outer_training_validation,LINEAR-MATCH,0.3336847080566635,,CLEAN_POSTERIOR_HAS_NO_OUTER_TRAINING_HEADROOM
outer_training_validation,DIFF-CLEAN-MATCH,0.4997778001100856,,CLEAN_POSTERIOR_HAS_NO_OUTER_TRAINING_HEADROOM
