panel,t_start,linear_rrmse,det_rrmse,det_correlation,diff_rrmse,diff_correlation
fixed,50,0.21322926652295598,0.0663904126700396,0.997827346808879,0.20987099424492667,0.978778575849344
fixed,100,0.21322926652295598,0.0663904126700396,0.997827346808879,0.20718217774763642,0.9792990432319758
fixed,200,0.21322926652295598,0.0663904126700396,0.997827346808879,0.20293640085917672,0.9800874020739284
validation,50,0.3336847080566635,0.16728128340384477,0.9859209821185805,0.3332922207138802,0.9493759302481497
validation,100,0.3336847080566635,0.16728128340384477,0.9859209821185805,0.3318343864138659,0.9497879337762597
validation,200,0.3336847080566635,0.16728128340384477,0.9859209821185805,0.3278800743204771,0.9508080301748518
