fold,verifier,panel,participant,condition,identity_margin,auroc,rank1,tar_at_far5
1,A-R,physiological,2,1,0.09975124895572662,0.89,0.85,0.05
1,A-R,physiological,2,2,0.1663559228181839,0.8175,0.75,0.55
1,A-R,physiological,7,1,0.05992809683084488,0.6966759002770082,0.5263157894736842,0.10526315789473684
1,A-R,physiological,7,2,0.09333271533250809,0.7313019390581718,0.631578947368421,0.2631578947368421
1,A-R,physiological,12,1,0.07134558260440826,0.7409972299168974,0.5789473684210527,0.15789473684210525
1,A-R,physiological,12,2,0.0322173573076725,0.6329639889196677,0.42105263157894735,0.0
1,A-R,artifact_acquisition_only,2,1,0.001621267176233232,0.8524999999999999,1.0,0.6
1,A-R,artifact_acquisition_only,2,2,0.001602214528247714,0.9312499999999999,1.0,0.75
1,A-R,artifact_acquisition_only,7,1,0.0007708825287409127,0.9736842105263157,1.0,0.8947368421052632
1,A-R,artifact_acquisition_only,7,2,0.0007576754433102906,0.9792243767313019,1.0,0.7894736842105263
1,A-R,artifact_acquisition_only,12,1,0.00040545588126406074,0.7022160664819944,0.2631578947368421,0.05263157894736842
1,A-R,artifact_acquisition_only,12,2,0.0003448442439548671,0.6952908587257618,0.42105263157894735,0.0
1,A-R,rereference,2,1,0.091120146214962,0.83875,0.8,0.0
1,A-R,rereference,2,2,0.14993354678153992,0.84875,0.7,0.35
1,A-R,rereference,7,1,0.026422914117574692,0.5734072022160664,0.42105263157894735,0.21052631578947367
1,A-R,rereference,7,2,0.06352609395980835,0.709141274238227,0.5789473684210527,0.0
1,A-R,rereference,12,1,0.06765507161617279,0.7451523545706371,0.6842105263157895,0.21052631578947367
1,A-R,rereference,12,2,0.0016611203318461776,0.5512465373961218,0.3684210526315789,0.0
1,A-R,dropout10,2,1,0.09013363718986511,0.85625,0.75,0.4
1,A-R,dropout10,2,2,0.1527719795703888,0.82375,0.7,0.6
1,A-R,dropout10,7,1,0.04278801754117012,0.6565096952908587,0.47368421052631576,0.15789473684210525
1,A-R,dropout10,7,2,0.10760677605867386,0.775623268698061,0.6842105263157895,0.21052631578947367
1,A-R,dropout10,12,1,0.12120252102613449,0.7811634349030471,0.631578947368421,0.47368421052631576
1,A-R,dropout10,12,2,0.050395864993333817,0.6883656509695291,0.47368421052631576,0.0
1,A-R,dropout20,2,1,0.049629028886556625,0.7475,0.65,0.0
1,A-R,dropout20,2,2,0.12326594442129135,0.76125,0.6,0.4
1,A-R,dropout20,7,1,0.04354051128029823,0.6703601108033241,0.47368421052631576,0.0
1,A-R,dropout20,7,2,0.12438120692968369,0.7977839335180056,0.7894736842105263,0.42105263157894735
1,A-R,dropout20,12,1,0.1318749636411667,0.7783933518005539,0.7894736842105263,0.5789473684210527
1,A-R,dropout20,12,2,0.08441809564828873,0.7036011080332409,0.47368421052631576,0.0
1,A-R,gain_normalized,2,1,-0.03657873347401619,0.39,0.0,0.0
1,A-R,gain_normalized,2,2,-0.014047103002667427,0.45999999999999996,0.0,0.0
1,A-R,gain_normalized,7,1,0.046737298369407654,0.6412742382271468,0.631578947368421,0.10526315789473684
1,A-R,gain_normalized,7,2,0.10519073158502579,0.9210526315789473,1.0,0.8421052631578947
1,A-R,gain_normalized,12,1,0.14762768149375916,0.8905817174515236,0.8421052631578947,0.7368421052631579
