aggregate_across_seeds,artifact_attenuation_db,artifact_attenuation_mode,artifact_mask_iou,artifact_mask_is_model_prediction,artifact_mask_overlap_fraction,calibration_seconds,clean_interval_correlation,clean_interval_preservation,clean_interval_relative_change,context_id,correlation,cue_locked_erp_observation_proxy_correlation,cue_onsets_nonartifact_proxy,cue_onsets_total,d_perp_y,dataset_id,delta_snr_db,e_parallel,e_perp,energy_evaluations,estimated_projector_rank,external_artifact_reference_available,external_artifact_reference_source,failure_reason,fallback_method_id,frequency_rrmse,function_evaluations,latency_seconds,matching_evaluation_projector_eligible,matching_evaluation_projector_rank,method_id,method_operator_eligible,model_forward_evaluations,nonartifact_proxy_correlation,nonartifact_proxy_preservation,nonartifact_proxy_reference,nonartifact_proxy_relative_change,nonartifact_proxy_spectral_preservation,nonartifact_proxy_spectral_segment_seconds,nonartifact_proxy_spectral_segments,operator_source,oracle_projector_rank,outer_fold,outer_training_participants,overlap_fraction,own_projector_distance_from_matching,own_projector_max_angle_from_matching_deg,own_projector_mean_angle_from_matching_deg,own_projector_overlap_with_matching,own_projector_rank,paired_target_available,paired_waveform_target_available,participant_id,peak_memory_bytes,pop_fallback_used,projector_distance,projector_max_angle_deg,projector_mean_angle_deg,query_samples,query_windows,score_evaluations,seed,seed_samples_aggregated,session_id,source_id,status,subspace_metric_basis,test_participants,time_rrmse,validation_participants
False,12.220308039345866,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s,,0.698337207281223,10805,12014,1.879868800352534,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,287,33.82979828026146,True,,POP,False,287,0.007394766638265592,-0.527067735803276,observed_EEG_no_clean_target,1.527067735803276,0.003514874603547269,2.0,187,none,,eye_bci_me_outer_fold_00,25,,,,,,,False,False,S01,7736395776,False,,,,106896,209,,20260801,1,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
False,12.549738436807775,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s,,0.7048346528215613,10805,12014,1.8795754356544154,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,287,32.98200207296759,True,,POP,False,287,0.00715032376366084,-0.5273141660983867,observed_EEG_no_clean_target,1.5273141660983867,0.003550583601291457,2.0,187,none,,eye_bci_me_outer_fold_00,25,,,,,,,False,False,S01,7736395776,False,,,,106896,209,,20260802,1,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
False,13.091668998933624,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s,,0.7044390636448202,10805,12014,1.8782175989333283,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,287,33.16758304508403,True,,POP,False,287,0.007415655620695596,-0.5266563673209061,observed_EEG_no_clean_target,1.5266563673209061,0.003420057791407971,2.0,187,none,,eye_bci_me_outer_fold_00,25,,,,,,,False,False,S01,7736395776,False,,,,106896,209,,20260803,1,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
False,12.863603839147462,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s,,0.7056536102260074,10805,12014,1.880666186855894,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,287,33.182017334736884,True,,POP,False,287,0.006665439899374351,-0.5277727747166194,observed_EEG_no_clean_target,1.5277727747166194,0.0034221513220888955,2.0,187,none,,eye_bci_me_outer_fold_00,25,,,,,,,False,False,S01,7736395776,False,,,,106896,209,,20260804,1,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
False,13.403498100645612,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s,,0.6764389214236387,10805,12014,1.8784822789478757,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,287,33.136150740552694,True,,POP,False,287,0.0067167152591365705,-0.5267822260770378,observed_EEG_no_clean_target,1.5267822260770378,0.0031985164627714724,2.0,187,none,,eye_bci_me_outer_fold_00,25,,,,,,,False,False,S01,7736395776,False,,,,106896,209,,20260805,1,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
True,18.61976050802862,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s_posterior_mean,,0.9093190771169203,10805,12014,1.2268042232022003,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,1435,166.29755147360265,True,,POP,False,1435,0.015788181424796814,-0.10636053372848009,observed_EEG_no_clean_target,1.10636053372848,0.0017187963703166886,2.0,187,none,,eye_bci_me_outer_fold_00,25,,,,,,,False,False,S01,7736395776,False,,,,106896,209,,,5,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
False,12.129084424710182,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s,,0.6930286936005439,10805,12014,1.8802847356729826,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,287,33.18588077882305,True,1,matching_p0,True,287,0.007244130689362058,-0.5277909351581436,observed_EEG_no_clean_target,1.5277909351581436,0.0034867743335779133,2.0,187,matching_p0,,eye_bci_me_outer_fold_00,25,,0.0,0.0,0.0,0.9999999999999999,1,False,False,S01,7736887808,False,,,,106896,209,,20260801,1,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
False,12.485166797466057,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s,,0.6995407339081589,10805,12014,1.8799602727536264,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,287,33.145458509679884,True,1,matching_p0,True,287,0.006999486430569602,-0.5280205842857699,observed_EEG_no_clean_target,1.52802058428577,0.003520929253082117,2.0,187,matching_p0,,eye_bci_me_outer_fold_00,25,,0.0,0.0,0.0,0.9999999999999999,1,False,False,S01,7736887808,False,,,,106896,209,,20260802,1,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
False,13.027516106549445,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s,,0.6990042243031259,10805,12014,1.878616705489266,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,287,33.0961433313787,True,1,matching_p0,True,287,0.007262491647245371,-0.5273748541561378,observed_EEG_no_clean_target,1.5273748541561378,0.003387038939078435,2.0,187,matching_p0,,eye_bci_me_outer_fold_00,25,,0.0,0.0,0.0,0.9999999999999999,1,False,False,S01,7736887808,False,,,,106896,209,,20260803,1,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
False,12.795220799636038,projected_observation_proxy_external_reference_intervals,,False,,30.0,,,,ME_query_after_35s,,0.6998062197437424,10805,12014,1.8810504794984697,eye_bci,,,,,,True,HEO_and_Blinks_frozen_rule,,,,287,33.06433474924415,True,1,matching_p0,True,287,0.006514676654592709,-0.5284758596584067,observed_EEG_no_clean_target,1.5284758596584067,0.0033928408401860954,2.0,187,matching_p0,,eye_bci_me_outer_fold_00,25,,0.0,0.0,0.0,0.9999999999999999,1,False,False,S01,7736887808,False,,,,106896,209,,20260804,1,Sess01,S01/Sess01/ME011,success,matching_support_projector,1,,5
