participant,session,eligible,selected_lambda,population_owners,loss_lambda_0,loss_lambda_0.25,loss_lambda_0.5,loss_lambda_0.75,loss_lambda_1,reason
1,T,1,1.0,2;3;5;6;7;8;9,376.98591861128807,341.8845383375883,310.79637514799833,283.72142903506756,260.6596389710903,
1,E,1,1.0,2;3;4;5;6;7;8;9,0.2967298552393913,0.2881399318575859,0.2820349559187889,0.27841494232416153,0.27727988362312317,
2,T,1,1.0,1;3;5;6;7;8;9,0.1620376594364643,0.12584617361426353,0.09969523176550865,0.08358482457697392,0.07751495018601418,
2,E,1,0.0,1;3;4;5;6;7;8;9,114.845080986619,275.0713406652212,508.00860738009214,813.6569803506136,1192.0163985416293,
3,T,1,1.0,1;2;5;6;7;8;9,1200.729902561754,1011.5129523985088,851.5617605149746,720.8766931295395,619.4575671441853,
3,E,1,0.0,1;2;4;5;6;7;8;9,217.27662059664726,334.4979112222791,478.39432675763965,648.9658366888762,846.2124410197139,
4,T,0,0,,,,,,,support_lt_120
4,E,1,0.0,1;2;3;5;6;7;8;9,57.43617390841246,98.42419466376305,157.91730657219887,235.91552109271288,332.4188458696008,
5,T,1,1.0,1;2;3;6;7;8;9,0.2280547097325325,0.21865446865558624,0.2120334953069687,0.20819178223609924,0.2071293257176876,
5,E,1,1.0,1;2;3;4;6;7;8;9,0.2546369768679142,0.22679826244711876,0.20695900544524193,0.1951192170381546,0.1912788785994053,
6,T,1,0.0,1;2;3;5;7;8;9,695.085317902267,745.9338261522353,798.8391292653978,853.8010441213846,910.8199369385839,
6,E,1,0.0,1;2;3;4;5;7;8;9,189.45114923641086,314.5515032224357,471.72400613874197,660.9686427339911,882.2854435220361,
7,T,1,1.0,1;2;3;5;6;8;9,336.08834256976843,324.48378978669643,314.8221021965146,307.1032492890954,301.32729206979275,
7,E,1,0.0,1;2;3;4;5;6;8;9,173.04781042039394,288.5845593214035,434.84615824371576,611.8325308859348,819.5433720648289,
8,T,1,1.0,1;2;3;5;6;7;9,0.2313043400645256,0.21725361049175262,0.20710179582238197,0.20084884017705917,0.1984947733581066,
8,E,1,1.0,1;2;3;4;5;6;7;9,0.26048532500863075,0.23006674274802208,0.20803264528512955,0.19438305869698524,0.1891179494559765,
9,T,1,1.0,1;2;3;5;6;7;8,0.18870063871145248,0.14731606468558311,0.11739822663366795,0.09894712083041668,0.09196275286376476,
9,E,1,0.0,1;2;3;4;5;6;7;8,48.594524160027504,110.94868604838848,199.2029396891594,313.3573347106576,453.4117795228958,
