subject,session,path,sampling_rate,channels,channel_names,duration_seconds,annotation_counts,annotation_onsets_finite
1,T,/projects/EEG-foundation-model/BCI-IV/A01T.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2690.112,"{'1023': 15, '1072': 1, '276': 1, '277': 1, '32766': 9, '768': 288, '769': 72, '770': 72, '771': 72, '772': 72}",True
1,E,/projects/EEG-foundation-model/BCI-IV/A01E.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2748.0,"{'1023': 7, '1072': 1, '276': 1, '277': 1, '32766': 9, '768': 288, '783': 288}",True
2,T,/projects/EEG-foundation-model/BCI-IV/A02T.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2708.676,"{'1023': 18, '1072': 1, '276': 1, '277': 1, '32766': 9, '768': 288, '769': 72, '770': 72, '771': 72, '772': 72}",True
2,E,/projects/EEG-foundation-model/BCI-IV/A02E.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2650.664,"{'1023': 5, '1072': 1, '276': 1, '277': 1, '32766': 9, '768': 288, '783': 288}",True
3,T,/projects/EEG-foundation-model/BCI-IV/A03T.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2642.12,"{'1023': 18, '1072': 1, '276': 1, '277': 1, '32766': 9, '768': 288, '769': 72, '770': 72, '771': 72, '772': 72}",True
3,E,/projects/EEG-foundation-model/BCI-IV/A03E.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2595.1,"{'1023': 15, '1072': 1, '276': 1, '277': 1, '32766': 9, '768': 288, '783': 288}",True
4,T,/projects/EEG-foundation-model/BCI-IV/A04T.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2403.66,"{'1023': 26, '1072': 1, '32766': 7, '768': 288, '769': 72, '770': 72, '771': 72, '772': 72}",True
4,E,/projects/EEG-foundation-model/BCI-IV/A04E.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2640.188,"{'1023': 60, '1072': 1, '276': 1, '277': 1, '32766': 9, '768': 288, '783': 288}",True
5,T,/projects/EEG-foundation-model/BCI-IV/A05T.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2744.48,"{'1023': 26, '1072': 1, '276': 1, '277': 1, '32766': 9, '768': 288, '769': 72, '770': 72, '771': 72, '772': 72}",True
5,E,/projects/EEG-foundation-model/BCI-IV/A05E.gdf,250.0,25,"['EEG-Fz', 'EEG-0', 'EEG-1', 'EEG-2', 'EEG-3', 'EEG-4', 'EEG-5', 'EEG-C3', 'EEG-6', 'EEG-Cz', 'EEG-7', 'EEG-C4', 'EEG-8', 'EEG-9', 'EEG-10', 'EEG-11', 'EEG-12', 'EEG-13', 'EEG-14', 'EEG-Pz', 'EEG-15', 'EEG-16', 'EOG-left', 'EOG-central', 'EOG-right']",2719.452,"{'1023': 12, '1072': 1, '276': 1, '277': 1, '32766': 9, '768': 288, '783': 288}",True
