gain_match_effect,panel,participant,pop_minus_channel_perm,pop_minus_time_shift
0.0560775925567184,natural,sub-02,-0.09759349548646845,-0.1530131513514229
0.4895097422386101,paired,sub-02,-0.3747324826570999,-0.4752142206233376
0.06710007167262932,natural,sub-03,-0.10002101516813278,-0.1379942840232371
0.7579331745815401,paired,sub-03,-0.6275485887079659,-0.7716958217320191
0.12436189556311761,natural,sub-05,-0.11260929100767814,-0.23504528287866067
0.529176627759157,paired,sub-05,-0.6587562358844374,-0.9907138766468362
0.16344029049639652,natural,sub-06,0.025678733296438327,-0.1387513544306811
0.3060636902547509,paired,sub-06,-0.3583329379254132,-0.6346365364776427
0.12098792683872028,natural,sub-07,-0.11616606143310115,-0.03153296578575915
0.35420686259352685,paired,sub-07,-0.5163447410515447,-0.42550619807818046
0.019391058750388712,natural,sub-09,0.034358766578608924,0.09245477851420736
0.07758573031843952,paired,sub-09,-0.0904940579518474,-0.055579763540738014
0.038140652389048735,natural,sub-11,-0.06590769088323645,-0.04674430202130464
0.5806832507113941,paired,sub-11,-0.5371683328560737,-0.6688591503965489
0.10561608332875749,natural,sub-12,-0.16370376069294212,-0.21190742484654357
0.7861043942382053,paired,sub-12,-0.9139271264481277,-1.2612699420537128
0.03957757942614759,natural,sub-14,-0.15012567321516845,-0.22523008331817462
0.5087449084654255,paired,sub-14,-0.4901382133366381,-0.7943377173604684
0.06515728451042135,natural,sub-15,-0.09883291147048934,-0.14355659332675752
0.43330823063607804,paired,sub-15,-0.44446953298666614,-0.7067686057806819
0.12077528527073134,natural,sub-17,-0.12651322667627074,-0.18148554528636995
0.2936521641752392,paired,sub-17,-0.8129301986537532,-0.7004967618611011
0.05830692900150947,natural,sub-18,-0.16812772024227307,-0.19588064837256725
0.6474942288509888,paired,sub-18,-0.9497162763738203,-0.5579672075733786
0.03779437587602552,natural,sub-19,-0.15515587560345212,-0.16929497043714958
0.31388287113413993,paired,sub-19,-0.6770882492739272,-0.833688544705816
0.10342416561403367,natural,sub-21,-0.11510491333382267,-0.19654598262118173
0.5269933215142653,paired,sub-21,-0.7744737317367072,-0.8305201480905167
0.416994316668728,natural,sub-23,0.5180968634363552,0.5284992152262267
0.4869505574088817,paired,sub-23,0.2873299095486388,0.27702783513506724
