method,panel,participant,replicates,risk,session,task,wrong_donor
MATCH,natural,sub-02,58,0.4237026307736141,ses-02,ERP,
POP,natural,sub-02,58,0.498357719153787,ses-02,ERP,
TIME_SHIFT,natural,sub-02,58,0.9911783666619115,ses-02,ERP,
CHANNEL_PERM,natural,sub-02,58,0.8262600692308009,ses-02,ERP,
GAIN_MATCH,natural,sub-02,58,0.4220023003021266,ses-02,ERP,
GAIN_POP,natural,sub-02,58,0.498357719153787,ses-02,ERP,
NULL,natural,sub-02,58,1.0,ses-02,ERP,
WRONG,natural,sub-02,58,0.5098199644515519,ses-02,ERP,sub-03
WRONG,natural,sub-02,58,0.7274176947932144,ses-02,ERP,sub-05
WRONG,natural,sub-02,58,0.4973282403677217,ses-02,ERP,sub-06
WRONG,natural,sub-02,58,0.46268502052206867,ses-02,ERP,sub-07
WRONG,natural,sub-02,58,0.5649918363324735,ses-02,ERP,sub-09
WRONG,natural,sub-02,58,0.6058100640813254,ses-02,ERP,sub-11
WRONG,natural,sub-02,58,0.823200745242912,ses-02,ERP,sub-12
WRONG,natural,sub-02,58,0.49352983693161784,ses-02,ERP,sub-14
WRONG,natural,sub-02,58,0.43217934063536884,ses-02,ERP,sub-15
WRONG,natural,sub-02,58,0.665410150441392,ses-02,ERP,sub-17
WRONG,natural,sub-02,58,0.4497225202539887,ses-02,ERP,sub-18
WRONG,natural,sub-02,58,0.47356085919485347,ses-02,ERP,sub-19
WRONG,natural,sub-02,58,0.5046495636013252,ses-02,ERP,sub-21
WRONG,natural,sub-02,58,0.46624462067521,ses-02,ERP,sub-23
WRONG,natural,sub-02,58,0.5814174219348286,ses-02,ERP,sub-24
GAIN_WRONG,natural,sub-02,58,0.4933741831756871,ses-02,ERP,sub-03
GAIN_WRONG,natural,sub-02,58,0.5216604477844535,ses-02,ERP,sub-05
GAIN_WRONG,natural,sub-02,58,0.5236895198278066,ses-02,ERP,sub-06
GAIN_WRONG,natural,sub-02,58,0.4621148476587377,ses-02,ERP,sub-07
GAIN_WRONG,natural,sub-02,58,0.4830815781422888,ses-02,ERP,sub-09
GAIN_WRONG,natural,sub-02,58,0.5417093544810774,ses-02,ERP,sub-11
GAIN_WRONG,natural,sub-02,58,0.5075989002302441,ses-02,ERP,sub-12
GAIN_WRONG,natural,sub-02,58,0.5005764591506978,ses-02,ERP,sub-14
GAIN_WRONG,natural,sub-02,58,0.43246769202644647,ses-02,ERP,sub-15
GAIN_WRONG,natural,sub-02,58,0.541956530009817,ses-02,ERP,sub-17
GAIN_WRONG,natural,sub-02,58,0.4421967465161574,ses-02,ERP,sub-18
GAIN_WRONG,natural,sub-02,58,0.45476848822253757,ses-02,ERP,sub-19
GAIN_WRONG,natural,sub-02,58,0.4917521720133174,ses-02,ERP,sub-21
GAIN_WRONG,natural,sub-02,58,0.48087297261746076,ses-02,ERP,sub-23
GAIN_WRONG,natural,sub-02,58,0.5635709891800182,ses-02,ERP,sub-24
MATCH,natural,sub-02,35,0.9682777304536768,ses-02,SSVEP,
POP,natural,sub-02,35,1.0097601777493526,ses-02,SSVEP,
TIME_SHIFT,natural,sub-02,35,1.0018531594914613,ses-02,SSVEP,
CHANNEL_PERM,natural,sub-02,35,0.9931051164598803,ses-02,SSVEP,
GAIN_MATCH,natural,sub-02,35,0.9755575168668311,ses-02,SSVEP,
GAIN_POP,natural,sub-02,35,1.0097601777493526,ses-02,SSVEP,
NULL,natural,sub-02,35,1.0,ses-02,SSVEP,
WRONG,natural,sub-02,35,0.978489165787891,ses-02,SSVEP,sub-03
WRONG,natural,sub-02,35,0.9747924044469654,ses-02,SSVEP,sub-05
WRONG,natural,sub-02,35,0.972045978749253,ses-02,SSVEP,sub-06
WRONG,natural,sub-02,35,0.9776358528880295,ses-02,SSVEP,sub-07
WRONG,natural,sub-02,35,1.2029691200953343,ses-02,SSVEP,sub-09
WRONG,natural,sub-02,35,0.9969571303149773,ses-02,SSVEP,sub-11
WRONG,natural,sub-02,35,1.0297932144026647,ses-02,SSVEP,sub-12
WRONG,natural,sub-02,35,0.9742938135170665,ses-02,SSVEP,sub-14
WRONG,natural,sub-02,35,0.9714871383332191,ses-02,SSVEP,sub-15
WRONG,natural,sub-02,35,1.0764478305959848,ses-02,SSVEP,sub-17
WRONG,natural,sub-02,35,0.9952146436413082,ses-02,SSVEP,sub-18
WRONG,natural,sub-02,35,0.9769861655046108,ses-02,SSVEP,sub-19
WRONG,natural,sub-02,35,0.9857990502923705,ses-02,SSVEP,sub-21
WRONG,natural,sub-02,35,0.9734481591423297,ses-02,SSVEP,sub-23
WRONG,natural,sub-02,35,0.9810135258667138,ses-02,SSVEP,sub-24
GAIN_WRONG,natural,sub-02,35,0.9850000275797564,ses-02,SSVEP,sub-03
GAIN_WRONG,natural,sub-02,35,1.001972289904641,ses-02,SSVEP,sub-05
GAIN_WRONG,natural,sub-02,35,1.0091073636915944,ses-02,SSVEP,sub-06
