alpha,contains_C_query,context_path,donor_task_fallback_count,eligible_donors,outer_between_variance,participant,pop_participant_count,session,status,task,within_variance
0.9812490068279719,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-02/ses-02_ERP.npz,0,15,0.003943842499377418,sub-02,15,ses-02,eligible,ERP,0.00030145646319250743
0.9971416260919371,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-02/ses-02_SSVEP.npz,1,15,0.1940981137542605,sub-02,15,ses-02,eligible,SSVEP,0.002225581479869955
0.9627363728770769,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-02/ses-03_ERP.npz,0,15,0.025157491287153205,sub-02,15,ses-03,eligible,ERP,0.0038949785261405364
0.0008412586396425378,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-02/ses-03_SSVEP.npz,1,15,0.006564777943263348,sub-02,15,ses-03,eligible,SSVEP,31.1878176722838
0.9236730933290322,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-02/ses-04_ERP.npz,0,15,0.012997155681430884,sub-02,15,ses-04,eligible,ERP,0.004296033719502234
0.8267081418611368,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-02/ses-04_SSVEP.npz,1,15,0.05183649412887529,sub-02,15,ses-04,eligible,SSVEP,0.04346318577085421
0.8622691593915177,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-03/ses-02_ERP.npz,0,15,0.003912207317326606,sub-03,15,ses-02,eligible,ERP,0.0024995981664485793
0.9961719392312826,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-03/ses-02_SSVEP.npz,1,15,0.19437328654491765,sub-03,15,ses-02,eligible,SSVEP,0.0029877282160083248
0.9863451635785068,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-03/ses-03_ERP.npz,0,15,0.025218302941636146,sub-03,15,ses-03,eligible,ERP,0.0013964758553542391
0.9985040096044555,False,/projects/EEG-foundation-model/derived/denoiseNet/counterfactual_operator_headroom_v19/operators/contexts/sub-03/ses-03_SSVEP.npz,1,15,0.47052005431668414,sub-03,15,ses-03,eligible,SSVEP,0.0028197923108900097
