participant,policy_denominator,role
sub-02,16,development
sub-03,16,development
sub-05,16,development
sub-06,16,development
sub-07,16,development
sub-09,16,development
sub-11,16,development
sub-12,16,development
sub-14,16,development
sub-15,16,development
sub-17,16,development
sub-18,16,development
sub-19,16,development
sub-21,16,development
sub-23,16,development
sub-24,16,development
sub-01,0,sealed
sub-04,0,sealed
sub-08,0,sealed
sub-10,0,sealed
sub-13,0,sealed
sub-16,0,sealed
sub-20,0,sealed
sub-22,0,sealed
