participant,role,sealed_signal_opened
sub-02,development,False
sub-03,development,False
sub-05,development,False
sub-06,development,False
sub-07,development,False
sub-09,development,False
sub-11,development,False
sub-12,development,False
sub-14,development,False
sub-15,development,False
sub-17,development,False
sub-18,development,False
sub-19,development,False
sub-21,development,False
sub-23,development,False
sub-24,development,False
sub-01,sealed,False
sub-04,sealed,False
sub-08,sealed,False
sub-10,sealed,False
sub-13,sealed,False
sub-16,sealed,False
sub-20,sealed,False
sub-22,sealed,False
