common_random_numbers,erp_amplitude_relative_preservation,erp_latency_relative_preservation,fold,method,motion_coherence_reduction,nonartifact_observation_preservation,observation_change_ratio,output_input_RMS_ratio,participant,posterior_samples,posterior_sd_rms,protocol,query_imu_event_used_for_inference,query_session,reference_free_covariance_distortion,reference_free_psd_distortion,seed,ssvep_phase_relative_preservation,ssvep_snr_relative_preservation,status,support_seconds,task
False,1.0,1.0,0,RAW,0.0,1.0,0.0,1.0,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-03,0.0,0.0,20260811,nan,nan,success,60,ERP
False,0.8458875720313839,1.0,0,POP,0.017315763980150223,0.7973498702049255,0.19736742973327637,0.9774730205535889,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-03,0.16974324995489742,0.10685878247022629,20260811,nan,nan,success,60,ERP
False,0.8685278884084678,1.0,0,DET-NULL,0.015808474272489548,0.8286304473876953,0.16720139980316162,0.9685465097427368,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-03,0.1335949171180029,0.07454536855220795,20260811,nan,nan,success,60,ERP
False,0.9293841027230102,1.0,0,DET-MATCH,0.01611001417040825,0.8349633812904358,0.1600452959537506,0.9700328707695007,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-03,0.12149452620792424,0.055251870304346085,20260811,nan,nan,success,60,ERP
True,0.9861439958560307,1.0,0,DIFF-NULL,0.01108810305595398,0.7822695672512054,0.2132980078458786,0.9941698312759399,sub-02,8,5.69554915539054,S0_STATIC_XSESSION,False,ses-03,0.21171169178355848,0.11926352232694626,20260811,nan,nan,success,60,ERP
True,0.9861439958560307,1.0,0,DIFF-POP,0.01108810305595398,0.7822695672512054,0.2132980078458786,0.9941698312759399,sub-02,8,5.69554915539054,S0_STATIC_XSESSION,False,ses-03,0.21171169178355848,0.11926352232694626,20260811,nan,nan,success,60,ERP
True,0.9636769738834168,1.0,0,DIFF-MATCH,0.009163420647382736,0.8398298472166061,0.15574006736278534,0.9868314862251282,sub-02,8,4.5830440271732416,S0_STATIC_XSESSION,False,ses-03,0.11116360634285678,0.06171250715851784,20260811,nan,nan,success,60,ERP
False,0.8636213922978815,1.0,0,DET-WRONG-1,0.010665908455848694,0.84916952252388,0.14536142349243164,0.9790096879005432,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-03,0.12471534368935717,0.06619741767644882,20260811,nan,nan,success,60,ERP
True,0.9962749565761492,1.0,0,DIFF-WRONG-1,0.006613187491893768,0.842687338590622,0.1512654572725296,0.9827067255973816,sub-02,8,nan,S0_STATIC_XSESSION,False,ses-03,0.10896972437437435,0.07053970545530319,20260811,nan,nan,success,60,ERP
False,0.9239360222848427,1.0,0,DET-WRONG-2,0.015527762472629547,0.8380860984325409,0.15601029992103577,0.981505274772644,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-03,0.13490692754664615,0.06384561210870743,20260811,nan,nan,success,60,ERP
True,0.9765363779472335,1.0,0,DIFF-WRONG-2,0.008727438747882843,0.8501269668340683,0.14519724249839783,0.9897828698158264,sub-02,8,nan,S0_STATIC_XSESSION,False,ses-03,0.11963932331365898,0.06250663846731186,20260811,nan,nan,success,60,ERP
False,0.8073374297593512,1.0,0,DET-WRONG-3,0.007887527346611023,0.8291794955730438,0.16632959246635437,0.9798330664634705,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-03,0.18285674368178964,0.10488659143447876,20260811,nan,nan,success,60,ERP
True,0.976886819490211,1.0,0,DIFF-WRONG-3,0.007247030735015869,0.7714311927556992,0.2220749855041504,1.0069847106933594,sub-02,8,nan,S0_STATIC_XSESSION,False,ses-03,0.264071467478153,0.13613690435886383,20260811,nan,nan,success,60,ERP
False,0.9032430663957383,1.0,0,DET-SHUFFLED,0.01367276906967163,0.8398358076810837,0.15507656335830688,0.9734628796577454,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-03,0.12203075707616141,0.05757293477654457,20260811,nan,nan,success,60,ERP
True,0.9593668652764168,1.0,0,DIFF-SHUFFLED,0.0073316507041454315,0.843114823102951,0.15255111455917358,0.9888941049575806,sub-02,8,nan,S0_STATIC_XSESSION,False,ses-03,0.12030929720206199,0.06490865349769592,20260811,nan,nan,success,60,ERP
False,1.0,1.0,0,RAW,0.0,1.0,0.0,1.0,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-04,0.0,0.0,20260811,nan,nan,success,60,ERP
False,0.9458155950078725,1.0,0,POP,0.041046515107154846,0.7378652691841125,0.27093443274497986,0.9322139620780945,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-04,0.2929672645737232,0.22143767774105072,20260811,nan,nan,success,60,ERP
False,0.878966029935364,1.0,0,DET-NULL,0.01667328178882599,0.7878384292125702,0.23568195104599,0.9332888126373291,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-04,0.24061659554585238,0.1926235854625702,20260811,nan,nan,success,60,ERP
False,0.9177812602468759,1.0,0,DET-MATCH,0.014958202838897705,0.8218823969364166,0.1912788599729538,0.9331195950508118,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-04,0.17783057479963973,0.14232930541038513,20260811,nan,nan,success,60,ERP
True,0.8829556808808836,1.0,0,DIFF-NULL,0.02248762547969818,0.7579285502433777,0.24387088418006897,0.9475060701370239,sub-02,8,5.961912246108744,S0_STATIC_XSESSION,False,ses-04,0.2898790845126352,0.2364124357700348,20260811,nan,nan,success,60,ERP
True,0.8829556808808836,1.0,0,DIFF-POP,0.02248762547969818,0.7579285502433777,0.24387088418006897,0.9475060701370239,sub-02,8,5.961912246108744,S0_STATIC_XSESSION,False,ses-04,0.2898790845126352,0.2364124357700348,20260811,nan,nan,success,60,ERP
True,0.9367217425229939,1.0,0,DIFF-MATCH,0.01858118176460266,0.8313599973917007,0.16761182248592377,0.9457378387451172,sub-02,8,4.7440355582044305,S0_STATIC_XSESSION,False,ses-04,0.1798637465344007,0.1479858160018921,20260811,nan,nan,success,60,ERP
False,0.9605521822718365,1.0,0,DET-WRONG-1,0.016155540943145752,0.8589989095926285,0.14605124294757843,0.9496022462844849,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-04,0.1533274038106934,0.12620289623737335,20260811,nan,nan,success,60,ERP
True,0.92123968563552,1.0,0,DIFF-WRONG-1,0.016537174582481384,0.8317921757698059,0.17301198840141296,0.9415335059165955,sub-02,8,nan,S0_STATIC_XSESSION,False,ses-04,0.19456108121215143,0.1577838957309723,20260811,nan,nan,success,60,ERP
False,0.9445155152423649,1.0,0,DET-WRONG-2,0.016724631190299988,0.8483198434114456,0.15400907397270203,0.9484007954597473,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-04,0.1520651852306676,0.12049306184053421,20260811,nan,nan,success,60,ERP
True,0.9362691820226875,1.0,0,DIFF-WRONG-2,0.017226815223693848,0.8374543637037277,0.16116218268871307,0.9539936184883118,sub-02,8,nan,S0_STATIC_XSESSION,False,ses-04,0.18000969252598845,0.15094062685966492,20260811,nan,nan,success,60,ERP
False,0.9212103689313778,1.0,0,DET-WRONG-3,0.010710597038269043,0.8141541630029678,0.19772681593894958,0.9563288688659668,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-04,0.23864202057767991,0.19524194300174713,20260811,nan,nan,success,60,ERP
True,0.8729067572337893,1.0,0,DIFF-WRONG-3,0.01701533794403076,0.7407796084880829,0.2599716782569885,0.967469334602356,sub-02,8,nan,S0_STATIC_XSESSION,False,ses-04,0.33685475924135005,0.26313725113868713,20260811,nan,nan,success,60,ERP
False,0.9267157192728701,1.0,0,DET-SHUFFLED,0.015353083610534668,0.8365998715162277,0.1720147728919983,0.9379081130027771,sub-02,0,nan,S0_STATIC_XSESSION,False,ses-04,0.16331765152833846,0.1315738707780838,20260811,nan,nan,success,60,ERP
True,0.9357140560442533,1.0,0,DIFF-SHUFFLED,0.013777673244476318,0.8352612853050232,0.1643924117088318,0.9502023458480835,sub-02,8,nan,S0_STATIC_XSESSION,False,ses-04,0.18154261054444232,0.1519305408000946,20260811,nan,nan,success,60,ERP
False,1.0,1.0,0,RAW,0.0,1.0,0.0,1.0,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.0,0.0,20260811,nan,nan,success,60,ERP
False,0.9062984864851594,0.7265625,0,POP,0.017750460654497147,0.7982848733663559,0.19517119228839874,0.9792811870574951,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.15364077327643447,0.09236161410808563,20260811,nan,nan,success,60,ERP
False,0.9003728549333464,0.7265625,0,DET-NULL,0.016259051859378815,0.8286788165569305,0.16543801128864288,0.9703365564346313,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.1265927757651958,0.06696785986423492,20260811,nan,nan,success,60,ERP
False,0.9488314910514816,0.7265625,0,DET-MATCH,0.016573764383792877,0.8356516361236572,0.15485112369060516,0.9808047413825989,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.12265570545269655,0.05302949249744415,20260811,nan,nan,success,60,ERP
True,0.8631703716888027,1.0,0,DIFF-NULL,0.009685531258583069,0.7839692682027817,0.21301212906837463,0.9940638542175293,sub-02,8,5.703358865553333,S1_MOTION_WITHIN_SESSION,False,ses-03,0.18238572455573074,0.10940644890069962,20260811,nan,nan,success,60,ERP
True,0.8631703716888027,1.0,0,DIFF-POP,0.009685531258583069,0.7839692682027817,0.21301212906837463,0.9940638542175293,sub-02,8,5.703358865553333,S1_MOTION_WITHIN_SESSION,False,ses-03,0.18238572455573074,0.10940644890069962,20260811,nan,nan,success,60,ERP
True,0.8953126917978053,0.7265625,0,DIFF-MATCH,0.006040602922439575,0.829516738653183,0.16557295620441437,0.9905871748924255,sub-02,8,4.700899096458189,S1_MOTION_WITHIN_SESSION,False,ses-03,0.12595565348190432,0.0738220065832138,20260811,nan,nan,success,60,ERP
False,0.9937644999140746,0.7265625,0,DET-WRONG-1,0.019502822309732437,0.8273778557777405,0.1634768545627594,0.9806471467018127,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.13053841328305182,0.05105382576584816,20260811,nan,nan,success,60,ERP
True,0.9270572999779049,0.7265625,0,DIFF-WRONG-1,0.008473780006170273,0.8501899242401123,0.14394167065620422,0.9876114130020142,sub-02,8,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.09025430518634256,0.047030773013830185,20260811,nan,nan,success,60,ERP
False,0.9302230378317335,0.7265625,0,DET-WRONG-2,0.01737704873085022,0.8348764330148697,0.15662966668605804,0.9842669367790222,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.13109117881592403,0.06339961290359497,20260811,nan,nan,success,60,ERP
True,0.8877880803034395,0.7265625,0,DIFF-WRONG-2,0.0071963779628276825,0.8043809533119202,0.19162632524967194,0.9923176169395447,sub-02,8,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.16002495228510888,0.08389752358198166,20260811,nan,nan,success,60,ERP
False,0.8488357873223185,0.7265625,0,DET-WRONG-3,0.01955968514084816,0.8027460277080536,0.1922236531972885,0.9731115102767944,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.1623540861818806,0.10343839973211288,20260811,nan,nan,success,60,ERP
True,0.8405455189895171,0.7265625,0,DIFF-WRONG-3,0.01052098348736763,0.7880905270576477,0.20851506292819977,0.999504566192627,sub-02,8,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.19880483428605664,0.12177105993032455,20260811,nan,nan,success,60,ERP
False,0.953312961849115,0.7265625,0,DET-SHUFFLED,0.017677802592515945,0.8336683362722397,0.15726223587989807,0.981267511844635,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.12673653217215,0.054791778326034546,20260811,nan,nan,success,60,ERP
True,0.8960257960376108,0.7265625,0,DIFF-SHUFFLED,0.006657544523477554,0.8271516561508179,0.1681273877620697,0.9923137426376343,sub-02,8,nan,S1_MOTION_WITHIN_SESSION,False,ses-03,0.1316699914952473,0.07669515907764435,20260811,nan,nan,success,60,ERP
False,1.0,1.0,0,RAW,0.0,1.0,0.0,1.0,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.0,0.0,20260811,nan,nan,success,60,ERP
False,0.9143085100462441,1.0,0,POP,0.03889365494251251,0.7326537072658539,0.27165764570236206,0.931056559085846,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.3074102608022527,0.22334448993206024,20260811,nan,nan,success,60,ERP
False,0.8797230988345304,1.0,0,DET-NULL,0.014520809054374695,0.7804087400436401,0.2370779812335968,0.9317172765731812,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.2568090222823896,0.19696851074695587,20260811,nan,nan,success,60,ERP
False,0.8888845383903038,1.0,0,DET-MATCH,0.016439437866210938,0.7917249798774719,0.2237858772277832,0.9323458671569824,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.2365563863435057,0.17926128208637238,20260811,nan,nan,success,60,ERP
True,0.8467187079271812,1.0,0,DIFF-NULL,0.022503361105918884,0.7548794895410538,0.24383418262004852,0.9461400508880615,sub-02,8,5.97446505431157,S1_MOTION_WITHIN_SESSION,False,ses-04,0.29956979148055546,0.2378150075674057,20260811,nan,nan,success,60,ERP
True,0.8467187079271812,1.0,0,DIFF-POP,0.022503361105918884,0.7548794895410538,0.24383418262004852,0.9461400508880615,sub-02,8,5.97446505431157,S1_MOTION_WITHIN_SESSION,False,ses-04,0.29956979148055546,0.2378150075674057,20260811,nan,nan,success,60,ERP
True,0.8991558024147741,1.0,0,DIFF-MATCH,0.016244560480117798,0.8248962312936783,0.17227120697498322,0.9507166147232056,sub-02,8,4.782187073094071,S1_MOTION_WITHIN_SESSION,False,ses-04,0.20555700651487382,0.16240619122982025,20260811,nan,nan,success,60,ERP
False,0.9089296623580679,1.0,0,DET-WRONG-1,0.01729130744934082,0.797859787940979,0.2159373164176941,0.9324784874916077,sub-02,0,nan,S1_MOTION_WITHIN_SESSION,False,ses-04,0.21787786022948347,0.16367733478546143,20260811,nan,nan,success,60,ERP
