artifact_reconstruction_relative_error,clean_waveform_RRMSE,clean_waveform_correlation,dataset,delta_SNR_db,exact_cell,method,observation_change_ratio,output_input_RMS_ratio,selected_alpha,statistical_unit,status,training_seed,unit_id
1.0,0.8946235247957239,0.7577200653676753,klados,0.0,19ch_native_linked_mastoid_256hz,RAW,0.0,1.0,0.75,source_record,success,20260811,sim37
0.343749977519711,0.3075268165371347,0.9531628389408477,klados,9.275146431266526,19ch_native_linked_mastoid_256hz,POP,0.6924649629471004,0.7363319910085877,0.75,source_record,success,20260811,sim37
0.8581122538569403,0.767687409215899,0.7786425386932229,klados,1.329117925035003,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DET-MATCH|deployment,0.9046201256878785,0.8851153192399629,0.75,source_record,success,20260811,sim37
0.343749977519711,0.3075268165371347,0.9531628389408477,klados,9.275146431266526,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DET-POP,0.6924649629471004,0.7363319910085877,0.75,source_record,success,20260811,sim37
0.343749977519711,0.3075268165371347,0.9531628389408477,klados,9.275146431266526,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-POP,0.6924649629471004,0.7363319910085877,0.75,source_record,success,20260811,sim37
0.343749977519711,0.3075268165371347,0.9531628389408477,klados,9.275146431266526,19ch_native_linked_mastoid_256hz,R1_full_C_residual|NO-SUPPORT,0.6924649629471004,0.7363319910085877,0.75,source_record,success,20260811,sim37
0.35770468768711783,0.32001102853460295,0.9507970617764878,klados,8.92950736848784,19ch_native_linked_mastoid_256hz,R1_full_C_residual|RHO-ONLY-POP-BASIS,0.5193487224738342,0.7528153175152253,0.75,source_record,success,20260811,sim37
0.5751606004330629,0.5145522036830518,0.8853687568725257,klados,4.804217431660801,19ch_native_linked_mastoid_256hz,R1_full_C_residual|CONSTANT-RHO-0.5,0.7858685261580212,0.7891449699434537,0.75,source_record,success,20260811,sim37
0.7872903413980255,0.7043284602591303,0.8118903481674948,klados,2.077301530368823,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH-K8|deployment,0.8744130465773732,0.8608137437401043,0.75,source_record,success,20260811,sim37
0.7828987692531709,0.7003996565075059,0.8106333311346252,klados,2.125887793245939,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH-K1|deployment,0.8774064004560812,0.8575779380290369,0.75,source_record,success,20260811,sim37
1.0152034944184145,0.908224928561538,0.7321824994306602,klados,-0.13106207936935518,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH-K8|mechanism_g1,0.9816240098584738,0.9545834197043508,0.75,source_record,success,20260811,sim37
0.5111732451604921,0.4573076103667482,0.9029431037619785,klados,5.828637705101078,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH|diagnostic_full_replacement,0.7850450764823363,0.7642734117281792,0.75,source_record,success,20260811,sim37
0.5260878834301366,0.4706505966265907,0.8953824796887205,klados,5.578834010436906,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-WRONG-1|deployment,0.9032148642814205,0.7642271458692769,0.75,source_record,success,20260811,sim37
0.6176101441514261,0.552528564110344,0.8615407293083848,klados,4.185711587876211,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-WRONG-1|mechanism_g1,0.974680786892666,0.7874674565648272,0.75,source_record,success,20260811,sim37
0.5865699245713154,0.5247592534591521,0.87674974084752,klados,4.633604170701859,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-WRONG-2|deployment,0.9049863714325849,0.7862713015494134,0.75,source_record,success,20260811,sim37
0.7137688601332627,0.6385544135418455,0.83006651673107,klados,2.9288480619667165,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-WRONG-2|mechanism_g1,0.9851990476932878,0.8258456928370193,0.75,source_record,success,20260811,sim37
0.49375101988201553,0.4417212777783323,0.9066215704240356,klados,6.129839885895015,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-WRONG-3|deployment,0.8766724475438906,0.7565752050194403,0.75,source_record,success,20260811,sim37
0.5763626192048998,0.5156275579535831,0.8769904766681428,klados,4.786083874283719,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-WRONG-3|mechanism_g1,0.9406170631868789,0.7761035461700527,0.75,source_record,success,20260811,sim37
0.343749977519711,0.3075268165371347,0.9531628389408477,klados,9.275146431266526,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH|gamma=0,0.6924649629471004,0.7363319910085877,0.75,source_record,success,20260811,sim37
0.40446141646036815,0.3618406980376458,0.9374163645285011,klados,7.862458030728931,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH|gamma=0.25,0.7228825560974416,0.7459744961331308,0.75,source_record,success,20260811,sim37
0.5751606004330629,0.5145522036830518,0.8853687568725257,klados,4.804217431660801,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH|gamma=0.5,0.7858685261580212,0.7891449699434537,0.75,source_record,success,20260811,sim37
0.7872903413980255,0.7043284602591303,0.8118903481674948,klados,2.077301530368823,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH|gamma=0.75,0.8744130465773732,0.8608137437401043,0.75,source_record,success,20260811,sim37
1.0152034944184145,0.908224928561538,0.7321824994306602,klados,-0.13106207936935518,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH|gamma=1,0.9816240098584738,0.9545834197043508,0.75,source_record,success,20260811,sim37
1.250298314516378,1.1185462851787946,0.655971764803968,klados,-1.940272914423177,19ch_native_linked_mastoid_256hz,R1_full_C_residual|DIFF-MATCH|gamma=1.25,1.1020671042907897,1.0646301676765826,0.75,source_record,success,20260811,sim37
10.861513528903492,9.716965517844082,0.06506299657737814,klados,-20.717806949717662,19ch_native_linked_mastoid_256hz,R2_FIR_residual|DET-MATCH|deployment,7.043713022443494,7.105425897163869,0.75,source_record,success,20260811,sim37
