family,participants,H_P,H_W
head_motion,20,-0.014646864321295977,0.023842962487021446
chewing,20,0.0069316625754619055,0.01693341443424524
tongue,20,-0.0080083803483311,0.030266579186132476
swallowing,20,0.009029325451168713,0.024254077078032833
facial_emg,20,-0.0003968683583708832,0.024835878550508984
