participant,method,rrmse,correlation,spectral_error,topography_error
1,MATCH,1.1325321498016516,0.04287932883918469,0.40050548540117836,0.10103459619761754
1,POP,1.0312281544009845,0.1201893188099569,0.4696412744000555,0.12099558636546134
1,mean-WRONG,1.0498452247379026,0.04433261791413923,0.4644045896042691,0.12161535636063889
2,MATCH,1.0574734560080936,0.049632320236255065,0.4019762099321399,0.1287389434182218
2,POP,1.0067362104143416,0.1507531320869345,0.4597726579436235,0.13249929508992603
2,mean-WRONG,1.0372599455419478,0.054139325417483564,0.4715992973671182,0.1436173541589671
5,MATCH,1.0346858459711075,0.09828682053495529,0.429077763557434,0.14775439485907554
5,POP,1.1712941643595696,0.31916532762042965,0.4025494296848774,0.1419144010730088
5,mean-WRONG,1.1787107152663745,0.09853823810290756,0.43333699240707435,0.1451218874501781
6,MATCH,1.1295924752950668,0.10262156990934497,0.4558941393345595,0.15126387057825924
6,POP,1.1886022624373436,0.21734163342360552,0.44097587101161484,0.1467241410445422
6,mean-WRONG,1.1525481111957476,0.0607256131635021,0.4747547174760928,0.16779228021677298
8,MATCH,1.1059552206621541,0.10851789671963503,0.4459915518373638,0.16593918620862746
8,POP,1.0655980622613583,0.25938985220240907,0.4268726014858716,0.14267367823170374
8,mean-WRONG,1.1131969038648548,0.09603616311320155,0.4598399254472598,0.15900764763921676
13,MATCH,1.0666589603704566,0.08407860523686686,0.4292130296775961,0.13440945278853178
13,POP,1.1641704617177742,0.1676875323053126,0.411898774204447,0.14716802401611964
13,mean-WRONG,1.1965112300022713,0.05485579402844996,0.43661444196058496,0.15514301928601565
14,MATCH,1.073619509867902,0.04902511060888969,0.4361195606864848,0.11522333085501812
14,POP,0.9672552693564939,0.2827772856426683,0.44365777984823823,0.10683271040401929
14,mean-WRONG,1.0349361837552884,0.08902443960688725,0.46787812583740906,0.12116397890422965
16,MATCH,1.0412445083260535,0.07056392218838682,0.5135257769748569,0.1122848340496421
16,POP,1.0379570853710176,0.16842357329354898,0.5254152923822403,0.11250316424295306
16,mean-WRONG,1.0817608601458015,0.05210199230261477,0.5500848474823647,0.12371824263461997
18,MATCH,1.053098486707761,0.04096795495405052,0.45192109128603575,0.12740495452084222
18,POP,1.11745799436019,0.12829758719016507,0.4206131158324961,0.12034661221819427
18,mean-WRONG,1.116103962677458,0.05489514061430488,0.4348632860012559,0.12757130373833359
20,MATCH,1.0312833990369525,0.08877629391747828,0.4399290072598627,0.1282179409371955
20,POP,1.0282514542341232,0.16952528588123517,0.4411667688616685,0.13221585750579834
20,mean-WRONG,1.063708826856954,0.06385714512422533,0.4450305485459311,0.13689661483546453
21,MATCH,1.0755540705245474,0.10180356160945228,0.4551776263457926,0.12574382315430305
21,POP,1.0274777040533398,0.2488972252852212,0.42894123884970725,0.11154891616948273
21,mean-WRONG,1.0724916046692659,0.09400047662689001,0.44658393377787603,0.1261597196417458
22,MATCH,1.0158811616519139,0.1421385726235826,0.4763213771794524,0.1373023667505809
22,POP,0.964282070265876,0.28393313693501654,0.46951331567787935,0.1346864517497283
22,mean-WRONG,1.0222080126073625,0.11226619108814964,0.48315920579600824,0.14732490296269338
23,MATCH,1.0555908095091582,0.1891242848658921,0.4092645208176691,0.11932572436635383
23,POP,1.1097168618813158,0.21386483777537654,0.3811824340955354,0.12605285964673385
23,mean-WRONG,1.1327031794123543,0.08432077158323883,0.3988821880594015,0.12762788751466314
26,MATCH,1.0523433053067754,0.08569101944036028,0.461338903808168,0.13941484889281647
26,POP,1.021462135229792,0.26300150677482687,0.47469813959406953,0.13188842732924969
26,mean-WRONG,1.0684226276771147,0.08380383684977973,0.4886465242816781,0.14766108839492292
27,MATCH,1.0962042250803539,0.058995879192403164,0.41041642705510767,0.14745405772700906
27,POP,1.15462224313191,0.19752308453914155,0.3913408259595079,0.16084190170264007
27,mean-WRONG,1.1531725607457617,0.06367913610045363,0.4162074184161611,0.16122036918670693
29,MATCH,1.1318856667727233,0.06366767606684307,0.43277238579466937,0.1411941267317161
29,POP,1.075392733514309,0.23189338820165512,0.42947708941064777,0.1369450034108013
29,mean-WRONG,1.1189831589038173,0.05795653064568419,0.4535855134755063,0.15243356229232935
30,MATCH,1.0123250891764957,0.15499705684194506,0.4628460089779562,0.1872704333211813
30,POP,1.0060589730739593,0.22491898483239173,0.4296760727134015,0.16492574496401682
30,mean-WRONG,1.053896878952654,0.08929699809155378,0.4543198576101509,0.1864328580868677
