participant,family,method,rrmse,correlation,spectral_error,topography_error
1,chewing,MATCH,1.1290309814115365,0.03117827922378703,0.8513913688560327,0.10217126047549148
1,chewing,POP,1.0380319133400917,0.07272853534085018,0.962090503424406,0.10030050304097433
1,chewing,mean-WRONG,1.0490071937632865,0.031112005065603278,0.9695251909122142,0.10102947652817539
1,facial_emg,MATCH,1.1405796247224014,0.04773758675060761,0.3116334468747179,0.11609841363194089
1,facial_emg,POP,1.030680970599254,0.12002208845650476,0.3887053194145362,0.1461516786366701
1,facial_emg,mean-WRONG,1.0476069668464827,0.04876073817286381,0.38686669331876355,0.15008253355582174
1,head_motion,MATCH,1.1120449155569077,0.03316934800782678,0.3328683141929408,0.09341023641172796
1,head_motion,POP,1.0418004393577576,0.12345725666568778,0.3889107764698565,0.11139021852674584
1,head_motion,mean-WRONG,1.0607491421148234,0.03822399138018216,0.3652495197235392,0.10661853687665443
1,swallowing,MATCH,1.1326297223567963,0.045429358176199,0.36446168025334674,0.10800330759957433
1,swallowing,POP,1.023675549775362,0.12189238363007149,0.43589456379413605,0.13809870408537486
1,swallowing,mean-WRONG,1.0425962753457463,0.041526122722795086,0.43213412086974023,0.13704432401355807
1,tongue,MATCH,1.1483755049606164,0.05688207203750303,0.14217261682885388,0.0854897628693531
1,tongue,POP,1.021951898932457,0.16284632995667023,0.1726052088973423,0.10903682753754158
1,tongue,mean-WRONG,1.0492665456191743,0.06204023222925182,0.1682474231970882,0.11330191082898493
2,chewing,MATCH,1.0554427623748779,0.03332700172299714,0.8396844191210611,0.12682301231792995
2,chewing,POP,1.0148115277290344,0.08931676279861561,0.9743676662445069,0.12906489978943553
2,chewing,mean-WRONG,1.028153800715457,0.03167958834945116,0.9840617352920575,0.13883457823195958
2,facial_emg,MATCH,1.0646739951201847,0.04395927870614869,0.2783503691000598,0.14236354492604733
2,facial_emg,POP,1.0052919498511723,0.1936879175807449,0.30938175512211663,0.14226244006838118
2,facial_emg,mean-WRONG,1.0556784919461053,0.06383563934500519,0.3262626269787222,0.15758940808720642
2,head_motion,MATCH,1.0572407799107688,0.05757209790413744,0.3483304103570325,0.12089843443994011
2,head_motion,POP,0.9993390611239842,0.1294583511267532,0.4087678351572582,0.1348146620605673
2,head_motion,mean-WRONG,1.021403527895173,0.038699150356548986,0.42418870270989095,0.1378385638408772
2,swallowing,MATCH,1.0631316227572305,0.05194628671817017,0.38459240006549017,0.15678967413093362
2,swallowing,POP,1.0245228826999664,0.1343660279537231,0.43426132053136823,0.16175094065921647
