participant,H_P,H_W,families,retrieval_available
1,-0.10130399540066719,-0.08268692506374893,5,1
2,-0.050737245593752166,-0.02021351046614588,5,1
5,0.1366083183884621,0.14402486929526695,5,1
6,0.05900978714227678,0.022955635900680837,5,1
8,-0.0403571584007957,0.007241683202700466,5,1
9,0.0,0.0,0,0
10,0.0,0.0,0,0
11,0.0,0.0,0,0
13,0.09751150134731743,0.12985226963181473,5,1
14,-0.10636424051140839,-0.03868332611261351,5,1
16,-0.00328742295503619,0.040516351819748,5,1
18,0.0643595076524293,0.06300547596969755,5,1
20,-0.0030319448028291785,0.03242542782000131,5,1
21,-0.0480763664712077,-0.003062465855281404,5,1
22,-0.05159909138603811,0.006326850955448449,5,1
23,0.054126052372157576,0.07711236990319606,5,1
26,-0.030881170076983388,0.016079322370339398,5,1
27,0.0584180180515562,0.05696833566540764,5,1
29,-0.05649293325841427,-0.012902507868905877,5,1
30,-0.00626611610253649,0.04157178977615814,5,1
