method,participants,rrmse,correlation,spectral_error,topography_error
MATCH,17,1.0685840200040688,0.09010399257561916,0.4418994627015487,0.13588099325629366
POP,17,1.0669155200037468,0.21456368781175852,0.438081922467993,0.1335742808920223
mean-WRONG,17,1.0968505874713488,0.0737547300219686,0.45763478903212595,0.14414753372378628
