fold,subject,role,session_T,session_E
0,7,train,model_train,unused
0,8,train,model_train,unused
0,9,train,model_train,unused
0,4,validation,unused,model_selection
0,5,validation,unused,model_selection
0,6,validation,unused,model_selection
0,1,outer_test,adaptive_attack_gallery,task_and_attack_query
0,2,outer_test,adaptive_attack_gallery,task_and_attack_query
0,3,outer_test,adaptive_attack_gallery,task_and_attack_query
1,1,train,model_train,unused
1,2,train,model_train,unused
1,3,train,model_train,unused
1,7,validation,unused,model_selection
1,8,validation,unused,model_selection
1,9,validation,unused,model_selection
1,4,outer_test,adaptive_attack_gallery,task_and_attack_query
1,5,outer_test,adaptive_attack_gallery,task_and_attack_query
1,6,outer_test,adaptive_attack_gallery,task_and_attack_query
2,4,train,model_train,unused
2,5,train,model_train,unused
2,6,train,model_train,unused
2,1,validation,unused,model_selection
2,2,validation,unused,model_selection
2,3,validation,unused,model_selection
2,7,outer_test,adaptive_attack_gallery,task_and_attack_query
2,8,outer_test,adaptive_attack_gallery,task_and_attack_query
2,9,outer_test,adaptive_attack_gallery,task_and_attack_query
