batch_size,fold,median_ms,method,p95_ms,parameters,seed
64,0,0.2669024979695678,one_step,0.30748845892958343,133248,20260920
64,0,9.74594650324434,SANDiff,9.938587271608412,508384,20260920
64,0,0.2689044922590256,one_step,0.29286714270710945,133248,20260921
64,0,9.497702470980585,SANDiff,12.653904239414263,508384,20260921
64,1,0.272670469712466,one_step,0.3186889924108982,133248,20260920
64,1,9.970134007744491,SANDiff,10.129143937956542,508384,20260920
64,1,0.2821355010382831,one_step,0.30857225647196174,133248,20260921
64,1,9.82012104941532,SANDiff,10.061913868412375,508384,20260921
64,2,0.23903202963992953,one_step,0.2573095553088933,133248,20260920
64,2,8.259258000180125,SANDiff,8.279452950228006,508384,20260920
64,2,0.2526254393160343,one_step,0.272260868223384,133248,20260921
64,2,8.779410447459668,SANDiff,8.831909170839936,508384,20260921
