fold,model,path,seed,sha256
0,EEGNet,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_0/eegnet.pt,20260920,6cae0315b4b65c4c1aa054d9c54729b5912f83271096c38c137e605b588107b8
0,DANN,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_0/dann.pt,20260920,f130e58a43b6ba1dd7de4e8aced00f6ec3f66c16d56455e31757975dab62be61
0,one_step,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_0/one_step_20260920.pt,20260920,ff4099914daf3f54b22e6340dc2db31d7881c0c3d59970aee8c570bd31b1962e
0,SANDiff,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_0/sandiff_20260920.pt,20260920,683bdf16fd7844dd0d59be7eef8b6f56efa8d13fefd841e81db13b900d6123fd
0,one_step,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_0/one_step_20260921.pt,20260921,f18c47967fc808aec3626614d38a65635a15ecb572e9523f91e3464b2c43d583
0,SANDiff,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_0/sandiff_20260921.pt,20260921,0239580950465d55e525ef3554b82ca15aeedeb354f5315df9354230146af939
1,EEGNet,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_1/eegnet.pt,20260921,b05a2027437131d157155cdd5dbc6edbfd3cf247cb2a651c5497ac8832b28136
1,DANN,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_1/dann.pt,20260921,b3df94b71139889aa22222db2e41a98ad29d9d30877a2f9d36c619168288323f
1,one_step,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_1/one_step_20260920.pt,20260920,7253822d784798c472431467daef852f5f6b7e8a0033c8d2219bddbdba88b555
1,SANDiff,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_1/sandiff_20260920.pt,20260920,b20a68d8f28df978195d98f11a865e2349c654fe7a0f377048a0778666c8bd59
1,one_step,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_1/one_step_20260921.pt,20260921,7b74096962ae1e3eaedb0c56639d046a65b95584240c29895cd20cddcf64173a
1,SANDiff,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_1/sandiff_20260921.pt,20260921,c7e1d0815de313fb83343057e7b662bfcc9fdf8e9eb03881722ba5db0f5b10fb
2,EEGNet,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_2/eegnet.pt,20260922,779ce6395efe4b06af23be875b81b2c68dcb7d4ac2eb3f61bcd8f37d843b6cf9
2,DANN,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_2/dann.pt,20260922,dae5e53ce28bb992821dca9846994cadce43e8ee4898fff0b6a78932a50383bb
2,one_step,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_2/one_step_20260920.pt,20260920,03a8f82c35340e364e13d663648f434d4300ad2389b5304685b4a218aca61154
2,SANDiff,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_2/sandiff_20260920.pt,20260920,d72676c232a3ada2745f4a04528b9571f7d72ad611b90a1c0098d410ca6cf763
2,one_step,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_2/one_step_20260921.pt,20260921,ad39632edaf5b5cc9b1a32392fb69d411f2f88dc043ab3f62326b848dc1a8c1a
2,SANDiff,/home/infres/yinwang/denoiseNet_sandiff_v32p/results/sandiff_v32p/runtime/fold_2/sandiff_20260921.pt,20260921,af7195ba6d52ef0e20d305adeea1984d12e48ed4d03e95d319d65aae12d18a35
