recording_key,fold_id,regime,U_P,U_W_donor_mean,wrong_donor_count,wrong_donor_utilities,wrong_scoring_order
study01/study01_p01,study01_layout_01_heldout_00,deployed_support_reliability,-0.07856732606887817,0.01045382022857666,2,0.0148693323;0.00603830814,RRMSE_each_donor_then_mean_utility
study01/study01_p02,study01_layout_01_heldout_00,deployed_support_reliability,-0.06770062446594238,-0.0059264302253723145,2,-0.00608003139;-0.00577282906,RRMSE_each_donor_then_mean_utility
study01/study01_p03,study01_layout_01_heldout_00,deployed_support_reliability,-0.08129072189331055,0.008199512958526611,2,-0.00989365578;0.0262926817,RRMSE_each_donor_then_mean_utility
study01/study01_p04,study01_layout_01_heldout_01,deployed_support_reliability,-0.013023674488067627,0.0036742091178894043,1,0.00367420912,RRMSE_each_donor_then_mean_utility
study01/study01_p05,study01_layout_01_heldout_01,deployed_support_reliability,0.03728079795837402,0.07083415985107422,1,0.0708341599,RRMSE_each_donor_then_mean_utility
study02/study02_p02,study02_layout_02_heldout_00,deployed_support_reliability,-0.010108470916748047,0.010637670755386353,2,0.010520786;0.0107545555,RRMSE_each_donor_then_mean_utility
study02/study02_p03,study02_layout_02_heldout_00,deployed_support_reliability,-0.03687283396720886,-0.007215127348899841,2,-0.0136770308;-0.000753223896,RRMSE_each_donor_then_mean_utility
study02/study02_p06,study02_layout_02_heldout_00,deployed_support_reliability,-0.00826495885848999,-0.0022661983966827393,2,-0.009362638;0.0048302412,RRMSE_each_donor_then_mean_utility
study02/study02_p07,study02_layout_02_heldout_01,deployed_support_reliability,-0.016266584396362305,-0.007157683372497559,1,-0.00715768337,RRMSE_each_donor_then_mean_utility
study02/study02_p08,study02_layout_02_heldout_01,deployed_support_reliability,-0.0025926530361175537,0.01573622226715088,1,0.0157362223,RRMSE_each_donor_then_mean_utility
study02/study02_p09,study02_layout_02_heldout_02,deployed_support_reliability,-0.0007589161396026611,-0.0007996559143066406,1,-0.000799655914,RRMSE_each_donor_then_mean_utility
study02/study02_p10,study02_layout_02_heldout_02,deployed_support_reliability,-0.002118349075317383,0.002613663673400879,1,0.00261366367,RRMSE_each_donor_then_mean_utility
study02/study02_p11,study02_layout_02_heldout_03,deployed_support_reliability,-0.0022752881050109863,0.0027327239513397217,1,0.00273272395,RRMSE_each_donor_then_mean_utility
study02/study02_p12,study02_layout_02_heldout_03,deployed_support_reliability,-0.0008127689361572266,0.002162039279937744,1,0.00216203928,RRMSE_each_donor_then_mean_utility
study02/study02_p13,study02_layout_02_heldout_04,deployed_support_reliability,0.00031492114067077637,0.0031984448432922363,1,0.00319844484,RRMSE_each_donor_then_mean_utility
study02/study02_p14,study02_layout_02_heldout_04,deployed_support_reliability,-0.004368424415588379,-0.0025349855422973633,1,-0.00253498554,RRMSE_each_donor_then_mean_utility
