regime,effect,mean,median,ci_low,ci_high,positive_count,denominator,bootstrap_replicates
deployed_support_reliability,U_P,-0.01756543691816001,-0.009808331727981567,-0.02307882615975265,-0.012192629765847634,5,58,20000
deployed_support_reliability,U_W_donor_mean,-0.002272870776982143,-0.002369299530982971,-0.009078605762072678,0.0043787560778959,26,58,20000
operator_only_common_reliability,U_P,-0.017571911215782166,-0.010203331708908081,-0.022659469100421874,-0.012661398497634925,5,58,20000
operator_only_common_reliability,U_W_donor_mean,-0.0022795788686850974,-0.0006758719682693481,-0.009989035707609407,0.00537312448281666,27,58,20000
