diagnostic_method,folds,pass_count,mean_real_batch_rrmse,median_real_batch_rrmse,mean_real_batch_correlation,updates_per_fold
weighted-v,3,0,0.9254836440086365,0.8278102874755859,0.6339963882361711,20000
unweighted-v,3,0,0.9232237339019775,0.8179730176925659,0.6365209567437984,20000
epsilon,3,0,8101.53662109375,6271.96142578125,0.00024356110677906483,20000
