dataset_version,outer_fold,split,participant,session,record,calibration_start,calibration_end,query_start,query_end,sampling_rate,status
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S02,Sess01,S02/Sess01/Neuroscan/ME021.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S03,Sess01,S03/Sess01/Neuroscan/ME031.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S04,Sess01,S04/Sess01/Neuroscan/ME041.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S05,Sess01,S05/Sess01/Neuroscan/ME051.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S06,Sess01,S06/Sess01/Neuroscan/ME061.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S07,Sess01,S07/Sess01/Neuroscan/ME071.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S08,Sess01,S08/Sess01/Neuroscan/ME081.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S09,Sess01,S09/Sess01/Neuroscan/ME091.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S10,Sess01,S10/Sess01/Neuroscan/ME101.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S11,Sess01,S11/Sess01/Neuroscan/ME111.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S12,Sess01,S12/Sess01/Neuroscan/ME121.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S13,Sess01,S13/Sess01/Neuroscan/ME131.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S14,Sess01,S14/Sess01/Neuroscan/ME141.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S15,Sess01,S15/Sess01/Neuroscan/ME151.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S16,Sess01,S16/Sess01/Neuroscan/ME161.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S17,Sess01,S17/Sess01/Neuroscan/ME171.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S18,Sess01,S18/Sess01/Neuroscan/ME181.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S19,Sess01,S19/Sess01/Neuroscan/ME191.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S20,Sess01,S20/Sess01/Neuroscan/ME201.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S21,Sess01,S21/Sess01/Neuroscan/ME211.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S22,Sess01,S22/Sess01/Neuroscan/ME221.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S23,Sess01,S23/Sess01/Neuroscan/ME231.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S24,Sess01,S24/Sess01/Neuroscan/ME241.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S25,Sess01,S25/Sess01/Neuroscan/ME251.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,train,S26,Sess01,S26/Sess01/Neuroscan/ME261.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,validation,S27,Sess01,S27/Sess01/Neuroscan/ME271.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,validation,S28,Sess01,S28/Sess01/Neuroscan/ME281.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,validation,S29,Sess01,S29/Sess01/Neuroscan/ME291.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,validation,S30,Sess01,S30/Sess01/Neuroscan/ME301.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,validation,S31,Sess01,S31/Sess01/Neuroscan/ME311.csv,,,,,1000.0000000001102,population_source
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,test,S01,Sess01,S01/Sess01/Neuroscan/ME011.csv,0,30,,,1000.0000000001102,held_out_calibration
eye_bci_syn64005218_neuroscan,eye_bci_me_outer_fold_00,test,S01,Sess01,S01/Sess01/Neuroscan/ME011.csv,,,35,EOF,1000.0000000001102,held_out_query
