aggregate_across_seeds,artifact_attenuation,artifact_normalized_parallel_error,calibration_duration_axis_complete,calibration_id,calibration_seconds,clean_interval_preservation,correlation,d_perp_y,delta_snr_db,e_parallel,e_perp,failure_reason,fallback_method_id,fallback_used,function_evaluations,latency_seconds,method_id,network_calls_total,operator_source,overlap_fraction,p0_bootstrap_median_distance,p0_bootstrap_q90_distance,p0_bootstrap_success_rate,p0_eligible,p0_movement_coverage,p0_rank,p0_reference_condition,p0_reference_rank,p0_ridge_lambda,p0_singular_ratio,p0_singular_values,partition,peak_memory_mb,projector_distance,projector_max_angle_degrees,projector_overlap_fraction,psd_distortion,query_clean_target_used_by_method,records_are_participants,rrmse,sampler_candidate,seed,source_record,status,time_rrmse,trust_radius
True,,1.0,False,,10.0,1.0,0.8308586515944699,0.0,0.0,2.7630183345569117,6.223239685389479e-08,,,False,0,0.0007347749779000878,corrupted_identity,0,corrupted_identity,0.22496757183686023,,,,,,,,,,,,untouched,0.0,,,,2.316297967503882,False,False,1.3105202234165174,deterministic,-1,51,success,1.3105202234165174,0.1
True,,0.36192304173050804,False,,10.0,0.16386358382029098,0.961315793090067,5.118333991412754e-16,8.827675335467173,1.0,6.223239685339058e-08,,,False,0,0.00015018999692983925,oracle_orthogonal_subtraction,0,oracle_orthogonal_subtraction,0.22496757183686023,,,,,,,,,,,,untouched,0.0,0.0,1.478779333471098e-06,0.9999999999999998,0.3663417207335603,True,False,0.4743074655082537,deterministic,-1,51,success,0.4743074655082537,0.1
False,,1.71554930098771,False,population_projector_Pi0,10.0,-0.5862264729616873,0.6137206014716702,0.05549920885147331,-4.690114666148105,4.740094172465337,0.05549920883023826,,,False,100,6.200614688015776,population_only__M2__trust_0p1,200,population_only,0.22496757183686023,,,,,,,,,,,,untouched,1306.6484375,0.025188247751820273,1.8728087973503837,0.9993655521751929,2.9699415600191674,False,False,2.2487928951971603,M2,20260801,51,success,2.2487928951971603,0.1
False,,1.7524547404603616,False,population_projector_Pi0,10.0,-0.583133333081699,0.6203348176591484,0.053941093120560245,-4.87479260307223,4.8420645783731535,0.05394109329342417,,,False,100,5.491314198006876,population_only__M2__trust_0p1,200,population_only,0.22496757183686023,,,,,,,,,,,,untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.4861329622160415,False,False,2.2971182773010357,M2,20260802,51,success,2.2971182773010357,0.1
False,,1.8912524806861923,False,population_projector_Pi0,10.0,-0.6735700050066118,0.6049726916812649,0.054413223890621566,-5.536612193702788,5.225565279412191,0.05441322389048259,,,False,100,5.382029328000499,population_only__M2__trust_0p1,200,population_only,0.22496757183686023,,,,,,,,,,,,untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.5246339042440695,False,False,2.4789874998901253,M2,20260803,51,success,2.4789874998901253,0.1
False,,2.1995157633409503,False,population_projector_Pi0,10.0,-0.9742035368749,0.5577698863932845,0.06209540383832695,-6.848103296731604,6.077302381257987,0.06209540374883119,,,False,100,5.525620236992836,population_only__M2__trust_0p1,200,population_only,0.22496757183686023,,,,,,,,,,,,untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.065799814740696,False,False,2.8830282107410063,M2,20260804,51,success,2.8830282107410063,0.1
False,,1.8601768159650045,False,population_projector_Pi0,10.0,-0.6812366250026454,0.5930136793004281,0.054863775043251406,-5.392789036026445,5.139702648029005,0.054863774945668235,,,False,100,6.382962904986925,population_only__M2__trust_0p1,200,population_only,0.22496757183686023,,,,,,,,,,,,untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.618541629591546,False,False,2.4382777689621427,M2,20260805,51,success,2.4382777689621427,0.1
True,,0.9494263745277545,False,population_projector_Pi0,10.0,-0.06041689657634963,0.790040218455017,0.038607180022761506,0.44753473193902205,2.623282480132083,0.038607179995169674,,,False,500,28.982541356002912,population_only__M2__trust_0p1,1000,population_only,0.22496757183686023,,,,,,,,,,,,untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,0.7548670360391917,False,False,1.2447065948761875,M2,-1,51,success,1.2447065948761875,0.1
False,,1.7301492331299682,False,sim51,10.0,-0.5956954679462036,0.5834919954011414,0.07356496130828506,-4.765213014298525,4.780434052657682,0.07356496149498118,,,False,100,5.903261016996112,matching_p0__M2__trust_0p1,200,matching_p0,0.22496757183686023,0.0796079313219579,0.19298330496325855,1.0,True,0.28984375,2,2.5974170531504854,2,0.01,0.4252832349347827,"[6.390827846028681, 2.717911940270367]",untouched,1332.59375,0.028221478417760393,2.058022137864546,0.9992035481559162,3.0182420821633484,False,False,2.2683202919120258,M2,20260801,51,success,2.2683202919120258,0.1
False,,1.7575943336980893,False,sim51,10.0,-0.5863630130047657,0.5916455048549151,0.06973762243673191,-4.901457196312489,4.85626536872116,0.0697376222599089,,,False,100,5.128174884011969,matching_p0__M2__trust_0p1,200,matching_p0,0.22496757183686023,0.0796079313219579,0.19298330496325855,1.0,True,0.28984375,2,2.5974170531504854,2,0.01,0.4252832349347827,"[6.390827846028681, 2.717911940270367]",untouched,1332.59375,0.028221478417760393,2.058022137864546,0.9992035481559162,3.505348266006317,False,False,2.304180977943981,M2,20260802,51,success,2.304180977943981,0.1
