fold,participant,query_index,family,context,donor,selected_codes,observable_only
0,10,0,head_motion,WRONG,14,p14:09;p14:10;p14:02;p14:11;p14:15;p14:08;p14:05;p14:12,1
0,10,0,head_motion,WRONG,20,,1
0,10,0,head_motion,WRONG,26,p26:12;p26:03;p26:07;p26:05;p26:04;p26:14;p26:02;p26:10,1
0,10,0,head_motion,POP,,p27:00;p30:09;p30:07;p05:06;p13:14;p18:12;p21:14;p21:06,1
0,10,0,head_motion,MATCH,10,,1
0,10,0,chewing,WRONG,14,p14:10;p14:09;p14:02;p14:08;p14:05;p14:15;p14:11;p14:12,1
0,10,0,chewing,WRONG,20,,1
0,10,0,chewing,WRONG,26,p26:11;p26:12;p26:03;p26:02;p26:05;p26:14;p26:04;p26:10,1
0,10,0,chewing,POP,,p27:00;p30:06;p18:08;p21:14;p30:07;p21:06;p18:12;p29:15,1
0,10,0,chewing,MATCH,10,,1
0,10,0,tongue,WRONG,14,p14:09;p14:10;p14:02;p14:11;p14:15;p14:05;p14:08;p14:12,1
0,10,0,tongue,WRONG,20,,1
0,10,0,tongue,WRONG,26,p26:11;p26:06;p26:07;p26:05;p26:02;p26:04;p26:14;p26:10,1
0,10,0,tongue,POP,,p30:00;p05:06;p23:05;p21:01;p18:12;p21:14;p13:14;p21:06,1
0,10,0,tongue,MATCH,10,,1
0,10,0,swallowing,WRONG,14,p14:10;p14:09;p14:02;p14:08;p14:05;p14:12;p14:11;p14:15,1
0,10,0,swallowing,WRONG,20,,1
0,10,0,swallowing,WRONG,26,p26:07;p26:03;p26:12;p26:05;p26:14;p26:02;p26:04;p26:10,1
0,10,0,swallowing,POP,,p30:07;p23:13;p13:14;p21:06;p05:06;p18:08;p18:12;p21:14,1
0,10,0,swallowing,MATCH,10,,1
0,10,0,facial_emg,WRONG,14,p14:10;p14:09;p14:02;p14:08;p14:05;p14:15;p14:12;p14:11,1
0,10,0,facial_emg,WRONG,20,,1
0,10,0,facial_emg,WRONG,26,p26:07;p26:12;p26:03;p26:05;p26:14;p26:02;p26:04;p26:10,1
0,10,0,facial_emg,POP,,p23:13;p21:06;p13:14;p21:14;p23:05;p18:08;p05:06;p18:12,1
0,10,0,facial_emg,MATCH,10,,1
0,10,1,head_motion,WRONG,14,p14:11;p14:04;p14:10;p14:05;p14:08;p14:00;p14:09;p14:07,1
0,10,1,head_motion,WRONG,20,,1
0,10,1,head_motion,WRONG,26,p26:09;p26:06;p26:10;p26:05;p26:13;p26:11;p26:02;p26:03,1
0,10,1,head_motion,POP,,p06:14;p05:07;p21:13;p08:09;p05:08;p30:15;p01:12;p29:13,1
0,10,1,head_motion,MATCH,10,,1
0,10,1,chewing,WRONG,14,p14:11;p14:10;p14:04;p14:05;p14:08;p14:00;p14:09;p14:07,1
0,10,1,chewing,WRONG,20,,1
0,10,1,chewing,WRONG,26,p26:08;p26:10;p26:13;p26:06;p26:05;p26:11;p26:02;p26:03,1
0,10,1,chewing,POP,,p30:06;p05:07;p21:13;p08:09;p05:08;p30:15;p01:12;p29:13,1
0,10,1,chewing,MATCH,10,,1
0,10,1,tongue,WRONG,14,p14:06;p14:04;p14:10;p14:05;p14:00;p14:08;p14:09;p14:07,1
0,10,1,tongue,WRONG,20,,1
0,10,1,tongue,WRONG,26,p26:09;p26:06;p26:10;p26:05;p26:02;p26:11;p26:13;p26:03,1
0,10,1,tongue,POP,,p06:14;p05:07;p08:09;p21:13;p30:15;p05:08;p01:12;p29:13,1
0,10,1,tongue,MATCH,10,,1
0,10,1,swallowing,WRONG,14,p14:11;p14:10;p14:04;p14:05;p14:08;p14:00;p14:09;p14:07,1
0,10,1,swallowing,WRONG,20,,1
0,10,1,swallowing,WRONG,26,p26:08;p26:10;p26:06;p26:13;p26:05;p26:02;p26:11;p26:03,1
0,10,1,swallowing,POP,,p30:06;p05:07;p21:13;p08:09;p05:08;p30:15;p01:12;p29:13,1
0,10,1,swallowing,MATCH,10,,1
0,10,1,facial_emg,WRONG,14,p14:11;p14:10;p14:04;p14:05;p14:08;p14:00;p14:09;p14:07,1
0,10,1,facial_emg,WRONG,20,,1
0,10,1,facial_emg,WRONG,26,p26:08;p26:10;p26:06;p26:13;p26:05;p26:02;p26:11;p26:03,1
0,10,1,facial_emg,POP,,p30:06;p05:07;p21:13;p08:09;p05:08;p30:15;p01:12;p29:13,1
0,10,1,facial_emg,MATCH,10,,1
0,10,2,head_motion,WRONG,14,p14:15;p14:05;p14:13;p14:09;p14:00;p14:10;p14:08;p14:01,1
0,10,2,head_motion,WRONG,20,,1
0,10,2,head_motion,WRONG,26,p26:01;p26:05;p26:10;p26:03;p26:00;p26:11;p26:02;p26:13,1
0,10,2,head_motion,POP,,p29:08;p22:09;p21:06;p13:05;p06:08;p29:05;p18:09;p06:02,1
0,10,2,head_motion,MATCH,10,,1
0,10,2,chewing,WRONG,14,p14:14;p14:13;p14:01;p14:09;p14:11;p14:12;p14:05;p14:15,1
0,10,2,chewing,WRONG,20,,1
