fold,participant,query_index,family,context,donor,selected_codes,observable_only
2,5,0,head_motion,WRONG,11,,1
2,5,0,head_motion,WRONG,18,p18:01;p18:12;p18:11;p18:15;p18:06;p18:00;p18:04;p18:08,1
2,5,0,head_motion,WRONG,30,p30:12;p30:10;p30:05;p30:04;p30:11;p30:07;p30:06;p30:00,1
2,5,0,head_motion,POP,,p21:07;p21:01;p26:04;p22:13;p14:15;p06:05;p23:03;p23:06,1
2,5,0,head_motion,MATCH,5,p05:07;p05:01;p05:02;p05:04;p05:11;p05:15;p05:06;p05:09,1
2,5,0,chewing,WRONG,11,,1
2,5,0,chewing,WRONG,18,p18:00;p18:09;p18:04;p18:12;p18:06;p18:15;p18:11;p18:08,1
2,5,0,chewing,WRONG,30,p30:02;p30:08;p30:10;p30:15;p30:11;p30:07;p30:00;p30:06,1
2,5,0,chewing,POP,,p13:10;p14:15;p23:05;p14:11;p06:08;p21:14;p02:06;p23:03,1
2,5,0,chewing,MATCH,5,p05:15;p05:03;p05:07;p05:08;p05:11;p05:06;p05:09;p05:04,1
2,5,0,tongue,WRONG,11,,1
2,5,0,tongue,WRONG,18,p18:09;p18:01;p18:06;p18:11;p18:15;p18:00;p18:04;p18:08,1
2,5,0,tongue,WRONG,30,p30:05;p30:15;p30:10;p30:04;p30:11;p30:07;p30:00;p30:06,1
2,5,0,tongue,POP,,p21:06;p06:06;p21:07;p06:05;p08:00;p23:06;p14:15;p23:03,1
2,5,0,tongue,MATCH,5,p05:13;p05:07;p05:02;p05:06;p05:11;p05:15;p05:04;p05:09,1
2,5,0,swallowing,WRONG,11,,1
2,5,0,swallowing,WRONG,18,p18:06;p18:01;p18:09;p18:00;p18:15;p18:11;p18:04;p18:08,1
2,5,0,swallowing,WRONG,30,p30:02;p30:08;p30:10;p30:15;p30:11;p30:00;p30:06;p30:07,1
2,5,0,swallowing,POP,,p21:07;p06:06;p23:09;p14:15;p21:14;p06:02;p06:08;p23:03,1
2,5,0,swallowing,MATCH,5,p05:15;p05:08;p05:02;p05:07;p05:11;p05:03;p05:04;p05:09,1
2,5,0,facial_emg,WRONG,11,,1
2,5,0,facial_emg,WRONG,18,p18:06;p18:01;p18:00;p18:09;p18:15;p18:11;p18:04;p18:08,1
